system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,source,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status
Web of Science,Machine Translation,2026-05-31 09:54:00,1,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,2,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,3,OpenAlex,https://openalex.org/W4290079452,https://doi.org/10.1155/2022/7428563,Artificial Intelligence-based Machine English-Assisted Translation in the Internet of Things Environment,2022,article,Computational Intelligence and Neuroscience,Hindawi Publishing Corporation,Wanfang Zhang; Yuan Tang,Wuhan Polytechnic University; Jiaxing University,32,7,0.572,0.60434113,Medical Imaging and Analysis,Biomedical Engineering,Engineering,Physical Sciences,True,hybrid
Web of Science,Machine Translation,2026-05-31 09:54:00,4,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,5,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,6,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,7,OpenAlex,https://openalex.org/W4285086495,https://doi.org/10.1155/2022/9121636,The Relationship between Machine Translation and Human Translation under the Influence of Artificial Intelligence Machine Translation,2022,article,Mobile Information Systems,IOS Press,Zhao Lihua,Sanya University,5,17,2.3582,0.900373,Educational Technology and Pedagogy,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid
Web of Science,Machine Translation,2026-05-31 09:54:00,8,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,2024,article,Education and Information Technologies,Springer Science+Business Media,Yanxia Yang,Nanjing Agricultural University,62,6,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,9,OpenAlex,https://openalex.org/W4281741710,https://doi.org/10.1007/s11063-022-10835-4,A Comprehensive Survey on Various Fully Automatic Machine Translation Evaluation Metrics,2022,article,Neural Processing Letters,Springer Science+Business Media,Shweta Chauhan; Philemon Daniel,National Institute of Technology Hamirpur,79,60,7.2174,0.97488215,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed
Web of Science,Machine Translation,2026-05-31 09:54:00,10,OpenAlex,https://openalex.org/W3204448004,https://doi.org/10.1155/2021/3539155,Design and Testing of Automatic Machine Translation System Based on Chinese-English Phrase Translation,2021,article,Mobile Information Systems,IOS Press,Jing Ning; Haidong Ban,Xijing University,10,7,0.8395,0.79153878,Fuzzy Logic and Control Systems,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid
