title,DOI,authors,year,google scholar meta
Progress in machine translation,,H Wang; H Wu; Z He; L Huang; KW Church,2022,"H Wang, H Wu, Z He, L Huang, KW Church - Engineering, 2022 - Elsevier"
Statistical machine translation,,A Lopez,2008,"A Lopez - ACM Computing Surveys (CSUR), 2008 - dl.acm.org"
Neural machine translation: A review,,F Stahlberg,2020,"F Stahlberg - Journal of Artificial Intelligence Research, 2020 - jair.org"
Machine translation,,T Poibeau,2017,T Poibeau - 2017 - books.google.com
A statistical approach to machine translation,,PF Brown; J Cocke; SA Della Pietra…,1990,"PF Brown, J Cocke, SA Della Pietra… - Computational …, 1990 - aclanthology.org"
Machine translation: A brief history,,WJ Hutchins,1995,"WJ Hutchins - Concise history of the language sciences, 1995 - Elsevier"
Evaluation of machine translation and its evaluation,,J Turian; L Shen; ID Melamed,2003,"J Turian, L Shen, ID Melamed - … of machine translation summit IX …, 2003 - aclanthology.org"
Google's neural machine translation system: Bridging the gap between human and machine translation,,Y Wu; M Schuster; Z Chen; QV Le; M Norouzi…,2016,"Y Wu, M Schuster, Z Chen, QV Le, M Norouzi… - arXiv preprint arXiv …, 2016 - arxiv.org"
Machine translation today,,ML Forcada,2010,"ML Forcada - Handbook of translation studies, 2010 - torrossa.com"
Dual learning for machine translation,,D He; Y Xia; T Qin; L Wang; N Yu…,2016,"D He, Y Xia, T Qin, L Wang, N Yu… - Advances in neural …, 2016 - proceedings.neurips.cc"
Is machine translation ready yet?,,I Garcia,2010,"I Garcia - Target. International Journal of Translation Studies, 2010 - jbe-platform.com"
Approaches to machine translation,,S Tripathi; JK Sarkhel,2010,"S Tripathi, JK Sarkhel - Annals of library and information studies, 2010 - researchgate.net"
Machine translation approaches: issues and challenges,,MD Okpor,2014,"MD Okpor - International Journal of Computer Science Issues …, 2014 - academia.edu"
Human and machine translation,,D Kenny,2022,"D Kenny - Machine translation for everyone: Empowering users …, 2022 - books.google.com"
The LRC machine translation system,,WS Bennett; J Slocum,1985,"WS Bennett, J Slocum - Computational linguistics, 1985 - aclanthology.org"
Theoretical Overview of Machine translation.,,MA Chéragui,2012,"MA Chéragui - ICWIT, 2012 - academia.edu"
"Machine translation: past, present, future",,WJ Hutchins,1986,WJ Hutchins - 1986 - aclanthology.org
Machine translation for everyone,,D Kenny,2022,D Kenny - 2022 - books.google.com
Towards making the most of chatgpt for machine translation,,K Peng; L Ding; Q Zhong; L Shen; X Liu…,2023,"K Peng, L Ding, Q Zhong, L Shen, X Liu… - Findings of the …, 2023 - aclanthology.org"
A survey of multilingual neural machine translation,,R Dabre; C Chu; A Kunchukuttan,2020,"R Dabre, C Chu, A Kunchukuttan - ACM Computing Surveys (CSUR), 2020 - dl.acm.org"
Machine translation: a view from the lexicon,,D Radzinski,1994,"D Radzinski - Computational Linguistics, 1994 - aclanthology.org"
Europarl: A parallel corpus for statistical machine translation,,P Koehn,2005,"P Koehn - Proceedings of machine translation summit x: papers, 2005 - aclanthology.org"
Translation skill-sets in a machine-translation age,,A Pym,2013,"A Pym - Meta, 2013 - erudit.org"
Tensor2tensor for neural machine translation,,A Vaswani; S Bengio; E Brevdo; F Chollet…,2018,"A Vaswani, S Bengio, E Brevdo, F Chollet… - … Machine Translation …, 2018 - aclanthology.org"
Neural machine translation by jointly learning to align and translate,,D Bahdanau; K Cho; Y Bengio,2014,"D Bahdanau, K Cho, Y Bengio - arXiv preprint arXiv:1409.0473, 2014 - peerj.com"
Six challenges for neural machine translation,,P Koehn; R Knowles,2017,"P Koehn, R Knowles - … workshop on neural machine translation, 2017 - aclanthology.org"
Scaling neural machine translation,,M Ott; S Edunov; D Grangier; M Auli,2018,"M Ott, S Edunov, D Grangier, M Auli - … on Machine Translation …, 2018 - aclanthology.org"
"A survey of machine translation: Its history, current status and future prospects",,J Slocum,1985,"J Slocum - Computational linguistics, 1985 - aclanthology.org"
Ethics and machine translation,,J Moorkens,2022,"J Moorkens - Machine translation for everyone: Empowering …, 2022 - books.google.com"
Translation engines: techniques for machine translation,,A Trujillo,2012,A Trujillo - 2012 - books.google.com
Machine translation: Its scope and limits,,Y Wilks,2008,Y Wilks - 2008 - books.google.com
Machine translation: general,,L Qun; Z Xiaojun,2014,"L Qun, Z Xiaojun - Routledge encyclopedia of translation …, 2014 - api.taylorfrancis.com"
Machine translation and its evaluation: a study,,SK Mondal; H Zhang; HMD Kabir; K Ni…,2023,"SK Mondal, H Zhang, HMD Kabir, K Ni… - Artificial Intelligence …, 2023 - Springer"
Making sense of neural machine translation,,ML Forcada,2017,"ML Forcada - Translation spaces, 2017 - jbe-platform.com"
Machine translation and computer-assisted translation,,O Craciunescu; C Gerding-Salas…,2004,"O Craciunescu, C Gerding-Salas… - Machine Translation …, 2004 - aclanthology.org"
Linguistics and machine translation,,MAK Halliday,1962,"MAK Halliday - Sprachtypologie und Universalienforschung, 1962 - search.proquest.com"
A smorgasbord of features for statistical machine translation,,FJ Och; D Gildea; S Khudanpur; A Sarkar…,2004,"FJ Och, D Gildea, S Khudanpur, A Sarkar… - Proceedings of the …, 2004 - aclanthology.org"
Phrase-based statistical machine translation,,R Zens; FJ Och; H Ney,2002,"R Zens, FJ Och, H Ney - Annual Conference on Artificial Intelligence, 2002 - Springer"
Readings in machine translation,,S Nirenburg; HL Somers; Y Wilks,2003,"S Nirenburg, HL Somers, Y Wilks - 2003 - books.google.com"
Is neural machine translation the new state of the art?,,S Castilho; J Moorkens; F Gaspari; I Calixto; J Tinsley…,2017,"S Castilho, J Moorkens, F Gaspari, I Calixto, J Tinsley… - 2017 - archive.sciendo.com"
Quality expectations of machine translation,,A Way,2018,"A Way - Translation quality assessment: From principles to …, 2018 - Springer"
Unsupervised neural machine translation,,M Artetxe; G Labaka; E Agirre; K Cho,2017,"M Artetxe, G Labaka, E Agirre, K Cho - arXiv preprint arXiv:1710.11041, 2017 - arxiv.org"
Exploiting similarities among languages for machine translation,,T Mikolov; QV Le; I Sutskever,2013,"T Mikolov, QV Le, I Sutskever - arXiv preprint arXiv:1309.4168, 2013 - arxiv.org"
Re-evaluating the role of BLEU in machine translation research,,C Callison-Burch; M Osborne…,2006,"C Callison-Burch, M Osborne… - 11th conference of the …, 2006 - aclanthology.org"
The alignment template approach to statistical machine translation,,FJ Och; H Ney,2004,"FJ Och, H Ney - Computational linguistics, 2004 - direct.mit.edu"
Machine translation using deep learning: An overview,,SP Singh; A Kumar; H Darbari; L Singh…,2017,"SP Singh, A Kumar, H Darbari, L Singh… - 2017 international …, 2017 - ieeexplore.ieee.org"
Investigating backtranslation in neural machine translation,,A Poncelas; D Shterionov; A Way…,2018,"A Poncelas, D Shterionov, A Way… - … Machine Translation, 2018 - aclanthology.org"
Machine translation over fifty years,,WJ Hutchins,2001,"WJ Hutchins - Histoire epistémologie langage, 2001 - aclanthology.org"
The mathematics of statistical machine translation: Parameter estimation,,PF Brown; SA Della Pietra; VJ Della Pietra…,1993,"PF Brown, SA Della Pietra, VJ Della Pietra… - Computational …, 1993 - aclanthology.org"
Effects of machine translation on collaborative work,,N Yamashita; T Ishida,2006,"N Yamashita, T Ishida - Proceedings of the 2006 20th anniversary …, 2006 - dl.acm.org"
Machine translation: a literature review,,A Garg; M Agarwal,1901,"A Garg, M Agarwal - arXiv preprint arXiv:1901.01122, 2018 - arxiv.org"
Automatic testing and improvement of machine translation,,Z Sun; JM Zhang; M Harman; M Papadakis…,2020,"Z Sun, JM Zhang, M Harman, M Papadakis… - Proceedings of the ACM …, 2020 - dl.acm.org"
Neural machine translation of rare words with subword units,,R Sennrich; B Haddow; A Birch,2016,"R Sennrich, B Haddow, A Birch - … of the 54th annual meeting of …, 2016 - aclanthology.org"
Clause restructuring for statistical machine translation,,M Collins; P Koehn; I Kučerová,2005,"M Collins, P Koehn, I Kučerová - … of the 43rd Annual Meeting of …, 2005 - aclanthology.org"
Error Analysis of Statistical Machine Translation Output.,,D Vilar; J Xu; DH Luis Fernando; H Ney,2006,"D Vilar, J Xu, DH Luis Fernando, H Ney - LREC, 2006 - aclanthology.org"
Neural machine translation advised by statistical machine translation,,X Wang; Z Lu; Z Tu; H Li; D Xiong…,2017,"X Wang, Z Lu, Z Tu, H Li, D Xiong… - Proceedings of the AAAI …, 2017 - ojs.aaai.org"
Interactive neural machine translation,,Á Peris; M Domingo; F Casacuberta,2017,"Á Peris, M Domingo, F Casacuberta - Computer Speech & Language, 2017 - Elsevier"
Moses: Open source toolkit for statistical machine translation,,P Koehn; H Hoang; A Birch…,2007,"P Koehn, H Hoang, A Birch… - Proceedings of the …, 2007 - aclanthology.org"
How to evaluate machine translation: A review of automated and human metrics,,E Chatzikoumi,2020,"E Chatzikoumi - Natural Language Engineering, 2020 - cambridge.org"
Overview and challenges of machine translation for contextually appropriate translations,,P Naveen; P Trojovský,2024,"P Naveen, P Trojovský - Iscience, 2024 - cell.com"
Deep neural networks in machine translation: An overview.,,J Zhang; C Zong,2015,"J Zhang, C Zong - IEEE Intell. Syst., 2015 - nlpr.ia.ac.cn"
In-context examples selection for machine translation,,S Agrawal; C Zhou; M Lewis…,2023,"S Agrawal, C Zhou, M Lewis… - Findings of the …, 2023 - aclanthology.org"
Domain control for neural machine translation,,C Kobus; J Crego; J Senellart,2016,"C Kobus, J Crego, J Senellart - arXiv preprint arXiv:1612.06140, 2016 - arxiv.org"
Scaling neural machine translation to 200 languages,,Nature; 2024,2024,"Nature, 2024 - nature.com"
Learning to translate in real-time with neural machine translation,,J Gu; G Neubig; K Cho; VOK Li,2017,"J Gu, G Neubig, K Cho, VOK Li - … of the 15th Conference of the …, 2017 - aclanthology.org"
The challenges of using neural machine translation for literature,,E Matusov,2019,"E Matusov - … of the qualities of literary machine translation, 2019 - aclanthology.org"
