system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2171777347,https://doi.org/10.1038/nature09534,A map of human genome variation from population-scale sequencing,Nature,2010,article,Nature,Min Hu; Yuan Chen; James Stalker; Richard M. Durbin; Si Quang Le; Leopold Parts; Allison Coffey; Yujun Zhang; Jeffrey C. Barrett; Aarno Palotie; Matt E. Hurles; Harold P. Swerdlow; Carol Scott; John Burton; Chris Tyler-Smith; Sarah Lindsay; Yali Xue; Daniel Turner; Klaudia Walter; Donald F. Conrad; Quan Long; Thomas M. Keane; Tom Skelly; Daniel G. MacArthur; Luke Jostins; Senduran Balasubramaniam; Carol Churcher; Ni Huang; Anthony Cox; Michael Quail; David M. Carter; Qasim Ayub; Alison Coffey; Petr Danecek; Pardis C. Sabeti; Andrew M. Kernytsky; Heng Li; Ilya A. Shlyakhter; Carrie L. Sougnez; Aaron McKenna; Stacey B. Gabriel; Jane Wilkinson; David B. Jaffe; Eric Banks; Kiran V. Garimella; David Altshuler; Eric S. Lander; Aaron D. Ball; Toby Bloom; Ryan E. Poplin; Lauren Ambrogio; Manuel A. Rivas; Steven A. McCarroll; Joshua M. Korn; Stephen F. Schaffner; Mark A. DePristo; Tim J. Fennell; Robert E. Handsaker; James C. Nemesh; Chris Hartl; Sharon R. Grossman; Jared R. Maguire; Anthony A. Philippakis; Erica Shefler; Kristian Cibulskis; Matt Hanna; Jun Ding; Wei Chen; Paul Anderson; Matthew Snyder; Gonçalo R. Abecasis; Hyun Min Kang; Tom Blackwell; Carlo Sidore; Sebastian Zöllner; Xiaowei Zhan; Scott Kahn; Terena James; Niall Gormley; R. Keira Cheetham; Paula Kokko-Gonzales; David R. Bentley; Tony Cox; Zoya Kingsbury; Lisa Murray; Jennifer Stone; Sean Humphray; Michael Eberle; Aravinda Chakravarti; Andrew G. Clark,Wellcome Sanger Institute; Institute for Molecular Medicine Finland; Harvard University; Broad Institute; Center for Systems Biology; Cambridge Hospital; Brigham and Women's Hospital; Center for Human Genetics; Massachusetts General Hospital; Statistical Service; Illumina (United Kingdom); Johns Hopkins University; Johns Hopkins Medicine; Cornell University,51.0,8048.0,503.8237,1.0,Genomics and Rare Diseases,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,GB; FI; US; CY,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2168909179,https://doi.org/10.1038/35057062,Initial sequencing and analysis of the human genome,Nature,2001,article,Nature,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar; Michael P. Doyle; William W. Fitzhugh; Roel Funke; Diane Gage; Katrina L. Harris; Andrew Heaford; John G. Howland; Lisa Kann; Jessica A. Lehoczky; R Paul Levine; Paul McEwan; Kevin McKernan; James C. Meldrim; Jill P. Mesirov; Cher Miranda; William Morris; Jerome W. Naylor; Christina Raymond; Mark Rosetti; Ralph Santos; Andrew Sheridan; Carrie Sougnez; Nicole Stange-Thomann; Nikola M. Stojanović; Aravind Subramanian; Dudley Wyman; Jane Rogers; John Sulston; R. Ainscough; Stephan Beck; David Bentley; John H. Burton; Christopher Clee; Nigel Carter; Alan Coulson; Rebecca Deadman; Panos Deloukas; Andrew Dunham; Ian Dunham; Richard Durbin; Lisa French; Darren Grafham; Simon G. Gregory; Tim Hubbard; Sean Humphray; Adrienne Hunt; Matthew C. Jones; Christine Lloyd; Amanda A. McMurray; Lucy Matthews; Simon Mercer; Sarah Milne; James C. Mullikin; Andrew J. Mungall; R. W. Plumb; Mark T. Ross; R. Shownkeen; Sarah Sims; R Waterston; Richard K. Wilson; LaDeana W. Hillier; John D. McPherson; Marco A. Marra; Elaine R. Mardis; Lucinda A. Fulton; Asif Chinwalla; Kymberlie Pepin; Warren Gish; Stephanie L. Chissoe; Michael C. Wendl; Kim D. Delehaunty; Tracie L. Miner; Andrew Delehaunty; Jason Kramer; Lisa L. Cook; Robert S. Fulton; D. Johnson; Patrick Minx; Sandra W. Clifton; Trevor Hawkins; Elbert Branscomb; Paul Predki; Paul Richardson; Sarah Wenning; Tom Slezak; Norman A. Doggett; Jan‐Fang Cheng; Anne S. Olsen; Susan Lucas; Christopher J. Elkin; Edward C. Uberbacher; M.E. Frazier,Whitehead Institute for Biomedical Research; Wellcome Sanger Institute; Washington University in St. Louis; Joint Genome Institute,460.0,24479.0,572.1861,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,US; GB,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2127230663,https://doi.org/10.1126/science.1058040,The Sequence of the Human Genome,American Association for the Advancement of Science,2001,article,Science,J. Craig Venter; Mark D. Adams; Eugene W. Myers; Peter W. Li; Richard Mural; Granger G. Sutton; Hamilton O. Smith; Mark Yandell; Cheryl Evans; Robert A. Holt; Jeannine D. Gocayne; Peter G. Amanatides; Richard M. Ballew; Daniel H. Huson; Jennifer R. Wortman; Qing Zhang; Chinnappa D. Kodira; Xiangqun Zheng-Bradley; Lin Chen; Marian Skupski; G. Subramanian; Paul D. Thomas; Jinghui Zhang; George L. Gabor Miklos; Catherine R. Nelson; Samuel Broder; Andrew G. Clark; Joe Nadeau; Victor A. McKusick; Norton D. Zinder; Arnold J. Levine; Richard J. Roberts; Mel I. Simon; Carolyn W. Slayman; Michael W. Hunkapiller; Randall Bolanos; Arthur L. Delcher; Ian Dew; Daniel Fasulo; Michael J. Flanigan; Liliana Florea; Aaron L. Halpern; Sridhar Hannenhalli; Saul Kravitz; Samuel Lévy; Clark Mobarry; Knut Reinert; Karin Remington; Jane Abu-Threideh; Ellen M. Beasley; Kendra Biddick; Vivien Bonazzi; Rhonda Brandon; Michele Cargill; Ishwar Chandramouliswaran; Rosane Charlab; Kabir Chaturvedi; Zuoming Deng; Valentina Di Francesco; Patrick Dunn; Karen Eilbeck; Carlos Evangelista; Andrei Gabrielian; Weiniu Gan; Wangmao Ge; Fangcheng Gong; Zhiping Gu; Ping Guan; Thomas J. Heiman; Maureen E. Higgins; Rui‐Ru Ji; Zhaoxi Ke; Karen A. Ketchum; Zhongwu Lai; Yiding Lei; Zhenya Li; Jiayin Li; Yong Liang; Xiaoying Lin; Fu Lu; Gennady V. Merkulov; Natalia V. Milshina; Helen M. Moore; Ashwinikumar K. Naik; Vaibhav A. Narayan; Beena Neelam; Deborah Nusskern; Douglas B. Rusch; Steven L. Salzberg; Wei Shao; Bixiong Chris Shue; Jing‐Tao Sun; Zhen Yuan Wang; Aihui Wang; Xin Wang; Jian Wang; Ming-Hui Wei; Ron Wides; Chunlin Xiao; Chunhua Yan,"Pacific Engineering (United States); University of California, Berkeley; Pennsylvania State University; Case Western Reserve University; Johns Hopkins University; Johns Hopkins Hospital; Rockefeller University; New England Biolabs (United States); California Institute of Technology; Yale University; Bar-Ilan University",189.0,13629.0,436.3835,0.99999007,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,false,English,US; IL,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2096791516,https://doi.org/10.1038/nature11632,"An integrated map of genetic variation from 1,092 human genomes",Nature,2012,article,Nature,Zamin Iqbal; Andy Rimmer; Anjali Gupta-Hinch; Gil A. McVean; Peter Donnelly; Angeliki Kerasidou; Dionysia K. Xifara; Iain Mathieson; Olivier Delaneau; Gil McVean; Claire Churchhouse; Gaurav Bhatia; James C. Nemesh; Namrata Gupta; Eric Banks; Robert E. Handsaker; Khalid Shakir; Sharon R. Grossman; Heng Li; Stacey B. Gabriel; Eric S. Lander; Chris Hartl; Mark A. DePristo; Mauricio O. Carneiro; Guillermo del Angel; Stephen F. Schaffner; Steven A. McCarroll; Ryan E. Poplin; Shervin Tabrizi; Ridhi Tariyal; Giulio Genovese; David M. Altshuler; David Reich; Matthew E. Hurles; Ni Huang; Yali Xue; Thomas M. Keane; Yuan Chen; Jennifer Harrow; Aylwyn Scally; Petr Danecek; Klaudia Walter; Vincenza Colonna; James Stalker; Zemin Ning; Senduran Balasubramaniam; Shane McCarthy; Ben Blackburne; Richard Durbin; John Burton; Alison J. Coffey; Sarah J. Lindsay; Luke Jostins; Chris Tyler-Smith; Qasim Ayub; Yujun Zhang; Adam Frankish; Michael Quail; Anja Kolb-Kokocinski; Fabio Busonero; Adrian Tan; Gonçalo R. Abecasis; Jin Yu; Goo Jun; Paul Anderson; Carlo Sidore; Christian Fuchsberger; Tom Blackwell; Mary Kate Trost; Eleonora Porcu; Andrea Maschio; Zoya Kingsbury; Lisa Murray; R. Keira Cheetham; Russell Grocock; Tony Cox; Richard Shaw; Terena James; Michael Eberle; Markus Bauer; David R. Bentley; Sean Humphray; Aravinda Chakravarti; Juan L. Rodriguez-Flores; Jeremiah Degenhardt; Andrew G. Clark; Francisco M. De La Vega,Centre for Human Genetics; University of Michigan; University of Oxford; Yeshiva University; National Institutes of Health; Broad Institute; Wellcome Sanger Institute; Harvard University Press; Boston College; Harvard University; Evolutionary Genomics (United States); Center for Systems Biology; Massachusetts General Hospital; Center for Human Genetics; Institute of Genetics and Biophysics; National Research Council; University of Sassari; Institute of Genetic and Biomedical Research; University of Chester; Johns Hopkins University; Johns Hopkins Medicine; Cornell University,48.0,8198.0,587.0587,1.0,Genetic Associations and Epidemiology,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,GB; US; IT,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2217809488,https://doi.org/10.1038/nature04226,A haplotype map of the human genome,Nature,2005,article,Nature,,,105.0,5896.0,258.8051,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,Unknown,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2158485828,https://doi.org/10.1038/ng.2764,The Cancer Genome Atlas Pan-Cancer analysis project,Nature,2013,article,Nature Genetics,John N. Weinstein; Eric A Collisson; Gordon B. Mills; Kenna Shaw; Brad Ozenberger; Kyle Ellrott; Ilya Shmulevich; Chris Sander; Joshua M. Stuart,"The University of Texas MD Anderson Cancer Center; University of California, San Francisco; National Cancer Institute; National Institutes of Health; National Human Genome Research Institute; University of California, Santa Cruz; Institute for Systems Biology; Memorial Sloan Kettering Cancer Center",44.0,9307.0,91.5751,0.99975138,Cancer Genomics and Diagnostics,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,US,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2025183726,https://doi.org/10.1038/nature07385,Comprehensive genomic characterization defines human glioblastoma genes and core pathways,Nature,2008,article,Nature,Roger E. McLendon,Duke University,51.0,7752.0,171.4953,1.0,Glioma Diagnosis and Treatment,Genetics,Medicine,Health Sciences,True,bronze,journal,false,English,US,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2123696077,https://doi.org/10.1038/nature10166,Integrated genomic analyses of ovarian carcinoma,Nature,2011,article,Nature,Debra Bell; Andrew Berchuck; Michael J. Birrer; Marcin Imieliński; Jeremy Chien; D. W. Cramer; Narciso Olvera; Fanny Dao; D. A. Levine; Rajiv Dhir; Philip J. DiSaia; Hani Gabra; Karen Smith‐McCune; Pat Glenn; A. K. Godwin; Sandra Oršulić; Beth Y. Karlan; Jenny Gross; L Hartmann; Mei Huang; David G. Huntsman; Steve E. Kalloger; Brenda Rabeno; Mary Iacocca; G.B. Mills; G. B. Mills; J. N. Weinstein; C. Morrison; D. Mutch; Kay J. Park; Nicholas J. Petrelli; Janet S. Rader; Branimir I. Šikić; Anil K. Sood; David D.L. Bowtell; Scott Morris; Peggy Yena; Michael J Hatfield; Joseph Paulauskis; Troy Shelton; Robert Penny; Paul Rhodes; Mark E. Sherman; Donata Grimm; Sherri Z. Millis; Joseph R. Testa; David A. Wheeler; Lora Lewis; Y.-Q. Wu; Jennifer Drummond; Irene Newsham; M. B. Morgan; Jireh Santibanez; C. Kovar; Huyen Dinh; Kuo-Ching Chang; Lisa R. Treviño; C. J. Creighton; Richard A. Gibbs; Preethi H. Gunaratne; Gerald Fowler; M. Wang; Alicia Hawes; Donna M. Muzny; J. G. Reid; G. Getz; Matthew Meyerson; Andrey Sivachenko; C. H. Mermel; Alex H. Ramos; K. Cibulskis; R. W. Park; S. L. Carter; Robert C. Onofrio; Gordon Saksena; Eric S. Lander; L. Chin; Andrew Crenshaw; Kristin Ardlie; Gaddy Getz; Huy Nguyen; R. G. W. Verhaak; Michael S. Lawrence; Douglas Voet; Sumeet Gupta; Rui Jing; Mike Noble; Diana Hubbard; Kristian Cibulskis,"Mayo Clinic; WinnMed; Mayo Clinic in Arizona; Duke University; Duke Medical Center; Harvard University Press; Harvard University; Massachusetts General Hospital; Memorial Sloan Kettering Cancer Center; University of Pittsburgh; Brigham and Women's Hospital; University of California, Irvine; Imperial College London; University of California, San Francisco; Fox Chase Cancer Center; Cedars-Sinai Medical Center; University of British Columbia; Ovarian Cancer Action; Christiana Care Health System; University of California, Los Angeles; Roswell Park Comprehensive Cancer Center; Stanford University; The University of Texas MD Anderson Cancer Center; Washington University in St. Louis; BC Cancer Agency; Medical College of Wisconsin; Baylor College of Medicine; Palo Alto University; Stanford Medicine; Peter MacCallum Cancer Centre; Translational Genomics Research Institute; Lawrence Berkeley National Laboratory; Brown University; Massachusetts Institute of Technology; Buck Institute for Research on Aging; Johns Hopkins University; Broad Institute; Eli and Edythe Broad Foundation; Dana-Farber Cancer Institute; University of Houston; Center for Systems Biology; University of Michigan; Ann Arbor Center for Independent Living; University of Southern California; University of California, Berkeley; Walter and Eliza Hall Institute of Medical Research",57.0,8086.0,177.3573,1.0,Cancer-related molecular mechanisms research,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,US; GB; CA; AU,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2151464048,https://doi.org/10.1038/nature01262,Initial sequencing and comparative analysis of the mouse genome,Nature,2002,article,Nature,Robert H Waterston; R Waterston; Kerstin Lindblad‐Toh; Ewan Birney; Jane Rogers; Josep F. Abril; Pankaj Agarwal; Richa Agarwala; Rachel Ainscough; Marina Alexandersson; Peter An; Stylianos E. Antonarakis; Robert Baertsch; J. Bailey; K. F. Barlow; Stephan Beck; E. Berry; Bruce W. Birren; Toby Bloom; Peer Bork; Marc Botcherby; Nicolas Bray; Michael R. Brent; Daniel G. Brown; S.D.M. Brown; Carol J. Bult; John H. Burton; Jonathan A. Butler; R. Duncan Campbell; Piero Carninci; Simon Cawley; Francesca Chiaromonte; Asif Chinwalla; Deanna M. Church; Michèle Clamp; Christopher Clee; Francis S. Collins; Lisa L. Cook; Richard R. Copley; Alan Coulson; Olivier Couronne; James Cuff; Val Curwen; Tim Cutts; Mark Daly; Robert David; J. Davies; Kimberly D. Delehaunty; Justin Deri; Emmanouil T. Dermitzakis; Colin N. Dewey; Nicholas J. Dickens; Mark Diekhans; Sheila Dodge; Inna Dubchak; Diane M. Dunn; Sean R. Eddy; Laura Elnitski; Richard D. Emes; Pallavi Eswara; Eduardo Eyras; Adam L. Felsenfeld; Ginger Fewell; Paul Flicek; Karen Foley; Wayne N. Frankel; Lucinda A. Fulton; Robert S. Fulton; Terrence S. Furey; Diane Gage; Richard A. Gibbs; Gustavo Glusman; Sante Gnerre; Nick Goldman; Leo Goodstadt; Darren Grafham; Tina Graves; Eric D. Green; Simon G. Gregory; Roderic Guigó; Mark S. Guyer; Ross C. Hardison; David Haussler; Yoshihide Hayashizaki; LaDeana W. Hillier; Wratko Hlavina; Timothy R. Holzer; Fan Hsu; Axin Hua; Tim Hubbard; Adrienne Hunt; Ian J. Jackson; David B. Jaffe; L. Steven Johnson; Matthew C. Jones; Thomas A. Jones; Ann Joy; Michael Kamal,Washington University in St. Louis,330.0,7222.0,181.9707,0.99998139,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,US,false
Claude,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1494075612,https://doi.org/10.1038/35048692,Analysis of the genome sequence of the flowering plant Arabidopsis thaliana,Nature,2000,article,Nature,Arabidopsis Genome Initiative,J. Craig Venter Institute,122.0,9326.0,212.2221,0.9999801,Photosynthetic Processes and Mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,US,false
