system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Claude,Machine Translation,2026-04-26 18:40:00,Crossref,,https://doi.org/10.1007/978-0-387-30164-8_783,Statistical Machine Translation,Springer,2011,book chapter,Encyclopedia of Machine Learning,Miles Osborne,,5.0,,,,,,,,true,open,,Unknown,Unknown,Unknown,Unknown
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2006969979,,The mathematics of statistical machine translation: parameter estimation,,1993,article,,Peter F. Brown; Vincent J. Della Pietra; Stephen A. Della Pietra; Robert L. Mercer,IBM (United States),15.0,4124.0,32.6465,0.99801686,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2097333193,https://doi.org/10.5555/92858.92860,A statistical approach to machine translation,,1990,article,,Peter F. Brown; John Cocke; Stephen A. Della Pietra; Vincent J. Della Pietra; Fredrick Jelinek; John Lafferty; Robert L. Mercer; Paul S. Roossin,IBM (United States),8.0,1699.0,26.8768,0.99787347,Rough Sets and Fuzzy Logic,Computational Theory and Mathematics,Computer Science,Physical Sciences,false,closed,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2156985047,https://doi.org/10.1162/089120103321337421,A Systematic Comparison of Various Statistical Alignment Models,Association for Computational Linguistics,2003,article,Computational Linguistics,Franz Josef Och; Hermann Ney,Marina Del Rey Hospital; RWTH Aachen University,39.0,3921.0,130.7525,0.99985397,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US; DE,false
Claude,Machine Translation,2026-04-26 18:40:00,Semantic Scholar,,https://doi.org/10.3115/1073083.1073135,Bleu: a Method for Automatic Evaluation of Machine Translation,,2002,,Annual Meeting of the Association for Computational Linguistics,Kishore Papineni; Salim Roukos; T. Ward; Wei-Jing Zhu,,5.0,32806.0,,,Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2146574666,https://doi.org/10.3115/1075096.1075117,Minimum error rate training in statistical machine translation,,2003,article,,Franz Josef Och,University of Southern California; Marina Del Rey Hospital,21.0,2767.0,74.511,0.99957655,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W1498238796,https://doi.org/10.1007/978-3-540-30194-3_13,Pharaoh: A Beam Search Decoder for Phrase-Based Statistical Machine Translation Models,Springer,2004,book chapter,Lecture Notes in Computer Science,Philipp Koehn,Massachusetts Institute of Technology,21.0,635.0,44.7771,0.99887905,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,book series,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2161792612,https://doi.org/10.3115/1118693.1118711,"A phrase-based, joint probability model for statistical machine translation",,2002,article,,Daniel Marcu; William Wong,Marina Del Rey Hospital; University of Southern California,18.0,476.0,34.9571,0.9982731,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2169724380,https://doi.org/10.3115/1220835.1220849,Alignment by agreement,,2006,article,,Percy Liang; Ben Taskar; Dan Klein,"University of California, Berkeley; Berkeley College",14.0,433.0,28.8897,0.99716894,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2153653739,https://doi.org/10.3115/1073445.1073462,Statistical phrase-based translation,,2003,article,,Philipp Koehn; Franz Josef Och; Daniel Marcu,Southern California University for Professional Studies; University of Southern California,20.0,3276.0,106.846,0.99978097,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2154124206,https://doi.org/10.3115/1073083.1073133,Discriminative training and maximum entropy models for statistical machine translation,,2001,article,,Franz Josef Och; Hermann Ney,FH Aachen,16.0,1043.0,28.9137,0.99628586,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,DE,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2437005631,https://doi.org/10.1162/coli.2007.33.2.201,Hierarchical Phrase-Based Translation,Association for Computational Linguistics,2007,article,Computational Linguistics,David Chiang,Associated Press,44.0,1163.0,142.3434,0.99987492,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2141440284,,Scalable Modified Kneser-Ney Language Model Estimation,,2013,article,,Kenneth Heafield; Ivan Pouzyrevsky; Jonathan H. Clark; Philipp Koehn,Carnegie Mellon University,26.0,447.0,82.0303,0.9994581,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
Claude,Machine Translation,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W22168010,,Europarl: A Parallel Corpus for Statistical Machine Translation,,2005,article,,Philipp Koehn,,9.0,3109.0,84.5377,0.99966268,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,Unknown,false
