system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3121217586,https://doi.org/10.2307/1905313,A Theory of the Consumption Function,Wiley,1960.0,article,Econometrica,Erich Streißler; Milton Friedman,,0.0,2255.0,183.2217,0.99987413,"Income, Poverty, and Inequality",Sociology and Political Science,Social Sciences,Social Sciences,false,closed,journal,false,English,Unknown,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1667384730,https://doi.org/10.2139/ssrn.1292332,Large Bayesian VARs,RELX Group (Netherlands),2008.0,preprint,SSRN Electronic Journal,Marta Banbura; Domenico Giannone; Lucrezia Reichlin,European Central Bank; Amazon (Germany); Centre for Economic Policy Research; Université Libre de Bruxelles; London Business School,33.0,101.0,,,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,true,green,repository,false,English,DE; GB; BE,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2165144879,https://doi.org/10.2307/2171753,Instrumental Variables Regression with Weak Instruments,Wiley,1997.0,article,Econometrica,Douglas O. Staiger; James H. Stock,Dartmouth College; National Bureau of Economic Research; Harvard University,0.0,7228.0,52.2217,0.99906803,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,US,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2110153620,https://doi.org/10.3386/t0284,Testing for Weak Instruments in Linear IV Regression,,2002.0,report,National Bureau of Economic Research,James H. Stock; Motohiro Yogo,National Bureau of Economic Research; Harvard University; Harvard University Press; Princeton University,36.0,1863.0,,,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,true,green,repository,false,English,US,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3124658416,https://doi.org/10.1080/01621459.1996.10476902,Identification of Causal Effects Using Instrumental Variables,,1996.0,article,Journal of the American Statistical Association,Joshua D. Angrist; Guido W. Imbens; Donald B. Rubin,Massachusetts Institute of Technology; Harvard University Press; Harvard University,46.0,4163.0,19.4642,0.99540067,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,US,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2143336681,https://doi.org/10.1162/rest.88.3.549,Interpretation of Regressions with Multiple Proxies,MIT Press,2006.0,article,The Review of Economics and Statistics,Darren Lubotsky; Martin Wittenberg,University of Illinois Urbana-Champaign; University of Cape Town,27.0,165.0,20.2327,0.99088099,"Income, Poverty, and Inequality",Sociology and Political Science,Social Sciences,Social Sciences,false,closed,journal,false,English,US; ZA,true
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2091020207,https://doi.org/10.2307/2234656,Estimation and Inference in Econometrics.,Oxford University Press,1994.0,article,The Economic Journal,Marcus J. Chambers; Russell Davidson; James G. MacKinnon,University of Essex,0.0,5593.0,379.5714,1.0,Game Theory and Voting Systems,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,GB,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1460189015,https://doi.org/10.1017/cbo9780511802256,Asymptotic Statistics,Cambridge University Press,1998.0,book chapter,Cambridge University Press eBooks,Aad van der Vaart,Vrije Universiteit Amsterdam,0.0,4063.0,3.9256,0.96644295,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,false,closed,ebook platform,false,English,NL,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3125844422,https://doi.org/10.2307/2669498,Generalized Method of Moments Estimation,,2000.0,article,Journal of the American Statistical Association,Guido M. Kuersteiner; László Mátyás,,0.0,139.0,31.3527,0.99539323,Climate Change Policy and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
DeepSeek,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1793710517,https://doi.org/10.1016/s0169-7161(05)80051-3,16 Efficient estimation of models with conditional moment restrictions,Elsevier,1993.0,book chapter,Handbook of statistics,Whitney K. Newey,,35.0,224.0,14.6794,0.98825065,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,book series,false,English,Unknown,false
