system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2168909179,https://doi.org/10.1038/35057062,Initial sequencing and analysis of the human genome,Nature,2001,article,Nature,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar; Michael P. Doyle; William W. Fitzhugh; Roel Funke; Diane Gage; Katrina L. Harris; Andrew Heaford; John G. Howland; Lisa Kann; Jessica A. Lehoczky; R Paul Levine; Paul McEwan; Kevin McKernan; James C. Meldrim; Jill P. Mesirov; Cher Miranda; William Morris; Jerome W. Naylor; Christina Raymond; Mark Rosetti; Ralph Santos; Andrew Sheridan; Carrie Sougnez; Nicole Stange-Thomann; Nikola M. Stojanović; Aravind Subramanian; Dudley Wyman; Jane Rogers; John Sulston; R. Ainscough; Stephan Beck; David Bentley; John H. Burton; Christopher Clee; Nigel Carter; Alan Coulson; Rebecca Deadman; Panos Deloukas; Andrew Dunham; Ian Dunham; Richard Durbin; Lisa French; Darren Grafham; Simon G. Gregory; Tim Hubbard; Sean Humphray; Adrienne Hunt; Matthew C. Jones; Christine Lloyd; Amanda A. McMurray; Lucy Matthews; Simon Mercer; Sarah Milne; James C. Mullikin; Andrew J. Mungall; R. W. Plumb; Mark T. Ross; R. Shownkeen; Sarah Sims; R Waterston; Richard K. Wilson; LaDeana W. Hillier; John D. McPherson; Marco A. Marra; Elaine R. Mardis; Lucinda A. Fulton; Asif Chinwalla; Kymberlie Pepin; Warren Gish; Stephanie L. Chissoe; Michael C. Wendl; Kim D. Delehaunty; Tracie L. Miner; Andrew Delehaunty; Jason Kramer; Lisa L. Cook; Robert S. Fulton; D. Johnson; Patrick Minx; Sandra W. Clifton; Trevor Hawkins; Elbert Branscomb; Paul Predki; Paul Richardson; Sarah Wenning; Tom Slezak; Norman A. Doggett; Jan‐Fang Cheng; Anne S. Olsen; Susan Lucas; Christopher J. Elkin; Edward C. Uberbacher; M.E. Frazier,Whitehead Institute for Biomedical Research; Wellcome Sanger Institute; Washington University in St. Louis; Joint Genome Institute,460,24479.0,572.1861,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,US; GB,false
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2127230663,https://doi.org/10.1126/science.1058040,The Sequence of the Human Genome,American Association for the Advancement of Science,2001,article,Science,J. Craig Venter; Mark D. Adams; Eugene W. Myers; Peter W. Li; Richard Mural; Granger G. Sutton; Hamilton O. Smith; Mark Yandell; Cheryl Evans; Robert A. Holt; Jeannine D. Gocayne; Peter G. Amanatides; Richard M. Ballew; Daniel H. Huson; Jennifer R. Wortman; Qing Zhang; Chinnappa D. Kodira; Xiangqun Zheng-Bradley; Lin Chen; Marian Skupski; G. Subramanian; Paul D. Thomas; Jinghui Zhang; George L. Gabor Miklos; Catherine R. Nelson; Samuel Broder; Andrew G. Clark; Joe Nadeau; Victor A. McKusick; Norton D. Zinder; Arnold J. Levine; Richard J. Roberts; Mel I. Simon; Carolyn W. Slayman; Michael W. Hunkapiller; Randall Bolanos; Arthur L. Delcher; Ian Dew; Daniel Fasulo; Michael J. Flanigan; Liliana Florea; Aaron L. Halpern; Sridhar Hannenhalli; Saul Kravitz; Samuel Lévy; Clark Mobarry; Knut Reinert; Karin Remington; Jane Abu-Threideh; Ellen M. Beasley; Kendra Biddick; Vivien Bonazzi; Rhonda Brandon; Michele Cargill; Ishwar Chandramouliswaran; Rosane Charlab; Kabir Chaturvedi; Zuoming Deng; Valentina Di Francesco; Patrick Dunn; Karen Eilbeck; Carlos Evangelista; Andrei Gabrielian; Weiniu Gan; Wangmao Ge; Fangcheng Gong; Zhiping Gu; Ping Guan; Thomas J. Heiman; Maureen E. Higgins; Rui‐Ru Ji; Zhaoxi Ke; Karen A. Ketchum; Zhongwu Lai; Yiding Lei; Zhenya Li; Jiayin Li; Yong Liang; Xiaoying Lin; Fu Lu; Gennady V. Merkulov; Natalia V. Milshina; Helen M. Moore; Ashwinikumar K. Naik; Vaibhav A. Narayan; Beena Neelam; Deborah Nusskern; Douglas B. Rusch; Steven L. Salzberg; Wei Shao; Bixiong Chris Shue; Jing‐Tao Sun; Zhen Yuan Wang; Aihui Wang; Xin Wang; Jian Wang; Ming-Hui Wei; Ron Wides; Chunlin Xiao; Chunhua Yan,"Pacific Engineering (United States); University of California, Berkeley; Pennsylvania State University; Case Western Reserve University; Johns Hopkins University; Johns Hopkins Hospital; Rockefeller University; New England Biolabs (United States); California Institute of Technology; Yale University; Bar-Ilan University",189,13629.0,436.3835,0.99999007,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,journal,false,English,US; IL,false
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2612812586,https://doi.org/10.1038/nature03001,Finishing the euchromatic sequence of the human genome,Nature,2004,article,Nature,Uma Maheswari,,71,4886.0,105.3496,0.99996864,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,bronze,journal,false,English,Unknown,false
DeepSeek,Genomics,2026-04-28 22:40:00,Crossref,,https://doi.org/10.1038/nmeth.2238,The ENCODE project,Springer,2012,article,Nature Methods,Natalie de Souza,,1,131.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2259938310,https://doi.org/10.1038/nature11247,An integrated encyclopedia of DNA elements in the human genome,Nature,2012,article,Nature,Sylvain Foissac,Laboratoire de Génétique Cellulaire; Laboratoire de Génie Chimique,84,19225.0,492.546,1.0,Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,bronze,journal,false,English,FR,false
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2102304447,https://doi.org/10.1038/nature05874,Identification and analysis of functional elements in 1% of the human genome by the ENCODE pilot project,Nature,2007,article,Nature,Fabio Pardi; Damian Keefe; Benedict Paten; Tim Massingham; Ewan Birney*; Abel Ureta‐Vidal; Ari Löytynoja; Paul Flicek; Ewan Birney; Simon Whelan; Nick Goldman; Robert E. Thurman; Fidencio Neri; Shane Neph; Kirsten Lee; Jeff Goldy; Anthony Shafer; Michael O. Dorschner; Molly Weaver; Richard Sandstrom; J Stamatoyannopoulos; Andrew Haydock; Michael S. Kuehn; William Stafford Noble; Nathan Day; Richard Humbert; Peter J. Sabo; Anindya Dutta; Ankit Malhotra; Neerja Karnani; Christopher M. Taylor; Gregory C. Lefebvre; Patrick J. Boyle; Man Yu; Tyler Alioto; Roderic Guigó; France Denoeud; Núria López-Bigas; Josep F. Abril; Robert Castelo; Julien Lagarde; Eduardo Eyras; Srinka Ghosh; Evelyn J. Cheung; David A. Nix; Philipp Kapranov; Madhavan Ganesh; Ian Bell; Jill Cheng; Sylvain Foissac; Sandeep Patel; Hari Tammana; Jörg Drenkow; T Gingeras; Sujit Dike; Gerard G. Bouffard; James C. Mullikin; Francis S. Collins; Valerie V. Maduro; Elliott H. Margulies; Eric D. Green; Robert W. Blakesley; Jacquelyn R. Idol; Zhiping Weng; Anason Halees; Xiaoling Zhang; Mousheng Xu; Ulaş Karaöz; Yutao Fu; Hennady P. Shulha; Yong Yu; Jaafar N. Haidar; Jane M. Lin; Ghia Euskirchen; Jiaqian Wu; Ugrappa Nagalakshmi; M Snyder; Stephen E. Hartman; Peter R. Kraus; Michael Snyder; Alexander E. Urban; Deyou Zheng; Joel Rozowsky; Mark Gerstein; Zhengdong D. Zhang; Michael Seringhaus,"European Bioinformatics Institute; University of Washington; Seattle University; University of Virginia; Universitat Pompeu Fabra; Thermo Fisher Scientific (Israel); National Institutes of Health; Boston University; Yale University; Seattle Pacific University; University of Washington Medical Center; Harvard University Press; University of North Carolina at Chapel Hill; Allen Institute for Brain Science; Allen Institute; Wellcome Sanger Institute; Center for Genomic Science; Barcelona Biomedical Research Park; Bioinformatics Institute; Affymax (United States); University of Massachusetts Chan Medical School; Duke University; University of Geneva; University of Lausanne; National Human Genome Research Institute; University of Vienna; University of California, Santa Cruz; Universitat de Barcelona; Agency for Science, Technology and Research; Leipzig University; Fraunhofer-Gesellschaft; Stanford University",204,5243.0,193.8888,0.99996025,Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,bronze,journal,false,English,GB; US; ES; IL; IT; SG; CH; AT; DE,false
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2166810745,https://doi.org/10.1038/nature11233,Landscape of transcription in human cells,Nature,2012,article,Nature,Sarah Djebali; Carrie Davis; Angelika Merkel; Alexander Dobin; Timo Lassmann; A Mortazavi; Andrea Tanzer; Julien Lagarde; Wei Lin; Felix Schlesinger; Chenghai Xue; Georgi K. Marinov; Jainab Khatun; Brian A. Williams; Chris Zaleski; Joel Rozowsky; Maik Röder; Felix Kokocinski; Rehab Abdelhamid; Tyler Alioto; Igor Antoshechkin; Michael T. Baer; Nadav Bar; Philippe Batut; Kimberly Bell; Ian Bell; Sudipto K. Chakrabortty; Xian Chen; Jacqueline Chrast; João Curado; Thomas Derrien; Jörg Drenkow; Erica Dumais; Jacqueline Dumais; Radha Duttagupta; Emilie Falconnet; Meagan Fastuca; Kata Fejes-Toth; Pedro G. Ferreira; Sylvain Foissac; Melissa J. Fullwood; Hui Gao; David González; Assaf Gordon; Harsha P. Gunawardena; Cédric Howald; Sonali Jha; Rory Johnson; Philipp Kapranov; Brandon King; Colin Kingswood; Oscar Junhong Luo; Eddie Park; Kimberly Persaud; Jonathan Preall; Paolo Ribeca; Brian A. Risk; Daniel Robyr; Michael Sammeth; Lorian Schaffer; Lei-Hoon See; Atif Shahab; Jørgen Skancke; Ana Maria Suzuki; Hazuki Takahashi; Hagen Tilgner; Diane Trout; Nathalie Walters; Huaien Wang; John A. Wrobel; Yanbao Yu; Xiaoan Ruan; Yoshihide Hayashizaki; Jennifer Harrow; Mark Gerstein; Tim Hubbard; Alexandre Reymond; Stylianos E. Antonarakis; Gregory J. Hannon; Morgan C. Giddings; Yijun Ruan; B Wold; Piero Carninci; Roderic Guigó; T Gingeras,"Centre for Genomic Regulation; Cold Spring Harbor Laboratory; Universitat Pompeu Fabra; RIKEN Center for Integrative Medical Sciences; California Institute of Technology; University of California, Irvine; Boise State University; Irvine University; Yale University; Whitney Museum of American Art; Wellcome Sanger Institute; Centro Nacional de Análisis Genómico; Norwegian University of Science and Technology; University of North Carolina at Chapel Hill; NeuroMetrix (United States); University of Lausanne; University of Geneva; Laboratoire de Génétique Cellulaire; Laboratoire de Génie Chimique; Genome Institute of Singapore; St. Laurent Institute",43,5352.0,153.031,0.99994131,Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,ES; US; JP; GB; NO; CH; FR; SG,false
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2104549677,https://doi.org/10.1038/nature15393,A global reference for human genetic variation,Nature,2015,article,Nature,Corresponding authors; Adam Auton; Gonçalo R. Abecasis; David M. Altshuler; Richard Durbin; David R. Bentley; Aravinda Chakravarti; Andrew G. Clark; Peter Donnelly; Evan E. Eichler; Paul Flicek; Stacey B. Gabriel; Richard A. Gibbs; Eric D. Green; Matthew E. Hurles; Bartha M. Knoppers; Jan O. Korbel; Eric S. Lander; Charles Lee; Hans Lehrach; Elaine R. Mardis; Gábor Marth; Gil A. McVean; Deborah A. Nickerson; Jeanette P. Schmidt; Stephen T. Sherry; Jun Wang; Richard K. Wilson; Production group; Eric Boerwinkle; HarshaVardhan Doddapaneni; Yi Han; Viktoriya Korchina; Christie Kovar; Sandra Lee; Donna M. Muzny; Jeffrey G. Reid; Yiming Zhu; BGI-Shenzhen; Yuqi Chang; Qiang Feng; Xiaodong Fang; Xiaosen Guo; Min Jian; Hui Jiang; Xin Jin; Tianming Lan; Guoqing Li; Jingxiang Li; Yingrui Li; Shengmao Liu; Xiao Liu; Yao Lu; Xuedi Ma; Meifang Tang; Bo Wang; Guangbiao Wang; Honglong Wu; Renhua Wu; Xun Xu; Ye Yin; Dandan Zhang; Wenwei Zhang; Jiao Zhao; Meiru Zhao; Xiaole Zheng; Stacey Gabriel; Namrata Gupta; Neda Gharani; Lorraine H. Toji; Norman P. Gerry; Alissa Resch; Jonathan Barker; Laura Clarke; Laurent Gil; Sarah Hunt; Gavin Kelman; Eugene Kulesha; Rasko Leinonen; William McLaren; Rajesh Radhakrishnan; Asier Roa; Dmitriy Smirnov; Richard E. Smith; Ian Streeter; Anja Thormann; Iliana Toneva; Brendan Vaughan; Xiangqun Zheng-Bradley; Illumina; Russell Grocock; Sean Humphray; Terena James,Albert Einstein College of Medicine; University of Michigan; Vertex Pharmaceuticals (United States); Wellcome Sanger Institute; Illumina (United Kingdom); Johns Hopkins University; Johns Hopkins Medicine; Cornell University; Centre for Human Genetics; University of Oxford; Howard Hughes Medical Institute; University of Washington; European Bioinformatics Institute; Broad Institute; Baylor College of Medicine; Baylor Genetics; National Institutes of Health; National Human Genome Research Institute; McGill University; European Molecular Biology Laboratory; Ewha Womans University; Jackson Laboratory; Max Planck Institute for Molecular Genetics; Dynamic Systems (United States); University of Utah; Star Center; National Center for Biotechnology Information; BGI Group (China); Macau University of Science and Technology; University of Copenhagen; King Abdulaziz University; University of Hong Kong; University of North Carolina at Chapel Hill; The University of Texas Health Science Center at Houston; Coriell Institute For Medical Research; United Nations University - Maastricht Economic and Social Research Institute on Innovation and Technology; Maastricht University; Alacris (Germany),40,19676.0,888.4598,1.0,Genetic Associations and Epidemiology,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,US; GB; CA; DE; KR; CN; MO; DK; SA; HK; NL,true
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2096791516,https://doi.org/10.1038/nature11632,"An integrated map of genetic variation from 1,092 human genomes",Nature,2012,article,Nature,Zamin Iqbal; Andy Rimmer; Anjali Gupta-Hinch; Gil A. McVean; Peter Donnelly; Angeliki Kerasidou; Dionysia K. Xifara; Iain Mathieson; Olivier Delaneau; Gil McVean; Claire Churchhouse; Gaurav Bhatia; James C. Nemesh; Namrata Gupta; Eric Banks; Robert E. Handsaker; Khalid Shakir; Sharon R. Grossman; Heng Li; Stacey B. Gabriel; Eric S. Lander; Chris Hartl; Mark A. DePristo; Mauricio O. Carneiro; Guillermo del Angel; Stephen F. Schaffner; Steven A. McCarroll; Ryan E. Poplin; Shervin Tabrizi; Ridhi Tariyal; Giulio Genovese; David M. Altshuler; David Reich; Matthew E. Hurles; Ni Huang; Yali Xue; Thomas M. Keane; Yuan Chen; Jennifer Harrow; Aylwyn Scally; Petr Danecek; Klaudia Walter; Vincenza Colonna; James Stalker; Zemin Ning; Senduran Balasubramaniam; Shane McCarthy; Ben Blackburne; Richard Durbin; John Burton; Alison J. Coffey; Sarah J. Lindsay; Luke Jostins; Chris Tyler-Smith; Qasim Ayub; Yujun Zhang; Adam Frankish; Michael Quail; Anja Kolb-Kokocinski; Fabio Busonero; Adrian Tan; Gonçalo R. Abecasis; Jin Yu; Goo Jun; Paul Anderson; Carlo Sidore; Christian Fuchsberger; Tom Blackwell; Mary Kate Trost; Eleonora Porcu; Andrea Maschio; Zoya Kingsbury; Lisa Murray; R. Keira Cheetham; Russell Grocock; Tony Cox; Richard Shaw; Terena James; Michael Eberle; Markus Bauer; David R. Bentley; Sean Humphray; Aravinda Chakravarti; Juan L. Rodriguez-Flores; Jeremiah Degenhardt; Andrew G. Clark; Francisco M. De La Vega,Centre for Human Genetics; University of Michigan; University of Oxford; Yeshiva University; National Institutes of Health; Broad Institute; Wellcome Sanger Institute; Harvard University Press; Boston College; Harvard University; Evolutionary Genomics (United States); Center for Systems Biology; Massachusetts General Hospital; Center for Human Genetics; Institute of Genetics and Biophysics; National Research Council; University of Sassari; Institute of Genetic and Biomedical Research; University of Chester; Johns Hopkins University; Johns Hopkins Medicine; Cornell University,48,8198.0,587.0587,1.0,Genetic Associations and Epidemiology,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,GB; US; IT,false
DeepSeek,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2171777347,https://doi.org/10.1038/nature09534,A map of human genome variation from population-scale sequencing,Nature,2010,article,Nature,Min Hu; Yuan Chen; James Stalker; Richard M. Durbin; Si Quang Le; Leopold Parts; Allison Coffey; Yujun Zhang; Jeffrey C. Barrett; Aarno Palotie; Matt E. Hurles; Harold P. Swerdlow; Carol Scott; John Burton; Chris Tyler-Smith; Sarah Lindsay; Yali Xue; Daniel Turner; Klaudia Walter; Donald F. Conrad; Quan Long; Thomas M. Keane; Tom Skelly; Daniel G. MacArthur; Luke Jostins; Senduran Balasubramaniam; Carol Churcher; Ni Huang; Anthony Cox; Michael Quail; David M. Carter; Qasim Ayub; Alison Coffey; Petr Danecek; Pardis C. Sabeti; Andrew M. Kernytsky; Heng Li; Ilya A. Shlyakhter; Carrie L. Sougnez; Aaron McKenna; Stacey B. Gabriel; Jane Wilkinson; David B. Jaffe; Eric Banks; Kiran V. Garimella; David Altshuler; Eric S. Lander; Aaron D. Ball; Toby Bloom; Ryan E. Poplin; Lauren Ambrogio; Manuel A. Rivas; Steven A. McCarroll; Joshua M. Korn; Stephen F. Schaffner; Mark A. DePristo; Tim J. Fennell; Robert E. Handsaker; James C. Nemesh; Chris Hartl; Sharon R. Grossman; Jared R. Maguire; Anthony A. Philippakis; Erica Shefler; Kristian Cibulskis; Matt Hanna; Jun Ding; Wei Chen; Paul Anderson; Matthew Snyder; Gonçalo R. Abecasis; Hyun Min Kang; Tom Blackwell; Carlo Sidore; Sebastian Zöllner; Xiaowei Zhan; Scott Kahn; Terena James; Niall Gormley; R. Keira Cheetham; Paula Kokko-Gonzales; David R. Bentley; Tony Cox; Zoya Kingsbury; Lisa Murray; Jennifer Stone; Sean Humphray; Michael Eberle; Aravinda Chakravarti; Andrew G. Clark,Wellcome Sanger Institute; Institute for Molecular Medicine Finland; Harvard University; Broad Institute; Center for Systems Biology; Cambridge Hospital; Brigham and Women's Hospital; Center for Human Genetics; Massachusetts General Hospital; Statistical Service; Illumina (United Kingdom); Johns Hopkins University; Johns Hopkins Medicine; Cornell University,51,8048.0,503.8237,1.0,Genomics and Rare Diseases,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,GB; FI; US; CY,false
