system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Econometrics,2026-04-27 00:30:00,Semantic Scholar,,https://doi.org/10.1080/01621459.1987.10478472,Asymptotic Properties of Maximum Likelihood Estimators and Likelihood Ratio Tests under Nonstandard Conditions,,1987.0,,,S. Self; K. Liang,,9.0,2733.0,,,Mathematics,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3147894994,https://doi.org/10.1111/j.2517-6161.1972.tb00899.x,Regression Models and Life-Tables,Oxford University Press,1972.0,article,Journal of the Royal Statistical Society Series B (Statistical Methodology),D. R. Cox,Imperial College London,22.0,39037.0,63.0239,0.99953704,"Insurance, Mortality, Demography, Risk Management",Demography,Social Sciences,Social Sciences,true,bronze,journal,false,English,GB,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2153562738,https://doi.org/10.1016/0165-1889(88)90041-3,Statistical analysis of cointegration vectors,Elsevier,1988.0,article,Journal of Economic Dynamics and Control,Søren Johansen,University of Copenhagen,31.0,16697.0,87.5932,0.9997619,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,DK,false
GPT,Econometrics,2026-04-27 00:30:00,Semantic Scholar,,https://doi.org/10.2307/1913236,"Co-integration and error correction: representation, estimation and testing",,1987.0,,,R. Engle; C. Granger,,0.0,31825.0,,,Mathematics,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2095364399,https://doi.org/10.2307/1912517,Likelihood Ratio Statistics for Autoregressive Time Series with a Unit Root,Wiley,1981.0,article,Econometrica,David A. Dickey; Wayne A. Fuller,,11.0,14457.0,6.9516,0.96582985,Financial Risk and Volatility Modeling,Finance,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2126322608,https://doi.org/10.1111/j.1468-0084.1992.tb00005.x,THE POWER OF COINTEGRATION TESTS,Wiley,1992.0,article,Oxford Bulletin of Economics and Statistics,Jeroen Kremers; Neil R. Ericsson; Juan J. Dolado,Bank of Spain; Erasmus University Rotterdam; Federal Reserve Board of Governors; Ministry of Finance,51.0,1300.0,77.1616,0.99942835,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,true,green,journal,false,English,ES; NL; US,false
GPT,Econometrics,2026-04-27 00:30:00,Crossref,,https://doi.org/10.1017/s0266466600009026,A Stastistical Analysis of Cointegration for I(2) Variables,Cambridge University Press (CUP),1995.0,article,Econometric Theory,Søren Johansen,,30.0,263.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2144380346,https://doi.org/10.1016/0304-4076(74)90034-7,Spurious regressions in econometrics,Elsevier,1974.0,article,Journal of Econometrics,Clive W. J. Granger; Paul Newbold,University of Nottingham,14.0,6137.0,64.7187,0.99916978,Transportation Planning and Optimization,Transportation,Social Sciences,Social Sciences,false,closed,journal,false,English,GB,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2097580026,https://doi.org/10.1093/biomet/75.2.335,Testing for a unit root in time series regression,Oxford University Press,1988.0,article,Biometrika,Peter C.B. Phillips; Pierre Perrón,Université de Montréal,21.0,17794.0,196.6136,0.99997436,Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,CA,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2117178635,https://doi.org/10.2307/1913610,"A Simple, Positive Semi-Definite, Heteroskedasticity and Autocorrelation Consistent Covariance Matrix",Wiley,1987.0,article,Econometrica,Whitney K. Newey; Kenneth D. West,Massachusetts Institute of Technology; National Bureau of Economic Research; University of Wisconsin-Madison,0.0,16905.0,128.2192,0.99964888,Advanced Decision-Making Techniques,Information Systems,Computer Science,Physical Sciences,false,closed,journal,false,English,US,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3125844422,https://doi.org/10.2307/2669498,Generalized Method of Moments Estimation,,2000.0,article,Journal of the American Statistical Association,Guido M. Kuersteiner; László Mátyás,,0.0,139.0,31.3527,0.99539323,Climate Change Policy and Economics,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,Wiley,1980.0,article,Econometrica,Halbert White,,18.0,26017.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,Wiley,1980.0,article,Econometrica,Halbert White,,18.0,26017.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2112352537,https://doi.org/10.2307/1913827,Specification Tests in Econometrics,Wiley,1978.0,article,Econometrica,Jerry A. Hausman,,18.0,18205.0,113.0424,0.99963413,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,Crossref,,https://doi.org/10.1093/biomet/44.1-2.57,TESTING FOR SERIAL CORRELATION IN LEAST SQUARES REGRESSION,Oxford University Press (OUP),1957.0,article,Biometrika,E. J. HANNAN,,0.0,22.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2102236934,https://doi.org/10.2307/1907382,Estimation of Relationships for Limited Dependent Variables,Wiley,1958.0,article,Econometrica,James Tobin,,5.0,6903.0,6.1614,0.95339806,Advanced Clustering Algorithms Research,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W4246784033,https://doi.org/10.2307/1912526,Maximum Likelihood Estimation of Misspecified Models,Wiley,1982.0,article,Econometrica,Halbert White,,0.0,4079.0,23.5406,0.9975706,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,Crossref,,https://doi.org/10.36227/techrxiv.14060726,Consistency and Asymptotic Normality of the Maximum Likelihood Estimator in GaGLM,IEEE,,preprint,,Benchao Wang; Hong Gu; Pan Qin,,0.0,0.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2025610165,https://doi.org/10.2307/2297968,Some Tests of Specification for Panel Data: Monte Carlo Evidence and an Application to Employment Equations,Oxford University Press,1991.0,article,The Review of Economic Studies,Manuel Arellano; Stephen Bond,London School of Economics and Political Science; University of Oxford,18.0,32429.0,96.9025,0.99963655,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,GB,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2290273321,https://doi.org/10.1007/978-3-540-75892-1,The Econometrics of Panel Data,Springer,2008.0,book chapter,Advanced studies in theoretical and applied econometrics,László Mátyás; Patrick Sevestre,"Structures et marchés agricoles, ressources et territoires; Université Paris 1 Panthéon-Sorbonne; Paris School of Economics",37.0,775.0,54.0106,0.99958329,Regional Development and Policy,Political Science and International Relations,Social Sciences,Social Sciences,true,green,book series,false,English,FR,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3125855424,,Large sample estimation and hypothesis testing,Federal Reserve Bank of St. Louis,1986.0,preprint,RePEc: Research Papers in Economics,Whitney K. Newey; Daniel McFadden,,0.0,2241.0,,,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,false,closed,repository,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2139160679,https://doi.org/10.1257/jep.15.3.23,"A Theory of the Consumption Function, With and Without Liquidity Constraints",American Economic Association,2001.0,article,The Journal of Economic Perspectives,Christopher D. Carroll,Johns Hopkins University,48.0,572.0,33.8624,0.9949914,"Financial Literacy, Pension, Retirement Analysis",Accounting,"Business, Management and Accounting",Social Sciences,true,bronze,journal,false,English,US,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1969610664,https://doi.org/10.1016/0304-4076(95)01753-4,Impulse response analysis in nonlinear multivariate models,Elsevier,1996.0,article,Journal of Econometrics,Gary Koop; M. Hashem Pesaran; Simon Potter,"University of Toronto; University of Cambridge; University of California, Los Angeles",26.0,4975.0,22.3127,0.99646206,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,CA; GB; US,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2133073622,https://doi.org/10.1162/0033553053327452,Measuring the Effects of Monetary Policy: A Factor-Augmented Vector Autoregressive (FAVAR) Approach,Oxford University Press,2005.0,article,The Quarterly Journal of Economics,Ben Bernanke; Jean Boivin; Piotr Eliasz,Federal Reserve; Federal Reserve Board of Governors; Columbia University; Princeton University,62.0,1805.0,50.9983,0.99892523,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,US,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W3125696988,https://doi.org/10.3386/t0169,Comparing Predictive Accuracy,,1994.0,report,National Bureau of Economic Research,Francis X. Diebold; Roberto S. Mariano,,48.0,5308.0,,,Forecasting Techniques and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,true,green,repository,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2046105906,https://doi.org/10.3386/w1202,Forecasting and Conditional Projection Using Realistic Prior Distributions,,1983.0,report,National Bureau of Economic Research,Thomas Doan; Robert B. Litterman; Christopher A. Sims,Northwestern University; Federal Reserve Bank of Minneapolis; University of Minnesota,16.0,1237.0,,,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,true,green,repository,false,English,US,false
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2019459021,https://doi.org/10.2307/1912017,Macroeconomics and Reality,Wiley,1980.0,article,Econometrica,Christopher A. Sims,,26.0,12605.0,93.8015,1.0,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
GPT,Econometrics,2026-04-27 00:30:00,Semantic Scholar,,https://doi.org/10.1016/J.RIE.2003.08.002,Bayesian inference in cointegrated systems,,2003.0,,,Gianni Amisano,,26.0,1.0,,,Economics,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Econometrics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1979575715,https://doi.org/10.2307/1912773,Autoregressive Conditional Heteroscedasticity with Estimates of the Variance of United Kingdom Inflation,Wiley,1982.0,article,Econometrica,Robert F. Engle,,0.0,20455.0,39.6096,0.99963059,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
