system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2168909179,https://doi.org/10.1038/35057062,Initial sequencing and analysis of the human genome,Nature,2001,article,Nature,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar; Michael P. Doyle; William W. Fitzhugh; Roel Funke; Diane Gage; Katrina L. Harris; Andrew Heaford; John G. Howland; Lisa Kann; Jessica A. Lehoczky; R Paul Levine; Paul McEwan; Kevin McKernan; James C. Meldrim; Jill P. Mesirov; Cher Miranda; William Morris; Jerome W. Naylor; Christina Raymond; Mark Rosetti; Ralph Santos; Andrew Sheridan; Carrie Sougnez; Nicole Stange-Thomann; Nikola M. Stojanović; Aravind Subramanian; Dudley Wyman; Jane Rogers; John Sulston; R. Ainscough; Stephan Beck; David Bentley; John H. Burton; Christopher Clee; Nigel Carter; Alan Coulson; Rebecca Deadman; Panos Deloukas; Andrew Dunham; Ian Dunham; Richard Durbin; Lisa French; Darren Grafham; Simon G. Gregory; Tim Hubbard; Sean Humphray; Adrienne Hunt; Matthew C. Jones; Christine Lloyd; Amanda A. McMurray; Lucy Matthews; Simon Mercer; Sarah Milne; James C. Mullikin; Andrew J. Mungall; R. W. Plumb; Mark T. Ross; R. Shownkeen; Sarah Sims; R Waterston; Richard K. Wilson; LaDeana W. Hillier; John D. McPherson; Marco A. Marra; Elaine R. Mardis; Lucinda A. Fulton; Asif Chinwalla; Kymberlie Pepin; Warren Gish; Stephanie L. Chissoe; Michael C. Wendl; Kim D. Delehaunty; Tracie L. Miner; Andrew Delehaunty; Jason Kramer; Lisa L. Cook; Robert S. Fulton; D. Johnson; Patrick Minx; Sandra W. Clifton; Trevor Hawkins; Elbert Branscomb; Paul Predki; Paul Richardson; Sarah Wenning; Tom Slezak; Norman A. Doggett; Jan‐Fang Cheng; Anne S. Olsen; Susan Lucas; Christopher J. Elkin; Edward C. Uberbacher; M.E. Frazier,Whitehead Institute for Biomedical Research; Wellcome Sanger Institute; Washington University in St. Louis; Joint Genome Institute,460.0,24479.0,572.1861,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,US; GB,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2127230663,https://doi.org/10.1126/science.1058040,The Sequence of the Human Genome,American Association for the Advancement of Science,2001,article,Science,J. Craig Venter; Mark D. Adams; Eugene W. Myers; Peter W. Li; Richard Mural; Granger G. Sutton; Hamilton O. Smith; Mark Yandell; Cheryl Evans; Robert A. Holt; Jeannine D. Gocayne; Peter G. Amanatides; Richard M. Ballew; Daniel H. Huson; Jennifer R. Wortman; Qing Zhang; Chinnappa D. Kodira; Xiangqun Zheng-Bradley; Lin Chen; Marian Skupski; G. Subramanian; Paul D. Thomas; Jinghui Zhang; George L. Gabor Miklos; Catherine R. Nelson; Samuel Broder; Andrew G. Clark; Joe Nadeau; Victor A. McKusick; Norton D. Zinder; Arnold J. Levine; Richard J. Roberts; Mel I. Simon; Carolyn W. Slayman; Michael W. Hunkapiller; Randall Bolanos; Arthur L. Delcher; Ian Dew; Daniel Fasulo; Michael J. Flanigan; Liliana Florea; Aaron L. Halpern; Sridhar Hannenhalli; Saul Kravitz; Samuel Lévy; Clark Mobarry; Knut Reinert; Karin Remington; Jane Abu-Threideh; Ellen M. Beasley; Kendra Biddick; Vivien Bonazzi; Rhonda Brandon; Michele Cargill; Ishwar Chandramouliswaran; Rosane Charlab; Kabir Chaturvedi; Zuoming Deng; Valentina Di Francesco; Patrick Dunn; Karen Eilbeck; Carlos Evangelista; Andrei Gabrielian; Weiniu Gan; Wangmao Ge; Fangcheng Gong; Zhiping Gu; Ping Guan; Thomas J. Heiman; Maureen E. Higgins; Rui‐Ru Ji; Zhaoxi Ke; Karen A. Ketchum; Zhongwu Lai; Yiding Lei; Zhenya Li; Jiayin Li; Yong Liang; Xiaoying Lin; Fu Lu; Gennady V. Merkulov; Natalia V. Milshina; Helen M. Moore; Ashwinikumar K. Naik; Vaibhav A. Narayan; Beena Neelam; Deborah Nusskern; Douglas B. Rusch; Steven L. Salzberg; Wei Shao; Bixiong Chris Shue; Jing‐Tao Sun; Zhen Yuan Wang; Aihui Wang; Xin Wang; Jian Wang; Ming-Hui Wei; Ron Wides; Chunlin Xiao; Chunhua Yan,"Pacific Engineering (United States); University of California, Berkeley; Pennsylvania State University; Case Western Reserve University; Johns Hopkins University; Johns Hopkins Hospital; Rockefeller University; New England Biolabs (United States); California Institute of Technology; Yale University; Bar-Ilan University",189.0,13629.0,436.3835,0.99999007,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,false,English,US; IL,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2612812586,https://doi.org/10.1038/nature03001,Finishing the euchromatic sequence of the human genome,Nature,2004,article,Nature,Uma Maheswari,,71.0,4886.0,105.3496,0.99996864,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,Unknown,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1971646616,https://doi.org/10.1038/35057157,A physical map of the human genome,Nature,2001,article,Nature,John D. McPherson; Marco A. Marra; LaDeana Hillier; R Waterston; Asif Chinwalla; John Wallis; Mandeep Sekhon; Kristine M. Wylie; Elaine R. Mardis; Richard K. Wilson; Robert S. Fulton; Tamara A. Kucaba; Caryn Wagner-McPherson; W. Brad Barbazuk; Wellcome Trust Genome Campus:; Simon G. Gregory; Sean Humphray; Lisa French; Richard S. Evans; Graeme Bethel; Adam Whittaker; Jane L. Holden; Owen T McCann; Andrew Dunham; Carol Soderlund; Carol E. Scott; David Bentley; Gregory D. Schuler; Hsiu-Chuan Chen; Wonhee Jang; Eric D. Green; Jacquelyn R. Idol; Valerie V. Maduro; Kate Montgomery; Eunice Lee; Ashley Miller; Suzanne Emerling; Raju Kucherlapati; Richard A. Gibbs; Steve Scherer; James H. Gorrell; Erica Sodergren; Kerstin P. Clerc-Blankenburg; Paul E. Tabor; Susan L. Naylor; Dawn Garcia; Pieter J. de Jong; Joseph J. Catanese; Norma J. Nowak; Kazutoyo Osoegawa; Shizhen Qin; Lee Rowen; Anuradha Madan; Monica Dors; Leroy Hood; Barbara J. Trask; Cynthia Friedman; Hillary F. Massa; Vivian G. Cheung; Ilan R. Kirsch; Thomas Reid; Raluca Yonescu; Genoscope:; Jean Weissenbach; Thomas Brüls; Roland Heilig; Elbert Branscomb; Anne S. Olsen; Norman A. Doggett; Jan‐Fang Cheng; Trevor Hawkins; R Myers; Jin Shang; Lucı́a Ramı́rez; Jeremy Schmutz; Olivia Velasquez; Kami Dixon; Nancy Stone; David R. Cox; David Haussler; W. James Kent; Terrence S. Furey; Sanja Rogić; Scot Kennedy; Steven J.M. Jones; André Rosenthal; Gaiping Wen; Markus B. Schilhabel; Gernot Glöeckner; Gerald Nyakatura; Reiner Siebert; Brigitte Schlegelberger; Julie R. Korenberg; Xiao-Ning Chen; Asao Fujiyama; Masahira Hattori; Atsushi Toyoda; Tetsushi Yada; Hong‐Seok Park; Yoshiyuki Sakaki,"Washington University in St. Louis; Wellcome Trust; National Institutes of Health; National Center for Biotechnology Information; National Human Genome Research Institute; Albert Einstein College of Medicine; Baylor College of Medicine; Baylor Genetics; The University of Texas at San Antonio; Roswell Park Comprehensive Cancer Center; Alameda Hospital; College of Alameda; Institute for Systems Biology; Fred Hutch Cancer Center; Children's Hospital of Philadelphia; University of Pennsylvania; Philadelphia University; National Cancer Institute; Genoscope; Joint Genome Institute; Stanford University; University of California, Santa Cruz; Howard Hughes Medical Institute; Christian-Albrechts-Universität zu Kiel; University of California, Los Angeles; RIKEN Center for Integrative Medical Sciences; Keio University Hospital",48.0,929.0,34.5643,0.99927478,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,US; GB; FR; DE; JP,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2581817305,,Genome sequence of the nematode C. elegans: a platform for investigating biology.,,1998,article,,James Mussell,,0.0,183.0,1.6728,0.85233645,"Genetics, Aging, and Longevity in Model Organisms",Aging,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,,false,English,Unknown,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2116402707,https://doi.org/10.1038/nature724,The genome sequence of Schizosaccharomyces pombe,Nature,2002,article,Nature,Valerie Wood; Rhian Gwilliam; M.-A. Rajandream; M. Lyne; Rachel Lyne; Andrew C. Stewart; John Sgouros; Nigel Peat; Jacqueline Hayles; Stephen Baker; D. Basham; Sharen Bowman; Karen Brooks; Daniel R. Brown; Susan J. Brown; Tracey Chillingworth; Carol Churcher; Matthew Collins; R. Connor; Ann Cronin; Paul A. Davis; Theresa Feltwell; Audrey Fraser; S. Gentles; Arlette Goble; N. Hamlin; David Harris; Jorge Hidalgo; Graham Hodgson; S. Holroyd; T. Hornsby; Sue Howarth; Elizabeth J. Huckle; Sarah Hunt; Kay Jagels; Keith James; Louis Jones; Michael H. Jones; S. Leather; Sarah M. McDonald; Jaime McLean; Paul Mooney; Sharon Moule; Karen Mungall; Lee Murphy; David Niblett; C. Odell; Karen Oliver; Shawn T. O'Neil; Danita M. Pearson; Mike Quail; Ester Rabbinowitsch; Kim Rutherford; Simon Rutter; David Saunders; Kathy Seeger; Sarah Sharp; Jason Skelton; Mark Simmonds; Rob Squares; S. Squares; Kim Stevens; K. Taylor; Ruth Taylor; Adrian R. Tivey; Sean Walsh; Tim Warren; Sally Whitehead; John R. Woodward; G. Volckaerţ; Rita Aert; Johan Robben; Barbara Grymonprez; I. Weltjens; Els Vanstreels; Michael A. Rieger; Melanie Schäfer; S. Müller-Auer; C. Gabel; M. Fuchs; C. Fritzc; E. Holzer; D. Moestl; H. Hilbert; Katja Borzym; I. Langer; Alfred Beck; Hans Lehrach; Richard Reinhardt; Thomas Pohl; P. Eger; Wolfgang Zimmermann; Holger Wedler; R. Wambutt; Bénédicte Purnelle; A. Goffeau; Édouard Cadieu; Stéphane Dréano; Stéphanie Gloux; Valérie Lelaure,Wellcome Sanger Institute; The Honourable Society of Lincoln's Inn; Cancer Research UK; KU Leuven; Genotype (Germany); Qiagen (Germany); Max Planck Institute for Molecular Genetics; GATC Biotech (Germany); UCLouvain; Centre National de la Recherche Scientifique; 3M (United States); Institut de génétique et de développement de Rennes,112.0,1689.0,53.2539,0.99965573,Fungal and yeast genetics research,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,GB; BE; DE; FR; US,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1494075612,https://doi.org/10.1038/35048692,Analysis of the genome sequence of the flowering plant Arabidopsis thaliana,Nature,2000,article,Nature,Arabidopsis Genome Initiative,J. Craig Venter Institute,122.0,9326.0,212.2221,0.9999801,Photosynthetic Processes and Mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,US,false
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2949977409,https://doi.org/10.1038/990031,The DNA sequence of human chromosome 22,Nature,1999,article,Nature,Ian Dunham; Adrienne Hunt; John Collins; Richard Bruskiewich; David Beare; M. Clamp; Luc J Smink; R. Ainscough; J. P. Almeida; Anne Babbage; C. L. Bagguley; J. Bailey; K. F. Barlow; K. Bates; O. Beasley; Christine Bird; S. Blakey; Anne Bridgeman; David Buck; Joanne C. Burgess; W. Burrill; J.H. Burton; C. Carder; N. P. Carter; Y. Chen; G.M.G. Clark; S. M. Clegg; V. Cobley; Charlotte G. Cole; R. E. Collier; R. Connor; D. Conroy; N. Corby; G. J. Coville; Amelia Cox; John Davis; Elisabeth Dawson; Pawandeep Dhami; Cat Dockree; Steve Dodsworth; Richard Durbin; Andrew Ellington; Kathryn L. Evans; Jim Fey; Keiran Fleming; Lisa French; A. A. Garner; James Gilbert; Melanie E. Goward; Darren Grafham; Mark Griffiths; Carol Hall; R. E. Hall; G. Hall-Tamlyn; Rosemary Heathcott; Sarah K Ho; S. Holmes; Sarah Hunt; Matthew C. Jones; J. K. Kershaw; A. M. Kimberley; Andrew King; Gavin K. Laird; Cordelia F. Langford; M. Leversha; Christine Lloyd; David Lloyd; I. D. Martyn; M. Mashreghi-Mohammadi; L. Matthews; O. T. McCann; Joseph L. McClay; Stuart McLaren; Amanda A. McMurray; Stuart A. Milne; Beverley Mortimore; C. Odell; Rebecca Pavitt; A. V. Pearce; D. Pearson; Benjamin Phillimore; Stephen Phillips; R. W. Plumb; H. P. Ramsay; Y. Ramsey; Layne Rogers; M. T. Ross; Carol Scott; Harminder Sehra; C. D. Skuce; Susan L. Smalley; M. L. Smith; Cari Soderlund; L. Spragon; Charles A. Steward; John Sulston; R. Mark Swann; Mark D. Vaudin; M. Wall; J. M. Wallis,Wellcome Sanger Institute; Karolinska University Hospital,53.0,1165.0,73.1225,0.99993127,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,false,English,GB; SE,false
GPT,Genomics,2026-04-27 00:30:00,Semantic Scholar,,https://doi.org/10.1038/nature02564,DNA sequence and comparative analysis of chimpanzee chromosome 22,,2004,,,The International HapMap Consortium,,0.0,23.0,,,,,,,True,open,,Unknown,Unknown,Unknown,Unknown
GPT,Genomics,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1972171731,https://doi.org/10.1038/nature08747,Genome sequencing and analysis of the model grass Brachypodium distachyon,Nature,2010,article,Nature,The International Brachypodium Initiative,Agricultural Research Service,98.0,1972.0,75.2786,0.99980847,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,false,English,US,false
