system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2097333193,https://doi.org/10.5555/92858.92860,A statistical approach to machine translation,,1990,article,,Peter F. Brown; John Cocke; Stephen A. Della Pietra; Vincent J. Della Pietra; Fredrick Jelinek; John Lafferty; Robert L. Mercer; Paul S. Roossin,IBM (United States),8.0,1699.0,26.8768,0.99787347,Rough Sets and Fuzzy Logic,Computational Theory and Mathematics,Computer Science,Physical Sciences,false,closed,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2006969979,,The mathematics of statistical machine translation: parameter estimation,,1993,article,,Peter F. Brown; Vincent J. Della Pietra; Stephen A. Della Pietra; Robert L. Mercer,IBM (United States),15.0,4124.0,32.6465,0.99801686,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2096175520,https://doi.org/10.5555/234285.234289,A maximum entropy approach to natural language processing,,1996,article,,Adam Berger; Vincent J. Della Pietra; Stephen A. Della Pietra,Columbia University; Renaissance Services (United States),26.0,3128.0,40.4224,0.99805571,Neural Networks and Applications,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W1773803948,,A Maximum Entropy Model for Part-Of-Speech Tagging,,1996,article,,Adwait Ratnaparkhi,,12.0,1277.0,18.7948,0.99386585,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,Unknown,false
GPT,Machine Translation,2026-04-27 12:00:00,Crossref,,https://doi.org/10.3115/991635.991651,A statistical approach to language translation,Association for Computational Linguistics,1988,article,Proceedings of the 12th conference on Computational linguistics -,P. Brown; J. Cocke; S. Della Pietra; V. Della Pietra; F. Jelinek; R. Mercer; P. Roossin,,0.0,69.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2402577742,,Alignment templates: the RWTH SMT system.,,2004,article,,Oliver Bender; Richard Zens; Evgeny Matusov; Hermann Ney,RWTH Aachen University,18.0,36.0,10.1777,0.98123519,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,DE,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2161792612,https://doi.org/10.3115/1118693.1118711,"A phrase-based, joint probability model for statistical machine translation",,2002,article,,Daniel Marcu; William Wong,Marina Del Rey Hospital; University of Southern California,18.0,476.0,34.9571,0.9982731,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2119168550,https://doi.org/10.1162/0891201042544884,The Alignment Template Approach to Statistical Machine Translation,Association for Computational Linguistics,2004,article,Computational Linguistics,Franz Josef Och; Hermann Ney,Google (United States),49.0,932.0,80.4844,0.99967939,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,Semantic Scholar,,https://doi.org/10.1162/089120103321337421,A Systematic Comparison of Various Statistical Alignment Models,,2003,,International Conference on Computational Logic,F. Och; H. Ney,,39.0,4646.0,,,Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2156985047,https://doi.org/10.1162/089120103321337421,A Systematic Comparison of Various Statistical Alignment Models,Association for Computational Linguistics,2003,article,Computational Linguistics,Franz Josef Och; Hermann Ney,Marina Del Rey Hospital; RWTH Aachen University,39.0,3921.0,130.7525,0.99985397,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US; DE,false
GPT,Machine Translation,2026-04-27 12:00:00,Semantic Scholar,,https://doi.org/10.3115/1073083.1073135,Bleu: a Method for Automatic Evaluation of Machine Translation,,2002,,Annual Meeting of the Association for Computational Linguistics,Kishore Papineni; Salim Roukos; T. Ward; Wei-Jing Zhu,,5.0,32806.0,,,Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Machine Translation,2026-04-27 12:00:00,Semantic Scholar,,https://doi.org/10.3115/1073445.1073462,Statistical Phrase-Based Translation,,2003,,North American Chapter of the Association for Computational Linguistics,Philipp Koehn; F. Och; Daniel Marcu,,20.0,3939.0,,,Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2146574666,https://doi.org/10.3115/1075096.1075117,Minimum error rate training in statistical machine translation,,2003,article,,Franz Josef Och,University of Southern California; Marina Del Rey Hospital,21.0,2767.0,74.511,0.99957655,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2153653739,https://doi.org/10.3115/1073445.1073462,Statistical phrase-based translation,,2003,article,,Philipp Koehn; Franz Josef Och; Daniel Marcu,Southern California University for Professional Studies; University of Southern California,20.0,3276.0,106.846,0.99978097,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,Semantic Scholar,,https://doi.org/10.3115/1118693.1118694,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,,2002,,Conference on Empirical Methods in Natural Language Processing,M. Collins,,15.0,2298.0,,,Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2113788796,,Factored Translation Models,University of Edinburgh,2007,article,Edinburgh Research Explorer (University of Edinburgh),Philipp Koehn; Hieu Hoang,,25.0,509.0,63.2324,0.9993165,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,Unknown,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2182833076,https://doi.org/10.1007/978-3-031-02164-0,Syntax-based Statistical Machine Translation,Morgan & Claypool Publishers,2016,book chapter,Synthesis lectures on human language technologies,Philip Williams; Rico Sennrich; Matt Post; Philipp Koehn,Johns Hopkins University,83.0,20.0,0.8597,0.83101494,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2437005631,https://doi.org/10.1162/coli.2007.33.2.201,Hierarchical Phrase-Based Translation,Association for Computational Linguistics,2007,article,Computational Linguistics,David Chiang,Associated Press,44.0,1163.0,142.3434,0.99987492,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2152263452,https://doi.org/10.3115/1219840.1219873,A hierarchical phrase-based model for statistical machine translation,,2005,article,,David Chiang,"University of Maryland, College Park",25.0,1163.0,115.1916,0.99982507,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2101190066,https://doi.org/10.3115/1687878.1687924,A syntax-driven bracketing model for phrase-based translation,,2009,article,,Deyi Xiong; Min Zhang; AiTi Aw; Haizhou Li,Institute for Infocomm Research,18.0,23.0,6.3071,0.96402597,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,SG,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2112900913,https://doi.org/10.3115/1220175.1220252,Tree-to-string alignment template for statistical machine translation,,2006,article,,Yang Liu; Qun Liu; Shouxun Lin,Chinese Academy of Sciences,26.0,324.0,31.2034,0.99757338,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,CN,true
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2115289978,,A Tree Sequence Alignment-based Tree-to-Tree Translation Model,,2008,article,,Min Zhang; Hongfei Jiang; AiTi Aw; Haizhou Li; Chew Lim Tan; Sheng Li,"Agency for Science, Technology and Research; Harbin Institute of Technology; National University of Singapore",35.0,113.0,28.7361,0.99649141,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,SG; CN,true
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2157435188,https://doi.org/10.21236/ada482158,Generalizing Word Lattice Translation,,2008,report,,Christopher J. Dyer; Smaranda Muresan; Philip Resnik,,59.0,156.0,,,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,Unknown,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W23077562,https://doi.org/10.1371/journal.pone.0047158,A Smorgasbord of Features for Statistical Machine Translation,,2004,article,North American Chapter of the Association for Computational Linguistics,Franz Josef Och; Daniel Gildea; Sanjeev Khudanpur; Anoop Sarkar; Kenji Yamada; Alexander Fraser; Shankar Kumar; Libin Shen; David A. Smith; Katherine Eng; Viren Jain; Zhen Jin; Dragomir Radev,,14.0,261.0,24.925,0.99814299,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,conference,false,English,Unknown,false
GPT,Machine Translation,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2110104386,,Forest-Based Translation,,2008,article,,Haitao Mi; Liang Huang; Qun Liu,Chinese Academy of Sciences; California University of Pennsylvania; University of Pennsylvania,24.0,148.0,43.9839,0.99847708,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,CN; US,true
