system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2998704965,https://doi.org/10.5555/944919.944966,A neural probabilistic language model,MIT Press,2003,article,Journal of Machine Learning Research,BengioYoshua; DucharmeRéjean; VincentPascal; JanvinChristian,,0,2666.0,2.8121,0.9186612,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,Unknown,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2153579005,https://doi.org/10.48550/arxiv.1310.4546,Distributed Representations of Words and Phrases and their Compositionality,Cornell University,2013,article,arXiv,Tomáš Mikolov; Ilya Sutskever; Kai Chen; Greg S. Corrado; Jeff Dean,Google (United States),19,18084.0,,,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,US,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W1614298861,https://doi.org/10.48550/arxiv.1301.3781,Efficient Estimation of Word Representations in Vector Space,Cornell University,2013,preprint,arXiv,Tomáš Mikolov; Kai Chen; Greg S. Corrado; Jay B. Dean,Brno University of Technology; Beijing University of Posts and Telecommunications; Google (United States),0,18101.0,,,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,CZ; CN; US,true
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2250539671,https://doi.org/10.3115/v1/d14-1162,Glove: Global Vectors for Word Representation,,2014,article,,Jeffrey Pennington; Richard Socher; Christopher D. Manning,Stanford University,28,33457.0,1171.9294,0.99998467,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2141599568,,Linguistic Regularities in Continuous Space Word Representations,,2013,article,,Tomáš Mikolov; Wen-tau Yih; Geoffrey Zweig,Brno University of Technology; Microsoft (United States),22,2886.0,383.5073,0.99998495,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,CZ; US,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W1615991656,https://doi.org/10.1162/tacl_a_00134,Improving Distributional Similarity with Lessons Learned from Word Embeddings,Association for Computational Linguistics,2015,article,Transactions of the Association for Computational Linguistics,Omer Levy; Yoav Goldberg; Ido Dagan,Bar-Ilan University,31,1336.0,250.2513,0.99994567,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,true,diamond,journal,false,English,IL,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2064675550,https://doi.org/10.1162/neco.1997.9.8.1735,Long Short-Term Memory,MIT Press,1997,article,Neural Computation,Sepp Hochreiter; Jürgen Schmidhuber,Technical University of Munich; Dalle Molle Institute for Artificial Intelligence Research,34,95860.0,21.7598,0.99429926,Neural Networks and Applications,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,DE; CH,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W1924770834,https://doi.org/10.48550/arxiv.1412.3555,Empirical Evaluation of Gated Recurrent Neural Networks on Sequence Modeling,Cornell University,2014,preprint,arXiv,Jun‐Young Chung; Çaǧlar Gülçehre; Kyunghyun Cho; Yoshua Bengio,Alcatel Lucent (Germany); Polytechnique Montréal,16,10766.0,,,Music and Audio Processing,Signal Processing,Computer Science,Physical Sciences,true,green,repository,false,English,DE; CA,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2130942839,https://doi.org/10.48550/arxiv.1409.3215,Sequence to Sequence Learning with Neural Networks,Cornell University,2014,preprint,arXiv,Ilya Sutskever; Oriol Vinyals; Quoc V. Le,Google (United States),29,13334.0,,,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,US,false
GPT,Natural Language Processing,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2157331557,https://doi.org/10.3115/v1/d14-1179,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,,2014,preprint,,Kyunghyun Cho; Bart van Merriënboer; Çaǧlar Gülçehre; Dzmitry Bahdanau; Fethi Bougares; Holger Schwenk; Yoshua Bengio,University of Maine School of Law; Alcatel Lucent (Germany); Polytechnique Montréal,31,24097.0,583.6386,0.99996168,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,gold,,false,English,US; DE; CA,false
