system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W4214717370,https://doi.org/10.1109/tnn.1998.712192,Reinforcement Learning: An Introduction,Institute of Electrical and Electronics Engineers,1998.0,article,IEEE Transactions on Neural Networks,Richard S. Sutton; Andy Barto,,0.0,26897.0,124.2624,0.99978694,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,Unknown,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2131600418,https://doi.org/10.1145/203330.203343,Temporal difference learning and TD-Gammon,Association for Computing Machinery,1995.0,article,Communications of the ACM,Gerald Tesauro,IBM Research - Thomas J. Watson Research Center,7.0,1479.0,25.9424,0.99616858,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W32403112,https://doi.org/10.1007/bf00992698,Q-learning,Springer,1992.0,article,Machine Learning,Christopher J. Watkins; Peter Dayan,The FRAM Centre; University of Edinburgh,14.0,8935.0,19.5304,0.99330609,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,NO; GB,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2155027007,,Policy Gradient Methods for Reinforcement Learning with Function Approximation,,1999.0,article,,Richard S. Sutton; David McAllester; Satinder Singh; Yishay Mansour,AT&T (United States),18.0,4964.0,26.5526,0.99642746,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2119717200,https://doi.org/10.1007/bf00992696,Simple statistical gradient-following algorithms for connectionist reinforcement learning,Springer,1992.0,article,Machine Learning,Ronald J. Williams,Northeastern University,41.0,7433.0,14.5083,0.98926274,Evolutionary Algorithms and Applications,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,US,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2586680856,,FOR LEAST-SQUARES POLICY ITERATION,,2016.0,article,,Devin Schwab,,13.0,374.0,26.7184,0.99765745,Advanced Control Systems Optimization,Control and Systems Engineering,Engineering,Physical Sciences,false,closed,,false,English,Unknown,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2130801532,,A Natural Policy Gradient,University of Pennsylvania,2001.0,article,ScholarlyCommons (University of Pennsylvania),Sham M. Kakade,Oxford Centre for Computational Neuroscience,10.0,729.0,4.9203,0.95022832,Machine Learning and Algorithms,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,GB,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2172968643,https://doi.org/10.1016/j.neucom.2007.11.026,Natural Actor-Critic,Elsevier,2008.0,article,Neurocomputing,Jan Peters; Stefan Schaal,University of Southern California; Max Planck Institute for Biological Cybernetics; Advanced Telecommunications Research Institute International,45.0,750.0,66.4365,0.9992932,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,US; DE; JP,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2156737235,,Actor-critic algorithms,Massachusetts Institute of Technology,2002.0,book chapter,DSpace@MIT (Massachusetts Institute of Technology),Vijay R. Konda; John N. Tsitsiklis,Massachusetts Institute of Technology,17.0,1818.0,8.2288,0.97653959,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,US,false
GPT,Reinforcement Learning,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W1575592356,,Approximately Optimal Approximate Reinforcement Learning,,2002.0,article,,Sham M. Kakade; John Langford,,0.0,590.0,5.5418,0.95937137,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,Unknown,false
