system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2083211221,https://doi.org/10.2307/1906935,The Probability Approach in Econometrics,Wiley,1944,article,Econometrica,Trygve Haavelmo,,0,1263.0,2.3971,0.86419753,Forecasting Techniques and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2139122730,https://doi.org/10.2307/1912352,Sample Selection Bias as a Specification Error,Wiley,1979,article,Econometrica,James J. Heckman,,10,28683.0,179.027,1.0,Advanced Computational Techniques in Science and Engineering,Information Systems,Computer Science,Physical Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2110787586,,Let's Take the Con Out of Econometrics,American Economic Association,1982,article,American Economic Review,Edward E. Leamer,,16,2271.0,81.0985,0.99955447,Economics of Agriculture and Food Markets,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2019459021,https://doi.org/10.2307/1912017,Macroeconomics and Reality,Wiley,1980,article,Econometrica,Christopher A. Sims,,26,12605.0,93.8015,1.0,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,Wiley,1980,article,Econometrica,Halbert White,,18,26013.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2028995298,https://doi.org/10.2307/1912775,Large Sample Properties of Generalized Method of Moments Estimators,Wiley,1982,article,Econometrica,Lars Peter Hansen,,27,13754.0,94.3632,1.0,Financial Risk and Volatility Modeling,Finance,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2112352537,https://doi.org/10.2307/1913827,Specification Tests in Econometrics,Wiley,1978,article,Econometrica,Jerry A. Hausman,,18,18205.0,113.0424,0.99963413,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W2135046866,https://doi.org/10.1111/j.2517-6161.1996.tb02080.x,Regression Shrinkage and Selection Via the Lasso,Oxford University Press,1996,article,Journal of the Royal Statistical Society Series B (Statistical Methodology),Robert Tibshirani,University of Toronto,25,51175.0,14.2421,0.992569,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,false,closed,journal,false,English,CA,false
Gemini,Econometrics,2026-04-27 12:00:00,Semantic Scholar,,https://doi.org/10.2307/1912773,Autoregressive conditional heteroscedasticity with estimates of the variance of United Kingdom inflation,,1982,,,R. Engle,,18,22241.0,,,Economics,,,,true,open,,Unknown,Unknown,Unknown,Unknown
Gemini,Econometrics,2026-04-27 12:00:00,OpenAlex,https://openalex.org/W1999996900,https://doi.org/10.1016/0304-4076(86)90063-1,Generalized autoregressive conditional heteroskedasticity,Elsevier,1986,article,Journal of Econometrics,Tim Bollerslev,"University of California, San Diego; Aarhus University",26,22088.0,34.2723,0.99841521,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,true,green,journal,false,English,US; DK,false
