system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Gemini,Genomics,2026-04-27 09:30:00,Crossref,,https://doi.org/10.1016/s0735-1097(03)00800-3,A structure for deoxyribose nucleic acid,Elsevier,2003,article,Journal of the American College of Cardiology,Anthony N. DeMaria,,0.0,5.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W2168909179,https://doi.org/10.1038/35057062,Initial sequencing and analysis of the human genome,Nature,2001,article,Nature,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar; Michael P. Doyle; William W. Fitzhugh; Roel Funke; Diane Gage; Katrina L. Harris; Andrew Heaford; John G. Howland; Lisa Kann; Jessica A. Lehoczky; R Paul Levine; Paul McEwan; Kevin McKernan; James C. Meldrim; Jill P. Mesirov; Cher Miranda; William Morris; Jerome W. Naylor; Christina Raymond; Mark Rosetti; Ralph Santos; Andrew Sheridan; Carrie Sougnez; Nicole Stange-Thomann; Nikola M. Stojanović; Aravind Subramanian; Dudley Wyman; Jane Rogers; John Sulston; R. Ainscough; Stephan Beck; David Bentley; John H. Burton; Christopher Clee; Nigel Carter; Alan Coulson; Rebecca Deadman; Panos Deloukas; Andrew Dunham; Ian Dunham; Richard Durbin; Lisa French; Darren Grafham; Simon G. Gregory; Tim Hubbard; Sean Humphray; Adrienne Hunt; Matthew C. Jones; Christine Lloyd; Amanda A. McMurray; Lucy Matthews; Simon Mercer; Sarah Milne; James C. Mullikin; Andrew J. Mungall; R. W. Plumb; Mark T. Ross; R. Shownkeen; Sarah Sims; R Waterston; Richard K. Wilson; LaDeana W. Hillier; John D. McPherson; Marco A. Marra; Elaine R. Mardis; Lucinda A. Fulton; Asif Chinwalla; Kymberlie Pepin; Warren Gish; Stephanie L. Chissoe; Michael C. Wendl; Kim D. Delehaunty; Tracie L. Miner; Andrew Delehaunty; Jason Kramer; Lisa L. Cook; Robert S. Fulton; D. Johnson; Patrick Minx; Sandra W. Clifton; Trevor Hawkins; Elbert Branscomb; Paul Predki; Paul Richardson; Sarah Wenning; Tom Slezak; Norman A. Doggett; Jan‐Fang Cheng; Anne S. Olsen; Susan Lucas; Christopher J. Elkin; Edward C. Uberbacher; M.E. Frazier,Whitehead Institute for Biomedical Research; Wellcome Sanger Institute; Washington University in St. Louis; Joint Genome Institute,460.0,24479.0,572.1861,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,US; GB,false
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W2127230663,https://doi.org/10.1126/science.1058040,The Sequence of the Human Genome,American Association for the Advancement of Science,2001,article,Science,J. Craig Venter; Mark D. Adams; Eugene W. Myers; Peter W. Li; Richard Mural; Granger G. Sutton; Hamilton O. Smith; Mark Yandell; Cheryl Evans; Robert A. Holt; Jeannine D. Gocayne; Peter G. Amanatides; Richard M. Ballew; Daniel H. Huson; Jennifer R. Wortman; Qing Zhang; Chinnappa D. Kodira; Xiangqun Zheng-Bradley; Lin Chen; Marian Skupski; G. Subramanian; Paul D. Thomas; Jinghui Zhang; George L. Gabor Miklos; Catherine R. Nelson; Samuel Broder; Andrew G. Clark; Joe Nadeau; Victor A. McKusick; Norton D. Zinder; Arnold J. Levine; Richard J. Roberts; Mel I. Simon; Carolyn W. Slayman; Michael W. Hunkapiller; Randall Bolanos; Arthur L. Delcher; Ian Dew; Daniel Fasulo; Michael J. Flanigan; Liliana Florea; Aaron L. Halpern; Sridhar Hannenhalli; Saul Kravitz; Samuel Lévy; Clark Mobarry; Knut Reinert; Karin Remington; Jane Abu-Threideh; Ellen M. Beasley; Kendra Biddick; Vivien Bonazzi; Rhonda Brandon; Michele Cargill; Ishwar Chandramouliswaran; Rosane Charlab; Kabir Chaturvedi; Zuoming Deng; Valentina Di Francesco; Patrick Dunn; Karen Eilbeck; Carlos Evangelista; Andrei Gabrielian; Weiniu Gan; Wangmao Ge; Fangcheng Gong; Zhiping Gu; Ping Guan; Thomas J. Heiman; Maureen E. Higgins; Rui‐Ru Ji; Zhaoxi Ke; Karen A. Ketchum; Zhongwu Lai; Yiding Lei; Zhenya Li; Jiayin Li; Yong Liang; Xiaoying Lin; Fu Lu; Gennady V. Merkulov; Natalia V. Milshina; Helen M. Moore; Ashwinikumar K. Naik; Vaibhav A. Narayan; Beena Neelam; Deborah Nusskern; Douglas B. Rusch; Steven L. Salzberg; Wei Shao; Bixiong Chris Shue; Jing‐Tao Sun; Zhen Yuan Wang; Aihui Wang; Xin Wang; Jian Wang; Ming-Hui Wei; Ron Wides; Chunlin Xiao; Chunhua Yan,"Pacific Engineering (United States); University of California, Berkeley; Pennsylvania State University; Case Western Reserve University; Johns Hopkins University; Johns Hopkins Hospital; Rockefeller University; New England Biolabs (United States); California Institute of Technology; Yale University; Bar-Ilan University",189.0,13629.0,436.3835,0.99999007,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,journal,false,English,US; IL,false
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W2138270253,https://doi.org/10.1073/pnas.74.12.5463,DNA sequencing with chain-terminating inhibitors,National Academy of Sciences,1977,article,Proceedings of the National Academy of Sciences,Frederick Sanger; S. Nicklen; Alan Coulson,MRC Laboratory of Molecular Biology; Medical Research Council,12.0,69225.0,92.4653,0.99989194,Bacteriophages and microbial interactions,Ecology,Environmental Science,Physical Sciences,true,green,journal,false,English,GB,false
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W2581817305,,Genome sequence of the nematode C. elegans: a platform for investigating biology.,,1998,article,,James Mussell,,0.0,183.0,1.6728,0.85233645,"Genetics, Aging, and Longevity in Model Organisms",Aging,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,,false,English,Unknown,false
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W4220999759,https://doi.org/10.1126/science.abj6987,The complete sequence of a human genome,American Association for the Advancement of Science,2022,article,Science,Sergey Nurk; Sergey Koren; Arang Rhie; Mikko Rautiainen; Andrey V. Bzikadze; Alla Mikheenko; Mitchell R. Vollger; Nicolas Altemose; Lev Uralsky; Ariel Gershman; Sergey Aganezov; Savannah J. Hoyt; Mark Diekhans; Glennis A. Logsdon; Michael Alonge; Stylianos E. Antonarakis; Matthew Borchers; Gerard G. Bouffard; Shelise Brooks; Gina V. Caldas; Nae-Chyun Chen; Haoyu Cheng; Chen-Shan Chin; William Chow; Leonardo Gomes de Lima; Philip C. Dishuck; Richard Durbin; Tatiana Dvorkina; Ian T. Fiddes; Giulio Formenti; Robert S. Fulton; Arkarachai Fungtammasan; Erik Garrison; Patrick G. S. Grady; Tina A. Graves-Lindsay; Ira M. Hall; Nancy F. Hansen; Gabrielle A. Hartley; Marina Haukness; Kerstin Howe; Michael W. Hunkapiller; Chirag Jain; Miten Jain; Erich D. Jarvis; Peter Kerpedjiev; Melanie Kirsche; Mikhail Kolmogorov; Jonas Korlach; Milinn Kremitzki; Heng Li; Valerie V. Maduro; Tobias Marschall; Ann M. Mc Cartney; Jennifer McDaniel; Danny E. Miller; James C. Mullikin; Eugene W. Myers; Nathan D. Olson; Benedict Paten; Paul Peluso; Pavel A. Pevzner; David Porubský; Tamara Potapova; Е. И. Рогаев; Jeffrey Rosenfeld; Steven L. Salzberg; Valérie Schneider; Fritz J. Sedlazeck; Kishwar Shafin; Colin J. Shew; Alaina Shumate; Ying Sims; Arian F. A. Smit; Daniela C. Soto; Ivan Sović; Jessica M. Storer; Aaron Streets; Beth A. Sullivan; Françoise Thibaud‐Nissen; James Torrance; Justin Wagner; Brian P. Walenz; Aaron M. Wenger; Jonathan Wood; Chunlin Xiao; Stephanie M. Yan; Alice Young; Samantha Zarate; Urvashi Surti; Rajiv C. McCoy; Megan Y. Dennis; Ivan A. Alexandrov; Jennifer L. Gerton; Rachel J. O'Neill; Winston Timp; Justin M. Zook; Michael C. Schatz; Evan E. Eichler; Karen H. Miga; Adam M. Phillippy,"National Institutes of Health; National Human Genome Research Institute; University of California San Diego; St Petersburg University; University of Washington; University of California, Berkeley; Sirius University of Science and Technology; Vavilov Institute of General Genetics; Johns Hopkins University; University of Connecticut; Institute for Systems Biology; University of California, Santa Cruz; University of Geneva; Stowers Institute for Medical Research; Harvard University; Dana-Farber Cancer Institute; DNAnexus (United States); Wellcome Sanger Institute; University of Cambridge; Howard Hughes Medical Institute; Rockefeller University; Washington University in St. Louis; University of Tennessee Health Science Center; James S. McDonnell Foundation; Yale University; Cancer Genetics (United States); Pacific Biosciences (United States); Indian Institute of Science Bangalore; Heinrich Heine University Düsseldorf; National Institute of Standards and Technology; Seattle Children's Hospital; Max Planck Institute of Molecular Cell Biology and Genetics; University of Massachusetts Chan Medical School; Lomonosov Moscow State University; Cancer Institute of Florida; Rutgers Cancer Institute; National Center for Biotechnology Information; Baylor College of Medicine; University of California, Davis; Chan Zuckerberg Initiative (United States); Duke University; University of Pittsburgh; Russian Academy of Sciences; University of Kansas Medical Center; University of Missouri-Kansas City",128.0,3229.0,666.5973,1.0,Chromosomal and Genetic Variations,Plant Science,Agricultural and Biological Sciences,Life Sciences,true,green,journal,false,English,US; RU; CH; GB; IN; DE,true
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W2949977409,https://doi.org/10.1038/990031,The DNA sequence of human chromosome 22,Nature,1999,article,Nature,Ian Dunham; Adrienne Hunt; John Collins; Richard Bruskiewich; David Beare; M. Clamp; Luc J Smink; R. Ainscough; J. P. Almeida; Anne Babbage; C. L. Bagguley; J. Bailey; K. F. Barlow; K. Bates; O. Beasley; Christine Bird; S. Blakey; Anne Bridgeman; David Buck; Joanne C. Burgess; W. Burrill; J.H. Burton; C. Carder; N. P. Carter; Y. Chen; G.M.G. Clark; S. M. Clegg; V. Cobley; Charlotte G. Cole; R. E. Collier; R. Connor; D. Conroy; N. Corby; G. J. Coville; Amelia Cox; John Davis; Elisabeth Dawson; Pawandeep Dhami; Cat Dockree; Steve Dodsworth; Richard Durbin; Andrew Ellington; Kathryn L. Evans; Jim Fey; Keiran Fleming; Lisa French; A. A. Garner; James Gilbert; Melanie E. Goward; Darren Grafham; Mark Griffiths; Carol Hall; R. E. Hall; G. Hall-Tamlyn; Rosemary Heathcott; Sarah K Ho; S. Holmes; Sarah Hunt; Matthew C. Jones; J. K. Kershaw; A. M. Kimberley; Andrew King; Gavin K. Laird; Cordelia F. Langford; M. Leversha; Christine Lloyd; David Lloyd; I. D. Martyn; M. Mashreghi-Mohammadi; L. Matthews; O. T. McCann; Joseph L. McClay; Stuart McLaren; Amanda A. McMurray; Stuart A. Milne; Beverley Mortimore; C. Odell; Rebecca Pavitt; A. V. Pearce; D. Pearson; Benjamin Phillimore; Stephen Phillips; R. W. Plumb; H. P. Ramsay; Y. Ramsey; Layne Rogers; M. T. Ross; Carol Scott; Harminder Sehra; C. D. Skuce; Susan L. Smalley; M. L. Smith; Cari Soderlund; L. Spragon; Charles A. Steward; John Sulston; R. Mark Swann; Mark D. Vaudin; M. Wall; J. M. Wallis,Wellcome Sanger Institute; Karolinska University Hospital,53.0,1165.0,73.1225,0.99993127,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,hybrid,journal,false,English,GB; SE,false
Gemini,Genomics,2026-04-27 09:30:00,Crossref,,https://doi.org/10.1038/nature04727,The DNA sequence and biological annotation of human chromosome 1,Springer,2006,article,Nature,S. G. Gregory; K. F. Barlow; K. E. McLay; R. Kaul; D. Swarbreck; A. Dunham; C. E. Scott; K. L. Howe; K. Woodfine; C. C. A. Spencer; M. C. Jones; C. Gillson; S. Searle; Y. Zhou; F. Kokocinski; L. McDonald; R. Evans; K. Phillips; A. Atkinson; R. Cooper; C. Jones; R. E. Hall; T. D. Andrews; C. Lloyd; R. Ainscough; J. P. Almeida; K. D. Ambrose; F. Anderson; R. W. Andrew; R. I. S. Ashwell; K. Aubin; A. K. Babbage; C. L. Bagguley; J. Bailey; H. Beasley; G. Bethel; C. P. Bird; S. Bray-Allen; J. Y. Brown; A. J. Brown; D. Buckley; J. Burton; J. Bye; C. Carder; J. C. Chapman; S. Y. Clark; G. Clarke; C. Clee; V. Cobley; R. E. Collier; N. Corby; G. J. Coville; J. Davies; R. Deadman; M. Dunn; M. Earthrowl; A. G. Ellington; H. Errington; A. Frankish; J. Frankland; L. French; P. Garner; J. Garnett; L. Gay; M. R. J. Ghori; R. Gibson; L. M. Gilby; W. Gillett; R. J. Glithero; D. V. Grafham; C. Griffiths; S. Griffiths-Jones; R. Grocock; S. Hammond; E. S. I. Harrison; E. Hart; E. Haugen; P. D. Heath; S. Holmes; K. Holt; P. J. Howden; A. R. Hunt; S. E. Hunt; G. Hunter; J. Isherwood; R. James; C. Johnson; D. Johnson; A. Joy; M. Kay; J. K. Kershaw; M. Kibukawa; A. M. Kimberley; A. King; A. J. Knights; H. Lad; G. Laird; S. Lawlor; D. A. Leongamornlert; D. M. Lloyd; J. Loveland; J. Lovell; M. J. Lush; R. Lyne; S. Martin; M. Mashreghi-Mohammadi; L. Matthews; N. S. W. Matthews; S. McLaren; S. Milne; S. Mistry; M. J. F. M oore; T. Nickerson; C. N. O'Dell; K. Oliver; A. Palmeiri; S. A. Palmer; A. Parker; D. Patel; A. V. Pearce; A. I. Peck; S. Pelan; K. Phelps; B. J. Phillimore; R. Plumb; J. Rajan; C. Raymond; G. Rouse; C. Saenphimmachak; H. K. Sehra; E. Sheridan; R. Shownkeen; S. Sims; C. D. Skuce; M. Smith; C. Steward; S. Subramanian; N. Sycamore; A. Tracey; A. Tromans; Z. Van Helmond; M. Wall; J. M. Wallis; S. White; S. L. Whitehead; J. E. Wilkinson; D. L. Willey; H. Williams; L. Wilming; P. W. Wray; Z. Wu; A. Coulson; M. Vaudin; J. E. Sulston; R. Durbin; T. Hubbard; R. Wooster; I. Dunham; N. P. Carter; G. McVean; M. T. Ross; J. Harrow; M. V. Olson; S. Beck; J. Rogers; D. R. Bentley,,53.0,191.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W2151464048,https://doi.org/10.1038/nature01262,Initial sequencing and comparative analysis of the mouse genome,Nature,2002,article,Nature,Robert H Waterston; R Waterston; Kerstin Lindblad‐Toh; Ewan Birney; Jane Rogers; Josep F. Abril; Pankaj Agarwal; Richa Agarwala; Rachel Ainscough; Marina Alexandersson; Peter An; Stylianos E. Antonarakis; Robert Baertsch; J. Bailey; K. F. Barlow; Stephan Beck; E. Berry; Bruce W. Birren; Toby Bloom; Peer Bork; Marc Botcherby; Nicolas Bray; Michael R. Brent; Daniel G. Brown; S.D.M. Brown; Carol J. Bult; John H. Burton; Jonathan A. Butler; R. Duncan Campbell; Piero Carninci; Simon Cawley; Francesca Chiaromonte; Asif Chinwalla; Deanna M. Church; Michèle Clamp; Christopher Clee; Francis S. Collins; Lisa L. Cook; Richard R. Copley; Alan Coulson; Olivier Couronne; James Cuff; Val Curwen; Tim Cutts; Mark Daly; Robert David; J. Davies; Kimberly D. Delehaunty; Justin Deri; Emmanouil T. Dermitzakis; Colin N. Dewey; Nicholas J. Dickens; Mark Diekhans; Sheila Dodge; Inna Dubchak; Diane M. Dunn; Sean R. Eddy; Laura Elnitski; Richard D. Emes; Pallavi Eswara; Eduardo Eyras; Adam L. Felsenfeld; Ginger Fewell; Paul Flicek; Karen Foley; Wayne N. Frankel; Lucinda A. Fulton; Robert S. Fulton; Terrence S. Furey; Diane Gage; Richard A. Gibbs; Gustavo Glusman; Sante Gnerre; Nick Goldman; Leo Goodstadt; Darren Grafham; Tina Graves; Eric D. Green; Simon G. Gregory; Roderic Guigó; Mark S. Guyer; Ross C. Hardison; David Haussler; Yoshihide Hayashizaki; LaDeana W. Hillier; Wratko Hlavina; Timothy R. Holzer; Fan Hsu; Axin Hua; Tim Hubbard; Adrienne Hunt; Ian J. Jackson; David B. Jaffe; L. Steven Johnson; Matthew C. Jones; Thomas A. Jones; Ann Joy; Michael Kamal,Washington University in St. Louis,330.0,7222.0,181.9707,0.99998139,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,bronze,journal,false,English,US,false
Gemini,Genomics,2026-04-27 09:30:00,OpenAlex,https://openalex.org/W4292239814,https://doi.org/10.1038/nature03154,Sequence and comparative analysis of the chicken genome provide unique perspectives on vertebrate evolution,Nature,2004,article,Nature,,Washington University in St. Louis,145.0,2489.0,195.994,0.99997492,Chromosomal and Genetic Variations,Plant Science,Agricultural and Biological Sciences,Life Sciences,true,bronze,journal,false,English,US,false
