system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2006969979,,The mathematics of statistical machine translation: parameter estimation,,1993,article,,Peter F. Brown; Vincent J. Della Pietra; Stephen A. Della Pietra; Robert L. Mercer,IBM (United States),15.0,4124.0,32.6465,0.99801686,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,,false,English,US,false
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2156985047,https://doi.org/10.1162/089120103321337421,A Systematic Comparison of Various Statistical Alignment Models,Association for Computational Linguistics,2003,article,Computational Linguistics,Franz Josef Och; Hermann Ney,Marina Del Rey Hospital; RWTH Aachen University,39.0,3921.0,130.7525,0.99985397,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,false,English,US; DE,false
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2153653739,https://doi.org/10.3115/1073445.1073462,Statistical phrase-based translation,,2003,article,,Philipp Koehn; Franz Josef Och; Daniel Marcu,Southern California University for Professional Studies; University of Southern California,20.0,3276.0,106.846,0.99978097,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,,false,English,US,false
Gemini,Machine Translation,2026-04-27 00:30:00,Semantic Scholar,,https://doi.org/10.3115/1073083.1073135,Bleu: a Method for Automatic Evaluation of Machine Translation,,2002,,Annual Meeting of the Association for Computational Linguistics,Kishore Papineni; Salim Roukos; T. Ward; Wei-Jing Zhu,,5.0,32806.0,,,Computer Science,,,,True,open,,Unknown,Unknown,Unknown,Unknown
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W23077562,https://doi.org/10.1371/journal.pone.0047158,A Smorgasbord of Features for Statistical Machine Translation,,2004,article,North American Chapter of the Association for Computational Linguistics,Franz Josef Och; Daniel Gildea; Sanjeev Khudanpur; Anoop Sarkar; Kenji Yamada; Alexander Fraser; Shankar Kumar; Libin Shen; David A. Smith; Katherine Eng; Viren Jain; Zhen Jin; Dragomir Radev,,14.0,261.0,24.925,0.99814299,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,false,English,Unknown,false
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2437005631,https://doi.org/10.1162/coli.2007.33.2.201,Hierarchical Phrase-Based Translation,Association for Computational Linguistics,2007,article,Computational Linguistics,David Chiang,Associated Press,44.0,1163.0,142.3434,0.99987492,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,false,English,US,false
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2595715041,,Moses: Open Source Toolkit for Statistical Machine Translation,,2007,article,Edinburgh Research Explorer,Philipp Koehn; Hieu Hoang; Alexandra Birch; Chris Callison-Burch; Marcello Federico; Nicola Bertoldi; Brooke Cowan; Wade Shen; Christine Moran; Richard Zens; Chris Dyer; Ondřej Bojar; Alexandra Constantin; Evan Herbst,"University of Edinburgh; Moscow Institute of Thermal Technology; RWTH Aachen University; University of Maryland, College Park; Charles University; Williams College; Cornell University",0.0,1455.0,65.843,0.99935378,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,false,English,GB; RU; DE; US; CZ,true
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2123301721,,METEOR: An Automatic Metric for MT Evaluation with Improved Correlation with Human Judgments,,2005,article,,Satanjeev Banerjee; Alon Lavie,Carnegie Mellon University,6.0,3719.0,62.4844,0.99948776,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,,false,English,US,false
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2157331557,https://doi.org/10.3115/v1/d14-1179,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,,2014,preprint,,Kyunghyun Cho; Bart van Merriënboer; Çaǧlar Gülçehre; Dzmitry Bahdanau; Fethi Bougares; Holger Schwenk; Yoshua Bengio,University of Maine School of Law; Alcatel Lucent (Germany); Polytechnique Montréal,31.0,24097.0,583.6386,0.99996168,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,,false,English,US; DE; CA,false
Gemini,Machine Translation,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2130942839,https://doi.org/10.48550/arxiv.1409.3215,Sequence to Sequence Learning with Neural Networks,Cornell University,2014,preprint,arXiv,Ilya Sutskever; Oriol Vinyals; Quoc V. Le,Google (United States),29.0,13334.0,,,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,false,English,US,false
