system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1995875735,https://doi.org/10.1002/j.1538-7305.1948.tb01338.x,A Mathematical Theory of Communication,Institute of Electrical and Electronics Engineers,1948,article,Bell System Technical Journal,Claude E. Shannon,,0.0,79746.0,79.8039,1.0,graph theory and CDMA systems,Electrical and Electronic Engineering,Engineering,Physical Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W4229781645,https://doi.org/10.1515/9783112316009,Syntactic Structures,,1957,book chapter,,Noam Chomsky,,0.0,6921.0,66.06,0.99726776,"Syntax, Semantics, Linguistic Variation",Language and Linguistics,Arts and Humanities,Social Sciences,false,closed,,false,English,Unknown,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2096175520,https://doi.org/10.5555/234285.234289,A maximum entropy approach to natural language processing,,1996,article,,Adam Berger; Vincent J. Della Pietra; Stephen A. Della Pietra,Columbia University; Renaissance Services (United States),26.0,3128.0,40.4224,0.99805571,Neural Networks and Applications,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2006969979,,The mathematics of statistical machine translation: parameter estimation,,1993,article,,Peter F. Brown; Vincent J. Della Pietra; Stephen A. Della Pietra; Robert L. Mercer,IBM (United States),15.0,4124.0,32.6465,0.99801686,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1880262756,https://doi.org/10.5555/944919.944937,Latent dirichlet allocation,MIT Press,2003,article,Journal of Machine Learning Research,David M. Blei; Andrew Y. Ng; Michael I. Jordan,"University of California, Berkeley; Stanford University",28.0,27006.0,127.4654,0.99982476,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,US,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2147880316,,Conditional Random Fields: Probabilistic Models for Segmenting and Labeling Sequence Data,University of Pennsylvania,2001,article,Scholarly Commons (University of Pennsylvania),John Lafferty; Andrew McCallum; Fernando C. N. Pereira,Carnegie Mellon University,24.0,12995.0,90.7432,0.99960675,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,US,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2998704965,https://doi.org/10.5555/944919.944966,A neural probabilistic language model,MIT Press,2003,article,Journal of Machine Learning Research,BengioYoshua; DucharmeRéjean; VincentPascal; JanvinChristian,,0.0,2666.0,2.8121,0.9186612,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,Unknown,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W1614298861,https://doi.org/10.48550/arxiv.1301.3781,Efficient Estimation of Word Representations in Vector Space,Cornell University,2013,preprint,arXiv,Tomáš Mikolov; Kai Chen; Greg S. Corrado; Jay B. Dean,Brno University of Technology; Beijing University of Posts and Telecommunications; Google (United States),0.0,18101.0,,,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,CZ; CN; US,true
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2153579005,https://doi.org/10.48550/arxiv.1310.4546,Distributed Representations of Words and Phrases and their Compositionality,Cornell University,2013,article,arXiv,Tomáš Mikolov; Ilya Sutskever; Kai Chen; Greg S. Corrado; Jeff Dean,Google (United States),19.0,18084.0,,,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,green,repository,false,English,US,false
Gemini,Natural Language Processing,2026-04-27 00:30:00,OpenAlex,https://openalex.org/W2250539671,https://doi.org/10.3115/v1/d14-1162,Glove: Global Vectors for Word Representation,,2014,article,,Jeffrey Pennington; Richard Socher; Christopher D. Manning,Stanford University,28.0,33457.0,1171.9294,0.99998467,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,US,false
