system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Scopus,Genomics,2026-04-29,1,Crossref,,https://doi.org/10.1007/978-3-030-54161-3_279,Genomics,2021.0,book chapter,Dictionary of Global Bioethics,Springer International Publishing,Henk ten Have; Maria do Céu Patrão Neves,,0,0.0,,,,,,,Unknown,,,Unknown,Unknown,Unknown,Unknown
Scopus,Genomics,2026-04-29,2,OpenAlex,https://openalex.org/W1990694857,https://doi.org/10.1108/14636680210445938,Genomics and society: four scenarios for 2015,2002.0,article,foresight,Emerald Publishing Limited,Mark Justman; Clement Bezold; W. R. C. Rowley,Alternative Futures Associates,0,7.0,0.322,0.66652577,Biotechnology and Related Fields,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,false,closed,journal,false,English,US,false
Scopus,Genomics,2026-04-29,3,OpenAlex,https://openalex.org/W2808160274,https://doi.org/10.1017/gheg.2018.3,Genomics research in Africa and its impact on global health: insights from African researchers,2018.0,article,Global Health,Cambridge University Press,Nchangwi Syntia Munung; Bongani M. Mayosi; Jantina de Vries,University of Cape Town; Groote Schuur Hospital,46,26.0,1.117,0.77545904,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,gold,journal,false,English,ZA,true
Scopus,Genomics,2026-04-29,4,OpenAlex,https://openalex.org/W4220747061,https://doi.org/10.1016/j.molp.2022.03.009,Twenty years of rice genomics research: From sequencing and functional genomics to quantitative genomics,2022.0,review,Molecular Plant,Elsevier BV,Changsheng Wang; Bin Han,Center for Excellence in Molecular Plant Sciences,330,66.0,11.5581,0.98909058,Genetic Mapping and Diversity in Plants and Animals,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,journal,false,English,CN,true
Scopus,Genomics,2026-04-29,5,OpenAlex,https://openalex.org/W4401608642,https://doi.org/10.1109/seb4sdg60871.2024.10630232,Homomorphic Encryption for Genomics Data Storage on a Federated Cloud: A Mini Review,2024.0,review,,,Philip Ewejobi; Kennedy Okokpujie; Emmanuel Adetiba; Babatunde Alao,Covenant University,44,4.0,0.9446,0.7453893,DNA and Biological Computing,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,,false,English,NG,true
Scopus,Genomics,2026-04-29,6,OpenAlex,https://openalex.org/W4283585313,https://doi.org/10.1098/rstb.2021.0381,Is the genomics ‘cart’ before the restoration ecology ‘horse’? Insights from qualitative interviews and trends from the literature,2022.0,article,Philosophical Transactions of the Royal Society B Biological Sciences,Royal Society,Jakki J. Mohr; Peter A. Harrison; Jessica Stanhope; Martin F. Breed,"University of Montana Western; Missoula County Public Schools; Montana Institute on Ecosystems; University of Montana; University of Tasmania; Department of Biological Sciences; Tasmanian Abalone Council (Australia); South Australia Pathology; University of Health and Allied Sciences; The University of Adelaide; Flinders University; Department of Physics, Mathematics and Informatics; Vaxine (Australia)",57,24.0,4.0753,0.93955014,Environmental DNA in Biodiversity Studies,Ecology,Environmental Science,Physical Sciences,true,bronze,journal,false,English,US; AU; RU; GH; BY,true
Scopus,Genomics,2026-04-29,7,OpenAlex,https://openalex.org/W4406209995,https://doi.org/10.1371/journal.pone.0313124,A genomics learning framework for undergraduates,2025.0,article,PLoS ONE,Public Library of Science,Laura K Reed; Adam J. Kleinschmit; Vincent P. Buonaccorsi; Arthur G. Hunt; Douglas L. Chalker; Jason Williams; Christopher J. Jones; Juan-Carlos Martinez-Cruzado; Anne Rosenwald,University of Alabama; University of Dubuque; Juniata College; University of Kentucky; Washington University in St. Louis; Cold Spring Harbor Laboratory; Moravian University; University of Puerto Rico-Mayaguez; Georgetown University,45,2.0,1.3603,0.78186584,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,true,gold,journal,false,English,US; PR,false
Scopus,Genomics,2026-04-29,8,OpenAlex,https://openalex.org/W3137908296,,Microbial Genomics in Sustainable Agroecosystems Volume 1,2019.0,book chapter,Published in <b>2019</b>,,Vijay Tripathi; Pradeep Kumar; Pooja Tripathi; Amit K Kishore,,0,3.0,0.25,0.625,Plant and Fungal Interactions Research,Endocrinology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,ebook platform,false,English,Unknown,false
Scopus,Genomics,2026-04-29,9,Semantic Scholar,,https://doi.org/10.1109/IWBIS.2016.7872883,Advancing public health genomics,2016.0,,International Workshop on Big Data and Information Security,,Xue Li; Xin Zhao; Mingyang Zhong,,17,0.0,,,Medicine; Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
Scopus,Genomics,2026-04-29,10,OpenAlex,https://openalex.org/W65023802,https://doi.org/10.1007/978-94-007-6401-9,Cereal Genomics II,2013.0,book chapter,,,P. K. Gupta; Rajeev K. Varshney,,1,30.0,4.2187,0.93353028,Genetic Mapping and Diversity in Plants and Animals,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,false,closed,,false,English,Unknown,false
