system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Scopus,Reinforcement Learning,2026-04-29,1,OpenAlex,https://openalex.org/W4226453553,https://doi.org/10.1109/eebda53927.2022.9744760,The Advance of Reinforcement Learning and Deep Reinforcement Learning,2022.0,article,"2022 IEEE International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)",,Le Lyu; Yang Shen; Sicheng Zhang,Guangdong Shunde Innovative Design Institute; Emory University; University of Florida,17,84.0,8.3503,0.98341019,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,false,English,CN; US,true
Scopus,Reinforcement Learning,2026-04-29,2,OpenAlex,https://openalex.org/W4403656520,https://doi.org/10.1007/978-981-97-5035-1_32,Sample Efficient Hierarchical Reinforcement Learning for the Game of Othello,2024.0,book chapter,Lecture notes in networks and systems,Springer International Publishing,Timothy Chang; Kourosh Neshatian; James Atlas,University of Canterbury,10,0.0,0.0,0.40594968,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,false,English,NZ,false
Scopus,Reinforcement Learning,2026-04-29,4,OpenAlex,https://openalex.org/W3033717640,https://doi.org/10.1007/978-3-030-45691-7_37,From Reinforcement Learning Towards Artificial General Intelligence,2020.0,book chapter,Advances in intelligent systems and computing,Springer Nature,Filipe Rocha; Vı́tor Santos Costa; Luís Paulo Reis,Universidade do Porto; Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,48,8.0,1.0992,0.79980132,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,false,English,PT,false
Scopus,Reinforcement Learning,2026-04-29,5,Semantic Scholar,,,A Survey on Adversarial Attacks and Defenses for Deep Reinforcement Learning,,,,,Ai-Shan Liu; Guo; Li; Yi Xiao; Xiang Liu; Da Tao,,104,0.0,,,,,,,True,open,,Unknown,Unknown,Unknown,Unknown
Scopus,Reinforcement Learning,2026-04-29,6,OpenAlex,https://openalex.org/W4386394212,https://doi.org/10.14569/ijacsa.2023.0140838,"Advances in Value-based, Policy-based, and Deep Learning-based Reinforcement Learning",2023.0,article,International Journal of Advanced Computer Science and Applications,Science and Information Organization,Haewon Byeon,Inje University,27,16.0,3.317,0.92262338,Smart Systems and Machine Learning,Computer Networks and Communications,Computer Science,Physical Sciences,True,diamond,journal,false,English,KR,false
Scopus,Reinforcement Learning,2026-04-29,9,OpenAlex,https://openalex.org/W2107726111,https://doi.org/10.1613/jair.301,Reinforcement Learning: A Survey,1996.0,article,Journal of Artificial Intelligence Research,AI Access Foundation,Leslie Pack Kaelbling; Michael L. Littman; Andrew Moore,Brown University; Carnegie Mellon University,189,8762.0,113.3386,0.99976535,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,diamond,journal,false,English,US,false
Scopus,Reinforcement Learning,2026-04-29,10,OpenAlex,https://openalex.org/W2975469097,https://doi.org/10.1007/978-1-4842-3285-9,"Reinforcement learning with open AI, TensorFlow and keras using python",2017.0,book chapter,,,Abhishek Nandy; Manisha Biswas,,0,14.0,,,COVID-19 diagnosis using AI,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences,False,closed,,false,English,Unknown,false
Scopus,Reinforcement Learning,2026-04-29,11,OpenAlex,https://openalex.org/W3005971017,https://doi.org/10.7544/issn1000-1239.2019.20170578,Methodologies for Imitation Learning via Inverse Reinforcement Learning: A Review,2019.0,review,,,Kaifeng Zhang; Yu Yang,,0,3.0,1.3145,0.85365854,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,,false,English,Unknown,false
Scopus,Reinforcement Learning,2026-04-29,12,Semantic Scholar,,,"A Survey of Inverse Reinforcement Learning Algorithms, Theory and Applications",,,,,Song Li; Da-zi Li; X. Xin,,99,0.0,,,,,,,True,open,,Unknown,Unknown,Unknown,Unknown
Scopus,Reinforcement Learning,2026-04-29,13,OpenAlex,https://openalex.org/W4383112908,https://doi.org/10.1109/tpami.2023.3292075,Transfer Learning in Deep Reinforcement Learning: A Survey,2023.0,article,IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE Computer Society,Zhuangdi Zhu; Kaixiang Lin; Anil K. Jain; Jiayu Zhou,Michigan State University,274,656.0,108.3306,0.99979277,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,journal,false,English,US,false
Scopus,Reinforcement Learning,2026-04-29,14,OpenAlex,https://openalex.org/W4296591823,https://doi.org/10.1145/3523227.3547376,Conversational Recommender System Using Deep Reinforcement Learning,2022.0,article,,,Omprakash Sonie,,9,4.0,0.9094,0.79839864,Recommender Systems and Techniques,Information Systems,Computer Science,Physical Sciences,False,closed,,false,English,Unknown,false
Scopus,Reinforcement Learning,2026-04-29,15,Semantic Scholar,,https://doi.org/10.1109/JACC.1973.4169961,Reinforcement learning models and their applications to control problems,1973.0,,,,J. Mendel,,0,6.0,,,Mathematics,,,,True,open,,Unknown,Unknown,Unknown,Unknown
Scopus,Reinforcement Learning,2026-04-29,16,OpenAlex,https://openalex.org/W4289516698,https://doi.org/10.1007/978-981-19-1607-6_13,Transfer Learning in Deep Reinforcement Learning,2022.0,book chapter,Lecture notes in networks and systems,Springer International Publishing,Tariqul Islam; Dm. Mehedi Hasan Abid; Tanvir Rahman; Zahura Zaman; Kausar Mia; Ramim Hossain,Daffodil International University,9,4.0,1.3705,0.83518393,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,book series,false,English,BD,true
Scopus,Reinforcement Learning,2026-04-29,17,OpenAlex,https://openalex.org/W4290878490,https://doi.org/10.1145/3534678.3542635,concept2code: Deep Reinforcement Learning for Conversational AI,2022.0,article,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,Omprakash Sonie; Abir Chakraborty; Ankan Mullick,Microsoft Research (India); Indian Institute of Technology Kharagpur,6,1.0,0.1039,0.27440207,Data Stream Mining Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,false,English,IN,true
Scopus,Reinforcement Learning,2026-04-29,18,OpenAlex,https://openalex.org/W2130711276,https://doi.org/10.1109/mec.2011.6025669,"Reinforcement learning model, algorithms and its application",2011.0,article,,,Qiang Wang; Zhongli Zhan,,22,177.0,3.2626,0.92663674,Elevator Systems and Control,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,,false,English,Unknown,false
Scopus,Reinforcement Learning,2026-04-29,19,OpenAlex,https://openalex.org/W3203256658,https://doi.org/10.1541/ieejpes.141.608,Application of Reinforcement Learning to Power System Operation,2021.0,article,IEEJ Transactions on Power and Energy,Institute of Electrical Engineers of Japan,Satoshi Takayama,Osaka Prefecture University,55,1.0,0.1003,0.43651305,Smart Grid and Power Systems,Electrical and Electronic Engineering,Engineering,Physical Sciences,False,closed,journal,false,English,JP,false
Scopus,Reinforcement Learning,2026-04-29,22,OpenAlex,https://openalex.org/W2089415692,https://doi.org/10.1162/089976699300016070,A Unified Analysis of Value-Function-Based Reinforcement-Learning Algorithms,1999.0,article,Neural Computation,The MIT Press,Csaba Szepesvári; Michael L. Littman,Duke University,48,183.0,5.1967,0.95454932,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,false,English,US,false
Scopus,Reinforcement Learning,2026-04-29,23,OpenAlex,https://openalex.org/W4390742939,https://doi.org/10.1007/s11633-023-1454-4,Distributed Deep Reinforcement Learning: A Survey and a Multi-player Multi-agent Learning Toolbox,2024.0,article,Machine Intelligence Research,Springer Science+Business Media,Qiyue Yin; Tongtong Yu; Shengqi Shen; Jun Yang; Meijing Zhao; Wancheng Ni; Kaiqi Huang; Bin Liang; Liang Wang,Chinese Academy of Sciences; Shandong Institute of Automation; University of Chinese Academy of Sciences; Tsinghua University; Center for Excellence in Brain Science and Intelligence Technology,46,32.0,10.5963,0.98586683,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid,journal,false,English,CN,true
Scopus,Reinforcement Learning,2026-04-29,24,OpenAlex,https://openalex.org/W3088331655,https://doi.org/10.3390/a13090239,Feasibility Analysis and Application of Reinforcement Learning Algorithm Based on Dynamic Parameter Adjustment,2020.0,article,Algorithms,Multidisciplinary Digital Publishing Institute,Menglin Li; Xueqiang Gu; Chengyi Zeng; Yuan Feng,National University of Defense Technology,37,4.0,0.2913,0.63730346,Adaptive Dynamic Programming Control,Computational Theory and Mathematics,Computer Science,Physical Sciences,True,gold,journal,false,English,CN,true
Scopus,Reinforcement Learning,2026-04-29,25,OpenAlex,https://openalex.org/W4310584332,https://doi.org/10.1109/uemcon54665.2022.9965711,Meta Reinforcement Learning with Hebbian Learning,2022.0,article,"2022 IEEE 13th Annual Ubiquitous Computing, Electronics &amp; Mobile Communication Conference (UEMCON)",,Di Wang,University of Illinois Chicago,52,12.0,1.2473,0.81905839,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,false,English,US,false
Scopus,Reinforcement Learning,2026-04-29,26,OpenAlex,https://openalex.org/W3216527022,https://doi.org/10.1109/swc50871.2021.00046,Towards Online Continuous Reinforcement Learning on Industrial Internet of Things,2021.0,article,,,Cheng Qian; Wei Yu; Xing Liu; David Griffith; Nada Golmie,Towson University; National Institute of Standards and Technology,23,6.0,0.7641,0.74200485,IoT and Edge/Fog Computing,Computer Networks and Communications,Computer Science,Physical Sciences,False,closed,,false,English,US,false
Scopus,Reinforcement Learning,2026-04-29,27,OpenAlex,https://openalex.org/W3038822267,https://doi.org/10.1561/2200000086,Model-based Reinforcement Learning: A Survey,2023.0,article,Foundations and Trends® in Machine Learning,Now Publishers,Thomas M. Moerland; Joost Broekens; Aske Plaat; Catholijn M. Jonker,Leiden University; University of Applied Sciences Leiden; Active Technologies (Italy); Delft University of Technology,553,467.0,65.5924,0.9994129,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,journal,false,English,NL; IT,false
Scopus,Reinforcement Learning,2026-04-29,28,OpenAlex,https://openalex.org/W3134302667,https://doi.org/10.1109/icacccn51052.2020.9362815,Applications of Reinforcement Learning to Image Enhancement: A Survey,2020.0,article,"2020 2nd International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)",,Chirag Singla; Dhruv Bansal; Hardik Jain; Anil Singh Parihar,Delhi Technological University,37,4.0,0.2453,0.59901153,Image and Signal Denoising Methods,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,False,closed,conference,false,English,IN,true
