system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Econometrics,2026-04-29,1,OpenAlex,https://openalex.org/W2291032042,https://doi.org/10.2307/1238739,"Dhrymes, Phoebus J., <i>Econometrics, Statistical Foundations and Applications</i>, Kmenta, Jan, <i>Elements of Econometrics</i>, Theil, Henri, <i>Principles of Econometrics</i> and Wonnacott, R. J., and Thomas H. Wonnacott, <i>Econometrics</i>",1972.0,article,American Journal of Agricultural Economics,Wiley,John P. Doll,University of Missouri,0,0.0,0.0,0.43735934,Agricultural Economics and Policy,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,false,closed,journal,false,English,US,false
Web of Science,Econometrics,2026-04-29,2,OpenAlex,https://openalex.org/W2055513985,https://doi.org/10.1017/s0266466698141014,WORLDWIDE INSTITUTIONAL RANKINGS IN ECONOMETRICS: 1989–1995,1998.0,article,Econometric Theory,Cambridge University Press,Badi H. Baltagi,Mitchell Institute; Texas A&M University,4,27.0,2.6733,0.91386349,Corruption and Economic Development,Sociology and Political Science,Social Sciences,Social Sciences,false,closed,journal,false,English,US,false
Web of Science,Econometrics,2026-04-29,3,OpenAlex,https://openalex.org/W1976299847,https://doi.org/10.3917/rep.173.0431,Challenges in the teaching of econometrics : the lesson of Pietro Balestra,2007.0,article,Revue d économie politique,Editions Dalloz,Patrick Gagliardini,,9,4.0,2.0887,0.91147962,Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,true,bronze,journal,false,French,Unknown,false
Web of Science,Econometrics,2026-04-29,5,OpenAlex,https://openalex.org/W2807088459,https://doi.org/10.1080/00220485.2018.1464986,Integrating econometrics: A modern undergraduate economics capstone experience,2018.0,article,The Journal of Economic Education,Taylor & Francis,Brooke Conaway; Christopher Clark; Josep Arias; Jessie Folk,Georgia College & State University,25,19.0,4.1451,0.94060299,Innovations in Educational Methods,Education,Social Sciences,Social Sciences,false,closed,journal,false,English,US,false
Web of Science,Econometrics,2026-04-29,6,OpenAlex,https://openalex.org/W4381549372,https://doi.org/10.26650/ekoist.2023.38.1242702,Health Econometrics Research: A Bibliometric Analysis from 1991 to 2020,2023.0,article,Ekoist Journal of Econometrics and Statistics,Istanbul University,Ebru Çağlayan Akay; Merve Ertok Onurlu,Çanakkale Onsekiz Mart Üniversitesi,15,0.0,0.0,0.14269403,Global Health Care Issues,General Health Professions,Health Professions,Health Sciences,true,diamond,journal,false,English,TR,true
Web of Science,Econometrics,2026-04-29,7,OpenAlex,https://openalex.org/W4308196498,https://doi.org/10.3390/jrfm15110510,Accounting and Econometrics: From Paweł Ciompa to Contemporary Research,2022.0,article,Journal of risk and financial management,Multidisciplinary Digital Publishing Institute,Marek Gruszczyński,SGH Warsaw School of Economics,13,3.0,0.8822,0.77789054,"Auditing, Earnings Management, Governance",Accounting,"Business, Management and Accounting",Social Sciences,true,hybrid,journal,false,English,PL,false
Web of Science,Econometrics,2026-04-29,9,OpenAlex,https://openalex.org/W2132310997,https://doi.org/10.1177/1536867x0700700109,Review of An Introduction to Modern Econometrics Using Stata by Baum,2007.0,article,The Stata Journal Promoting communications on statistics and Stata,SAGE Publishing,Austin Nichols,Urban Institute,22,5.0,0.0,0.25719268,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,true,bronze,journal,false,English,US,false
Web of Science,Econometrics,2026-04-29,10,OpenAlex,https://openalex.org/W2095111982,https://doi.org/10.1198/016214502760301219,"Probability, Econometrics and Truth: The Methodology of Econometrics",2002.0,article,Journal of the American Statistical Association,,Aris Spanos,Virginia Tech,6,16.0,0.0,0.22809153,Stochastic processes and financial applications,Finance,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,US,false
Web of Science,Econometrics,2026-04-29,11,OpenAlex,https://openalex.org/W4384521315,https://doi.org/10.1002/wene.491,Application of econometrics in energy research—Empowerment from big data and machine learning,2023.0,article,Wiley Interdisciplinary Reviews Energy and Environment,Wiley,Yiyan Chen; Hooi Hooi Lean,Universiti Sains Malaysia,32,3.0,0.184,0.39802552,"Energy, Environment, and Transportation Policies","Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences,false,closed,journal,false,English,MY,true
Web of Science,Econometrics,2026-04-29,12,OpenAlex,https://openalex.org/W1980963053,https://doi.org/10.1111/j.1468-0297.2004.00258_13.x,Panel Data Econometrics: Advanced Texts in Econometrics,2004.0,article,The Economic Journal,Oxford University Press,Marco G. Ercolani,University of Birmingham,0,129.0,12.4037,0.98122178,Regional Economics and Spatial Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,false,closed,journal,false,English,GB,false
