system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Machine Translation,2026-04-29,Semantic Scholar,,,A Comparative Study on the Translation Quality of Specialized and General Machine Translation Outputs,,2020,,IEEE International Conference on Consumer Electronics,Xioahan Yu; Guangming Yu; Zhiyang Liu; Chunping Zheng,,0,0.0,,,Computer Science,,,,true,open,,Unknown,Unknown,Unknown,Unknown
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W4394783881,https://doi.org/10.1007/s10639-024-12650-x,Understanding machine translation fit for language learning: The mediating effect of machine translation literacy,Springer,2024,article,Education and Information Technologies,Yanxia Yang,Nanjing Agricultural University,62,6.0,5.9376,0.95989721,Technology Adoption and User Behaviour,Information Systems and Management,Decision Sciences,Social Sciences,false,closed,journal,false,English,CN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W4290079452,https://doi.org/10.1155/2022/7428563,Artificial Intelligence-based Machine English-Assisted Translation in the Internet of Things Environment,Hindawi Publishing Corporation,2022,article,Computational Intelligence and Neuroscience,Wanfang Zhang; Yuan Tang,Wuhan Polytechnic University; Jiaxing University,32,7.0,0.5722,0.6046731,Medical Imaging and Analysis,Biomedical Engineering,Engineering,Physical Sciences,true,hybrid,journal,true,English,CN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2074655881,https://doi.org/10.1109/icrito.2014.7014735,An empirical study on English to Hindi E-contents Machine Translation through multi engines,,2014,article,,Pankaj K. Goswami; Sanjay K. Dwivedi,,8,7.0,1.227,0.84878049,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,Unknown,false
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2771528947,https://doi.org/10.12783/dtcse/cmsam2016/3651,A Comparative Study of Machine Translation and Human Translation-A Case Study of Kingsoft Powerword,Destech Publications,2016,article,DEStech Transactions on Computer Science and Engineering,WU Fang-fei; Qiu-ping LIANG; Gao-da HE,,1,0.0,0.0,0.15983412,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,true,bronze,journal,false,English,Unknown,false
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2576968057,https://doi.org/10.1109/icrcicn.2016.7813653,Empirical survey of machine translation tools,,2016,article,,Sunita Chand,University of Delhi,21,28.0,4.7132,0.95498085,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,,false,English,IN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W4285086495,https://doi.org/10.1155/2022/9121636,The Relationship between Machine Translation and Human Translation under the Influence of Artificial Intelligence Machine Translation,IOS Press,2022,article,Mobile Information Systems,Zhao Lihua,Sanya University,5,17.0,2.3608,0.90039755,Educational Technology and Pedagogy,Artificial Intelligence,Computer Science,Physical Sciences,true,hybrid,journal,true,English,CN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W3204448004,https://doi.org/10.1155/2021/3539155,Design and Testing of Automatic Machine Translation System Based on Chinese-English Phrase Translation,IOS Press,2021,article,Mobile Information Systems,Jing Ning; Haidong Ban,Xijing University,10,7.0,0.8396,0.79150498,Fuzzy Logic and Control Systems,Artificial Intelligence,Computer Science,Physical Sciences,true,hybrid,journal,false,English,CN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W4281741710,https://doi.org/10.1007/s11063-022-10835-4,A Comprehensive Survey on Various Fully Automatic Machine Translation Evaluation Metrics,Springer,2022,article,Neural Processing Letters,Shweta Chauhan; Philemon Daniel,National Institute of Technology Hamirpur,79,58.0,7.2132,0.97486001,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,journal,false,English,IN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2988117675,https://doi.org/10.1007/978-3-030-34980-6_24,Exploring Machine Translation on the Chinese-Vietnamese Language Pair (Extended Abstract),Springer,2019,book chapter,Lecture Notes in Computer Science,Huu-Anh Tran; Phuoc Tran; Phuong-Thuy Dao; Thi-Mien Pham,Thai Binh University of Medicine and Pharmacy; Ton Duc Thang University,3,0.0,0.0,0.22145349,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,false,closed,book series,false,English,VN,true
Web of Science,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W4220696099,https://doi.org/10.1155/2022/2710662,Chinese Translation Errors in English Machine Translation Based on Wireless Sensor Network Communication Algorithm,Wiley,2022,article,Wireless Communications and Mobile Computing,Jinshun Long; Jun He,Jimei University; Jinggangshan University,15,2.0,0.2775,0.60699048,Educational Technology and Pedagogy,Artificial Intelligence,Computer Science,Physical Sciences,true,hybrid,journal,false,English,CN,true
