system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W3121217586,https://doi.org/10.2307/1905313,A Theory of the Consumption Function,Wiley,1960,article,Econometrica,Erich Streißler; Milton Friedman,null/unknown,0.0,2255.0,183.2217,0.99987413,"Income, Poverty, and Inequality",Sociology and Political Science,Social Sciences,Social Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,Semantic Scholar,null/unknown,https://doi.org/10.1038/150335A0,The Analysis of Economic Time Series,null/unknown,1942,null/unknown,Nature,A. Bowley,null/unknown,0.0,286.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2313470939,https://doi.org/10.2307/1905714,The Statistical Implications of a System of Simultaneous Equations,Wiley,1943,article,Econometrica,Trygve Haavelmo,null/unknown,0.0,980.0,11.5,0.9793578,Advanced Research in Systems and Signal Processing,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2001625347,https://doi.org/10.2307/2552045,The Identification Problem in Econometrics.,Wiley,1967,article,Economica,Franklin M. Fisher,null/unknown,0.0,560.0,7.9992,0.97692741,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W3125855424,null/unknown,Large sample estimation and hypothesis testing,Federal Reserve Bank of St. Louis,1986,preprint,RePEc: Research Papers in Economics,Whitney K. Newey; Daniel McFadden,null/unknown,0.0,2241.0,null/unknown,null/unknown,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,repository,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W1522592437,null/unknown,Estimation and Inference in Nonlinear Structural Models,Federal Reserve Bank of St. Louis,1974,preprint,RePEc: Research Papers in Economics,Ernst R. Berndt; Bronwyn H. Hall; Robert E. Hall; Jerry A. Hausman,null/unknown,0.0,1975.0,9.9204,0.9825713,Advanced Control Systems Optimization,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,repository,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2052866302,https://doi.org/10.1080/01621459.1967.10482923,Efficient Estimation of a System of Regression Equations when Disturbances are Both Serially and Contemporaneously Correlated,null/unknown,1967,article,Journal of the American Statistical Association,Richard W. Parks,University of Chicago,12.0,1113.0,8.0913,0.97466751,Optimal Experimental Design Methods,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,journal,False,English,US,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2053504955,https://doi.org/10.2307/1911486,Generalized Instrumental Variables Estimation of Nonlinear Rational Expectations Models,Wiley,1984,article,Econometrica,Lars Peter Hansen; Kenneth J. Singleton,null/unknown,27.0,2119.0,80.1005,1.0,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,Semantic Scholar,null/unknown,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,null/unknown,1980,null/unknown,null/unknown,H. White,null/unknown,18.0,26065.0,null/unknown,null/unknown,Mathematics,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,Wiley,1980,article,Econometrica,Halbert White,null/unknown,18.0,26013.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W1979575715,https://doi.org/10.2307/1912773,Autoregressive Conditional Heteroscedasticity with Estimates of the Variance of United Kingdom Inflation,Wiley,1982,article,Econometrica,Robert F. Engle,null/unknown,0.0,20455.0,39.6096,0.99963059,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2423293082,null/unknown,Generalized autoregressive conditional heteroscedasticity,Japan Society of Medical Entomology and Zoology,1986,article,Medical Entomology and Zoology,Tim Bollerslev,null/unknown,0.0,1855.0,2.1797,0.89732259,Fuzzy Systems and Optimization,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W4246784033,https://doi.org/10.2307/1912526,Maximum Likelihood Estimation of Misspecified Models,Wiley,1982,article,Econometrica,Halbert White,null/unknown,0.0,4079.0,23.5406,0.9975706,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2111174809,https://doi.org/10.1142/9789812385451,Regression and Time Series Model Selection,null/unknown,1998,book chapter,World Scientific Publishing Co. Pte. Ltd. eBooks,Allan McQuarrie; Chih‐Ling Tsai,null/unknown,0.0,703.0,3.2765,0.9375,Neural Networks and Applications,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,ebook platform,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2146855196,https://doi.org/10.1214/aos/1176344136,Estimating the Dimension of a Model,Institute of Mathematical Statistics,1978,article,The Annals of Statistics,Gideon Schwarz,null/unknown,0.0,15.0,0.0,0.22659933,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2074812030,https://doi.org/10.2307/1912559,A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle,Wiley,1989,article,Econometrica,James D. Hamilton,null/unknown,29.0,9569.0,50.8306,0.99978237,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2110603299,https://doi.org/10.2307/1913236,"Co-Integration and Error Correction: Representation, Estimation, and Testing",Wiley,1987,article,Econometrica,Robert F. Engle; C. W. J. Granger,"University of California, San Diego",0.0,31765.0,303.7697,1.0,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,US,False
DeepSeek,Econometrics,2026-04-26 18:40:00,OpenAlex,https://openalex.org/W2095364399,https://doi.org/10.2307/1912517,Likelihood Ratio Statistics for Autoregressive Time Series with a Unit Root,Wiley,1981,article,Econometrica,David A. Dickey; Wayne A. Fuller,null/unknown,11.0,14457.0,6.9516,0.96582985,Financial Risk and Volatility Modeling,Finance,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
