system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W3147894994,https://doi.org/10.1111/j.2517-6161.1972.tb00899.x,Regression Models and Life-Tables,Oxford University Press,1972.0,article,Journal of the Royal Statistical Society Series B (Statistical Methodology),D. R. Cox,Imperial College London,22,39037.0,63.0239,0.99953704,"Insurance, Mortality, Demography, Risk Management",Demography,Social Sciences,Social Sciences,True,bronze,journal,False,English,GB,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2102236934,https://doi.org/10.2307/1907382,Estimation of Relationships for Limited Dependent Variables,Wiley,1958.0,article,Econometrica,James Tobin,null/unknown,5,6903.0,6.1614,0.95339806,Advanced Clustering Algorithms Research,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W4246784033,https://doi.org/10.2307/1912526,Maximum Likelihood Estimation of Misspecified Models,Wiley,1982.0,article,Econometrica,Halbert White,null/unknown,0,4079.0,23.5406,0.9975706,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-27 19:00:00,Semantic Scholar,null/unknown,https://doi.org/10.4337/9780857931023.00021,Generalized Method of Moments,null/unknown,2005.0,null/unknown,null/unknown,A. Hall,null/unknown,30,836.0,null/unknown,null/unknown,Mathematics; Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2028995298,https://doi.org/10.2307/1912775,Large Sample Properties of Generalized Method of Moments Estimators,Wiley,1982.0,article,Econometrica,Lars Peter Hansen,null/unknown,27,13754.0,94.3632,1.0,Financial Risk and Volatility Modeling,Finance,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,Wiley,1980.0,article,Econometrica,Halbert White,null/unknown,18,26017.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,Wiley,1980.0,article,Econometrica,Halbert White,null/unknown,18,26017.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2117178635,https://doi.org/10.2307/1913610,"A Simple, Positive Semi-Definite, Heteroskedasticity and Autocorrelation Consistent Covariance Matrix",Wiley,1987.0,article,Econometrica,Whitney K. Newey; Kenneth D. West,Massachusetts Institute of Technology; National Bureau of Economic Research; University of Wisconsin-Madison,0,16905.0,128.2192,0.99964888,Advanced Decision-Making Techniques,Information Systems,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W3125751868,https://doi.org/10.4337/9781035334926.00022,Tests for Model Specification in the Presence of Alternative Hypotheses: Some Further Results,Edward Elgar Publishing,1998.0,book chapter,Edward Elgar Publishing eBooks,James G. MacKinnon; Halbert White; Russell Davidson,null/unknown,0,16.0,3.5267,0.94067797,Simulation Techniques and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,ebook platform,False,English,null/unknown,False
GPT,Econometrics,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2112352537,https://doi.org/10.2307/1913827,Specification Tests in Econometrics,Wiley,1978.0,article,Econometrica,Jerry A. Hausman,null/unknown,18,18205.0,113.0424,0.99963413,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
