system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Econometrics,2026-04-29 11:40:00,3,Crossref,null/unknown,https://doi.org/10.1016/j.econlet.2006.08.011,A local generalized method of moments estimator,2007.0,article,Economics Letters,Elsevier BV,Arthur Lewbel,null/unknown,10,35.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-29 11:40:00,4,OpenAlex,https://openalex.org/W4246784033,https://doi.org/10.2307/1912526,Maximum Likelihood Estimation of Misspecified Models,1982.0,article,Econometrica,Wiley,Halbert White,null/unknown,0,4079.0,23.5406,0.9975706,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,7,OpenAlex,https://openalex.org/W2008018325,https://doi.org/10.1080/01621459.1984.10477073,Regression Models with Time Series Errors,1984.0,article,Journal of the American Statistical Association,null/unknown,Ruey S. Tsay,Carnegie Mellon University,21,83.0,1.3893,0.79257068,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,8,OpenAlex,https://openalex.org/W1984536024,https://doi.org/10.2307/1910133,Tests of Equality Between Sets of Coefficients in Two Linear Regressions,1960.0,article,Econometrica,Wiley,Gregory C. Chow,null/unknown,3,6453.0,1.0524,0.73828921,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,9,OpenAlex,https://openalex.org/W2108818539,https://doi.org/10.2307/1912934,A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test for Heteroskedasticity,1980.0,article,Econometrica,Wiley,Halbert White,null/unknown,18,26013.0,30.7683,0.99906044,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,10,OpenAlex,https://openalex.org/W2025610165,https://doi.org/10.2307/2297968,Some Tests of Specification for Panel Data: Monte Carlo Evidence and an Application to Employment Equations,1991.0,article,The Review of Economic Studies,Oxford University Press,Manuel Arellano; Stephen Bond,London School of Economics and Political Science; University of Oxford,18,32414.0,96.9025,0.99963653,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,GB,False
GPT,Econometrics,2026-04-29 11:40:00,11,OpenAlex,https://openalex.org/W1999996900,https://doi.org/10.1016/0304-4076(86)90063-1,Generalized autoregressive conditional heteroskedasticity,1986.0,article,Journal of Econometrics,Elsevier BV,Tim Bollerslev,"University of California, San Diego; Aarhus University",26,22088.0,34.2723,0.99841521,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,True,green,journal,False,English,US; DK,False
GPT,Econometrics,2026-04-29 11:40:00,12,OpenAlex,https://openalex.org/W1979575715,https://doi.org/10.2307/1912773,Autoregressive Conditional Heteroscedasticity with Estimates of the Variance of United Kingdom Inflation,1982.0,article,Econometrica,Wiley,Robert F. Engle,null/unknown,0,20455.0,39.6096,0.99963059,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,14,OpenAlex,https://openalex.org/W2117178635,https://doi.org/10.2307/1913610,"A Simple, Positive Semi-Definite, Heteroskedasticity and Autocorrelation Consistent Covariance Matrix",1987.0,article,Econometrica,Wiley,Whitney K. Newey; Kenneth D. West,Massachusetts Institute of Technology; National Bureau of Economic Research; University of Wisconsin–Madison,0,16923.0,128.2192,0.99964888,Advanced Decision-Making Techniques,Information Systems,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,15,Crossref,null/unknown,https://doi.org/10.2307/1911963,A Simple Test for Heteroscedasticity and Random Coefficient Variation,1979.0,article,Econometrica,JSTOR,T. S. Breusch; A. R. Pagan,null/unknown,0,3830.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-29 11:40:00,17,OpenAlex,https://openalex.org/W4242495845,https://doi.org/10.2307/2332391,Testing for Serial Correlation in Least Squares Regression: I,1950.0,article,Biometrika,Oxford University Press,J. Durbin; G. S. Watson,null/unknown,0,941.0,0.0,0.47699387,Advanced Statistical Methods and Models,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,18,OpenAlex,https://openalex.org/W2008878870,https://doi.org/10.1093/biomet/38.1-2.159,TESTING FOR SERIAL CORRELATION IN LEAST SQUARES REGRESSION. II,1951.0,article,Biometrika,Oxford University Press,J. Durbin; G. S. Watson,London School of Economics and Political Science; University of Cambridge,26,3626.0,4.5765,0.92808552,Physics and Engineering Research Articles,Computational Mechanics,Engineering,Physical Sciences,False,closed,journal,False,English,GB,False
GPT,Econometrics,2026-04-29 11:40:00,19,Semantic Scholar,null/unknown,null/unknown,The Generalized Method of Moments,2007.0,null/unknown,null/unknown,null/unknown,L. Slutskin,null/unknown,38,7.0,null/unknown,null/unknown,Mathematics,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-29 11:40:00,20,OpenAlex,https://openalex.org/W2165144879,https://doi.org/10.2307/2171753,Instrumental Variables Regression with Weak Instruments,1997.0,article,Econometrica,Wiley,Douglas O. Staiger; James H. Stock,Dartmouth College; National Bureau of Economic Research; Harvard University,0,7228.0,52.2217,0.99906803,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,21,OpenAlex,https://openalex.org/W205642069,null/unknown,Identification and Inference for Econometric Models: Essays in Honor of Thomas Rothenberg,2006.0,article,Quarterly Publications of the American Statistical Association,Taylor & Francis,Robert Lund,null/unknown,0,890.0,13.7654,0.98556165,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,22,Crossref,null/unknown,https://doi.org/10.1016/0304-4076(88)90063-2,Limited information estimators and exogeneity tests for simultaneous probit models,1988.0,article,Journal of Econometrics,Elsevier BV,Douglas Rivers; Quang H. Vuong,null/unknown,18,1004.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-29 11:40:00,23,Crossref,null/unknown,https://doi.org/10.1016/0304-4076(81)90060-9,Asymptotic properties of the maximum likelihood estimator in dichotomous logit models,1981.0,article,Journal of Econometrics,Elsevier BV,Christian Gourieroux; Alain Monfort,null/unknown,8,56.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Econometrics,2026-04-29 11:40:00,24,OpenAlex,https://openalex.org/W1544362532,https://doi.org/10.1007/b97478,Partial Identification of Probability Distributions,2003.0,book chapter,Springer series in statistics,Springer Science+Business Media,Charles F. Manski,Northwestern University,0,713.0,3.1258,0.94468085,Statistics Education and Methodologies,Statistics and Probability,Mathematics,Physical Sciences,False,closed,book series,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,25,OpenAlex,https://openalex.org/W2114242548,https://doi.org/10.1111/1468-0262.00183,Identification and Estimation of Treatment Effects with a Regression-Discontinuity Design,2001.0,article,Econometrica,Wiley,Jinyong Hahn; Petra Todd; Wilbert van der Klaauw,null/unknown,18,2733.0,109.5567,0.99964836,School Choice and Performance,Education,Social Sciences,Social Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,26,OpenAlex,https://openalex.org/W3122958054,https://doi.org/10.1016/j.jeconom.2007.05.001,Regression discontinuity designs: A guide to practice,2007.0,article,Journal of Econometrics,Elsevier BV,Guido W. Imbens; Thomas Lemieux,Harvard University; University of British Columbia,60,3740.0,68.4359,0.99965739,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,US; CA,False
GPT,Econometrics,2026-04-29 11:40:00,27,OpenAlex,https://openalex.org/W1537287213,https://doi.org/10.3982/ecta11757,Robust Nonparametric Confidence Intervals for Regression-Discontinuity Designs,2014.0,article,Econometrica,Wiley,Sebastián Calónico; Matias D. Cattaneo; Rocío Titiunik,University of Miami; University of Michigan; Ross School,42,2954.0,151.1153,0.99989405,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,28,OpenAlex,https://openalex.org/W2041449756,https://doi.org/10.1080/01621459.2015.1017578,Optimal Data-Driven Regression Discontinuity Plots,2015.0,article,Journal of the American Statistical Association,null/unknown,Sebastián Calónico; Matias D. Cattaneo; Rocío Titiunik,University of Miami; University of Michigan–Ann Arbor,42,461.0,37.0634,0.99882035,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,True,green,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,29,OpenAlex,https://openalex.org/W3102524825,https://doi.org/10.1257/aer.20160945,Inference in Regression Discontinuity Designs with a Discrete Running Variable,2018.0,article,American Economic Review,American Economic Association,Michal Kolesár; Christoph Rothe,Woodrow Wilson International Center for Scholars; Princeton University; University of Mannheim,29,256.0,17.5517,0.99529843,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,True,green,journal,False,English,US; DE,False
GPT,Econometrics,2026-04-29 11:40:00,30,OpenAlex,https://openalex.org/W2156839371,https://doi.org/10.3982/ecta6474,On the Failure of the Bootstrap for Matching Estimators,2008.0,article,Econometrica,Wiley,Alberto Abadie; Guido W. Imbens,John F. Kennedy University; Harvard University,41,814.0,41.2476,0.99884934,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,True,green,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,31,OpenAlex,https://openalex.org/W2080061756,https://doi.org/10.1111/1467-937x.00044,Matching As An Econometric Evaluation Estimator,1998.0,article,The Review of Economic Studies,Oxford University Press,James J. Heckman; Hidehiko Ichimura; Petra Todd,University of Chicago; University of Pittsburgh,26,3787.0,34.2883,0.99868508,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,32,OpenAlex,https://openalex.org/W2171443468,https://doi.org/10.1111/j.1468-0262.2006.00655.x,Large Sample Properties of Matching Estimators for Average Treatment Effects,2005.0,article,Econometrica,Wiley,Alberto Abadie; Guido W. Imbens,"John F. Kennedy University; Berkeley College; University of California, Berkeley",67,2903.0,56.1087,0.99967704,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,34,OpenAlex,https://openalex.org/W3124658416,https://doi.org/10.1080/01621459.1996.10476902,Identification of Causal Effects Using Instrumental Variables,1996.0,article,Journal of the American Statistical Association,null/unknown,Joshua D. Angrist; Guido W. Imbens; Donald B. Rubin,Massachusetts Institute of Technology; Harvard University Press; Harvard University,46,4163.0,19.4642,0.99540067,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,35,OpenAlex,https://openalex.org/W2114389382,https://doi.org/10.2307/2298123,Identification of Endogenous Social Effects: The Reflection Problem,1993.0,article,The Review of Economic Studies,Oxford University Press,Charles F. Manski,University of Wisconsin–Madison,29,6221.0,22.3133,0.99303367,School Choice and Performance,Education,Social Sciences,Social Sciences,False,closed,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,37,OpenAlex,https://openalex.org/W2035554302,https://doi.org/10.1016/0304-4076(94)01642-d,Another look at the instrumental variable estimation of error-components models,1995.0,article,Journal of Econometrics,Elsevier BV,Manuel Arellano; Olympia Bover,Centro de Estudios Monetarios y Financieros; Bank of Spain,20,19310.0,53.3993,0.99827479,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,ES,False
GPT,Econometrics,2026-04-29 11:40:00,38,OpenAlex,https://openalex.org/W3121403162,https://doi.org/10.1016/s0304-4076(98)00009-8,Initial conditions and moment restrictions in dynamic panel data models,1998.0,article,Journal of Econometrics,Elsevier BV,Richard Blundell; Stephen Bond,Institute for Fiscal Studies; University College London,15,21333.0,68.9493,0.99904059,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,GB,False
GPT,Econometrics,2026-04-29 11:40:00,41,OpenAlex,https://openalex.org/W2159805452,https://doi.org/10.1111/j.1467-6419.2007.00527.x,SOME PRACTICAL GUIDANCE FOR THE IMPLEMENTATION OF PROPENSITY SCORE MATCHING,2008.0,article,Journal of Economic Surveys,Wiley,Marco Caliendo; Sabine Kopeinig,IZA - Institute of Labor Economics; University of Cologne,114,6072.0,143.5879,1.0,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,DE,False
GPT,Econometrics,2026-04-29 11:40:00,42,OpenAlex,https://openalex.org/W2150291618,https://doi.org/10.1093/biomet/70.1.41,The central role of the propensity score in observational studies for causal effects,1983.0,article,Biometrika,Oxford University Press,Paul R. Rosenbaum; Donald B. Rubin,University of Wisconsin–Madison; University of Chicago,38,30581.0,17.5783,0.99613095,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,43,OpenAlex,https://openalex.org/W1982910299,https://doi.org/10.1002/sim.2739,The design <i>versus</i> the analysis of observational studies for causal effects: parallels with the design of randomized trials,2006.0,article,Statistics in Medicine,Wiley,Donald B. Rubin,Harvard University; Harvard University Press,42,1050.0,24.4,0.99768425,Advanced Causal Inference Techniques,Statistics and Probability,Mathematics,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Econometrics,2026-04-29 11:40:00,44,OpenAlex,https://openalex.org/W2124758339,null/unknown,Econometric Analysis of Cross Section and Panel Data,2001.0,book chapter,RePEc: Research Papers in Economics,Federal Reserve Bank of St. Louis,Jeffrey M. Wooldridge,null/unknown,238,28330.0,273.9342,1.0,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,repository,False,English,null/unknown,False
GPT,Econometrics,2026-04-29 11:40:00,48,OpenAlex,https://openalex.org/W2120846249,https://doi.org/10.1093/restud/rdt044,Inference on Treatment Effects after Selection among High-Dimensional Controls,2013.0,article,The Review of Economic Studies,Oxford University Press,Alexandre Belloni; Victor Chernozhukov; Christian Hansen,Duke University; Moscow Institute of Thermal Technology; University of Chicago,75,1458.0,31.9228,0.99831769,Statistical Methods and Inference,Statistics and Probability,Mathematics,Physical Sciences,False,closed,journal,False,English,US; RU,True
