system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Scopus,Econometrics,2026-04-29,1,OpenAlex,https://openalex.org/W118680148,null/unknown,Palgrave handbook of econometrics: volume 2 applied econometrics,2009.0,book chapter,null/unknown,null/unknown,Terence C. Mills; Kerry Patterson,null/unknown,22,51.0,1.7915,0.86348502,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,null/unknown,False,English,null/unknown,False
Scopus,Econometrics,2026-04-29,2,OpenAlex,https://openalex.org/W2055513985,https://doi.org/10.1017/s0266466698141014,WORLDWIDE INSTITUTIONAL RANKINGS IN ECONOMETRICS: 1989–1995,1998.0,article,Econometric Theory,Cambridge University Press,Badi H. Baltagi,Mitchell Institute; Texas A&M University,4,27.0,2.6733,0.91386349,Corruption and Economic Development,Sociology and Political Science,Social Sciences,Social Sciences,False,closed,journal,False,English,US,False
Scopus,Econometrics,2026-04-29,3,OpenAlex,https://openalex.org/W1904085123,https://doi.org/10.1080/14697688.2015.1080486,"The Basics of Financial Econometrics: Tools, Concepts, and Asset Management Applications",2015.0,article,Quantitative Finance,Taylor & Francis,K. Surekha Rao,Indiana University Northwest,7,76.0,2.0621,0.87690491,Forecasting Techniques and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,journal,False,English,US,False
Scopus,Econometrics,2026-04-29,4,OpenAlex,https://openalex.org/W2794511518,https://doi.org/10.1007/978-3-319-72745-5_42,Bibliometric Analysis of Spatial Econometrics,2018.0,book chapter,Springer proceedings in business and economics,Springer International Publishing,Jianhua Liu; Wei Li,Zhengzhou University,7,1.0,0.0,0.01463738,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,book series,False,English,CN,True
Scopus,Econometrics,2026-04-29,5,OpenAlex,https://openalex.org/W4308196498,https://doi.org/10.3390/jrfm15110510,Accounting and Econometrics: From Paweł Ciompa to Contemporary Research,2022.0,article,Journal of risk and financial management,Multidisciplinary Digital Publishing Institute,Marek Gruszczyński,SGH Warsaw School of Economics,13,3.0,0.8822,0.77789054,"Auditing, Earnings Management, Governance",Accounting,"Business, Management and Accounting",Social Sciences,True,hybrid,journal,False,English,PL,False
Scopus,Econometrics,2026-04-29,7,OpenAlex,https://openalex.org/W583473394,null/unknown,Problems and Methods of Econometrics: The Poincaré Lectures of Ragnar Frisch 1933,2009.0,book chapter,Medical Entomology and Zoology,Japan Society of Medical Entomology and Zoology,Ragnar Frisch,null/unknown,0,11.0,0.8805,0.81545168,Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,null/unknown,False
Scopus,Econometrics,2026-04-29,8,OpenAlex,https://openalex.org/W2008308320,https://doi.org/10.1016/0378-3758(95)00027-5,"Past, present and future of econometrics",1996.0,article,Journal of Statistical Planning and Inference,Elsevier BV,Arnold Zellner,University of Chicago,30,4.0,0.0,0.16561743,Forecasting Techniques and Applications,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,journal,False,English,US,False
Scopus,Econometrics,2026-04-29,9,OpenAlex,https://openalex.org/W2781880954,null/unknown,"Probability, Statistics and Econometrics",2017.0,book chapter,null/unknown,null/unknown,Oliver Linton,null/unknown,0,11.0,0.488,0.74689826,Statistics Education and Methodologies,Statistics and Probability,Mathematics,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
Scopus,Econometrics,2026-04-29,10,OpenAlex,https://openalex.org/W2807088459,https://doi.org/10.1080/00220485.2018.1464986,Integrating econometrics: A modern undergraduate economics capstone experience,2018.0,article,The Journal of Economic Education,Taylor & Francis,Brooke Conaway; Christopher Clark; Josep Arias; Jessie Folk,Georgia College & State University,25,19.0,4.1451,0.94060299,Innovations in Educational Methods,Education,Social Sciences,Social Sciences,False,closed,journal,False,English,US,False
Scopus,Econometrics,2026-04-29,11,OpenAlex,https://openalex.org/W2113318610,https://doi.org/10.1017/s0266466600004886,Worldwide Rankings of Research Activity in Econometrics: An Update: 1980–1988,1990.0,article,Econometric Theory,Cambridge University Press,Anthony Hall,Australian National University,2,24.0,1.5417,0.8788827,"Energy, Environment, Economic Growth",Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,AU,False
Scopus,Econometrics,2026-04-29,12,OpenAlex,https://openalex.org/W1618446511,null/unknown,The methodology and practice of econometrics : a festschrift in honour of David F. Hendry,2009.0,preprint,RePEc: Research Papers in Economics,Federal Reserve Bank of St. Louis,Jennifer L. Castle; Neil Shephard,null/unknown,0,123.0,null/unknown,null/unknown,Monetary Policy and Economic Impact,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",Social Sciences,False,closed,repository,False,English,null/unknown,False
Scopus,Econometrics,2026-04-29,13,OpenAlex,https://openalex.org/W1530803587,https://doi.org/10.1007/978-3-642-03383-4,Solutions Manual for Econometrics,2009.0,book chapter,null/unknown,null/unknown,Badi H. Baltagi,null/unknown,7,6.0,0.0,0.2424812,Agricultural Economics and Policy,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,False,closed,null/unknown,False,English,null/unknown,False
Scopus,Econometrics,2026-04-29,14,OpenAlex,https://openalex.org/W2608038902,https://doi.org/10.1016/b978-0-12-409548-9.09680-9,GIS and Spatial Statistics/Econometrics: An Overview,2017.0,book chapter,Elsevier eBooks,Elsevier BV,Daniel A. Griffith; Yongwan Chun,The University of Texas at Dallas,137,14.0,6.9042,0.96324142,Spatial and Panel Data Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,ebook platform,False,English,US,False
Scopus,Econometrics,2026-04-29,15,OpenAlex,https://openalex.org/W4384521315,https://doi.org/10.1002/wene.491,Application of econometrics in energy research—Empowerment from big data and machine learning,2023.0,article,Wiley Interdisciplinary Reviews Energy and Environment,Wiley,Yiyan Chen; Hooi Hooi Lean,Universiti Sains Malaysia,32,3.0,0.184,0.39802552,"Energy, Environment, and Transportation Policies","Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences,False,closed,journal,False,English,MY,True
Scopus,Econometrics,2026-04-29,17,Semantic Scholar,null/unknown,https://doi.org/10.1016/S0731-9053(08)23021-5,Bayesian econometrics: an introduction,2008.0,null/unknown,null/unknown,null/unknown,S. Chib; W. Griffiths; G. Koop; D. Terrell,null/unknown,2,0.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
