system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2171777347,https://doi.org/10.1038/nature09534,A map of human genome variation from population-scale sequencing,Nature,2010,article,Nature,Min Hu; Yuan Chen; James Stalker; Richard M. Durbin; Si Quang Le; Leopold Parts; Allison Coffey; Yujun Zhang; Jeffrey C. Barrett; Aarno Palotie; Matt E. Hurles; Harold P. Swerdlow; Carol Scott; John Burton; Chris Tyler-Smith; Sarah Lindsay; Yali Xue; Daniel Turner; Klaudia Walter; Donald F. Conrad; Quan Long; Thomas M. Keane; Tom Skelly; Daniel G. MacArthur; Luke Jostins; Senduran Balasubramaniam; Carol Churcher; Ni Huang; Anthony Cox; Michael Quail; David M. Carter; Qasim Ayub; Alison Coffey; Petr Danecek; Pardis C. Sabeti; Andrew M. Kernytsky; Heng Li; Ilya A. Shlyakhter; Carrie L. Sougnez; Aaron McKenna; Stacey B. Gabriel; Jane Wilkinson; David B. Jaffe; Eric Banks; Kiran V. Garimella; David Altshuler; Eric S. Lander; Aaron D. Ball; Toby Bloom; Ryan E. Poplin; Lauren Ambrogio; Manuel A. Rivas; Steven A. McCarroll; Joshua M. Korn; Stephen F. Schaffner; Mark A. DePristo; Tim J. Fennell; Robert E. Handsaker; James C. Nemesh; Chris Hartl; Sharon R. Grossman; Jared R. Maguire; Anthony A. Philippakis; Erica Shefler; Kristian Cibulskis; Matt Hanna; Jun Ding; Wei Chen; Paul Anderson; Matthew Snyder; Gonçalo R. Abecasis; Hyun Min Kang; Tom Blackwell; Carlo Sidore; Sebastian Zöllner; Xiaowei Zhan; Scott Kahn; Terena James; Niall Gormley; R. Keira Cheetham; Paula Kokko-Gonzales; David R. Bentley; Tony Cox; Zoya Kingsbury; Lisa Murray; Jennifer Stone; Sean Humphray; Michael Eberle; Aravinda Chakravarti; Andrew G. Clark,Wellcome Sanger Institute; Institute for Molecular Medicine Finland; Harvard University; Broad Institute; Center for Systems Biology; Cambridge Hospital; Brigham and Women's Hospital; Center for Human Genetics; Massachusetts General Hospital; Statistical Service; Illumina (United Kingdom); Johns Hopkins University; Johns Hopkins Medicine; Cornell University,51,8048.0,503.8237,1.0,Genomics and Rare Diseases,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,GB; FI; US; CY,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2168909179,https://doi.org/10.1038/35057062,Initial sequencing and analysis of the human genome,Nature,2001,article,Nature,Eric S. Lander; Lauren Linton; Bruce W. Birren; Chad Nusbaum; Michael C. Zody; Jennifer Baldwin; Keri Devon; Ken Dewar; Michael P. Doyle; William W. Fitzhugh; Roel Funke; Diane Gage; Katrina L. Harris; Andrew Heaford; John G. Howland; Lisa Kann; Jessica A. Lehoczky; R Paul Levine; Paul McEwan; Kevin McKernan; James C. Meldrim; Jill P. Mesirov; Cher Miranda; William Morris; Jerome W. Naylor; Christina Raymond; Mark Rosetti; Ralph Santos; Andrew Sheridan; Carrie Sougnez; Nicole Stange-Thomann; Nikola M. Stojanović; Aravind Subramanian; Dudley Wyman; Jane Rogers; John Sulston; R. Ainscough; Stephan Beck; David Bentley; John H. Burton; Christopher Clee; Nigel Carter; Alan Coulson; Rebecca Deadman; Panos Deloukas; Andrew Dunham; Ian Dunham; Richard Durbin; Lisa French; Darren Grafham; Simon G. Gregory; Tim Hubbard; Sean Humphray; Adrienne Hunt; Matthew C. Jones; Christine Lloyd; Amanda A. McMurray; Lucy Matthews; Simon Mercer; Sarah Milne; James C. Mullikin; Andrew J. Mungall; R. W. Plumb; Mark T. Ross; R. Shownkeen; Sarah Sims; R Waterston; Richard K. Wilson; LaDeana W. Hillier; John D. McPherson; Marco A. Marra; Elaine R. Mardis; Lucinda A. Fulton; Asif Chinwalla; Kymberlie Pepin; Warren Gish; Stephanie L. Chissoe; Michael C. Wendl; Kim D. Delehaunty; Tracie L. Miner; Andrew Delehaunty; Jason Kramer; Lisa L. Cook; Robert S. Fulton; D. Johnson; Patrick Minx; Sandra W. Clifton; Trevor Hawkins; Elbert Branscomb; Paul Predki; Paul Richardson; Sarah Wenning; Tom Slezak; Norman A. Doggett; Jan‐Fang Cheng; Anne S. Olsen; Susan Lucas; Christopher J. Elkin; Edward C. Uberbacher; M.E. Frazier,Whitehead Institute for Biomedical Research; Wellcome Sanger Institute; Washington University in St. Louis; Joint Genome Institute,460,24479.0,572.1861,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,US; GB,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2127230663,https://doi.org/10.1126/science.1058040,The Sequence of the Human Genome,American Association for the Advancement of Science,2001,article,Science,J. Craig Venter; Mark D. Adams; Eugene W. Myers; Peter W. Li; Richard Mural; Granger G. Sutton; Hamilton O. Smith; Mark Yandell; Cheryl Evans; Robert A. Holt; Jeannine D. Gocayne; Peter G. Amanatides; Richard M. Ballew; Daniel H. Huson; Jennifer R. Wortman; Qing Zhang; Chinnappa D. Kodira; Xiangqun Zheng-Bradley; Lin Chen; Marian Skupski; G. Subramanian; Paul D. Thomas; Jinghui Zhang; George L. Gabor Miklos; Catherine R. Nelson; Samuel Broder; Andrew G. Clark; Joe Nadeau; Victor A. McKusick; Norton D. Zinder; Arnold J. Levine; Richard J. Roberts; Mel I. Simon; Carolyn W. Slayman; Michael W. Hunkapiller; Randall Bolanos; Arthur L. Delcher; Ian Dew; Daniel Fasulo; Michael J. Flanigan; Liliana Florea; Aaron L. Halpern; Sridhar Hannenhalli; Saul Kravitz; Samuel Lévy; Clark Mobarry; Knut Reinert; Karin Remington; Jane Abu-Threideh; Ellen M. Beasley; Kendra Biddick; Vivien Bonazzi; Rhonda Brandon; Michele Cargill; Ishwar Chandramouliswaran; Rosane Charlab; Kabir Chaturvedi; Zuoming Deng; Valentina Di Francesco; Patrick Dunn; Karen Eilbeck; Carlos Evangelista; Andrei Gabrielian; Weiniu Gan; Wangmao Ge; Fangcheng Gong; Zhiping Gu; Ping Guan; Thomas J. Heiman; Maureen E. Higgins; Rui‐Ru Ji; Zhaoxi Ke; Karen A. Ketchum; Zhongwu Lai; Yiding Lei; Zhenya Li; Jiayin Li; Yong Liang; Xiaoying Lin; Fu Lu; Gennady V. Merkulov; Natalia V. Milshina; Helen M. Moore; Ashwinikumar K. Naik; Vaibhav A. Narayan; Beena Neelam; Deborah Nusskern; Douglas B. Rusch; Steven L. Salzberg; Wei Shao; Bixiong Chris Shue; Jing‐Tao Sun; Zhen Yuan Wang; Aihui Wang; Xin Wang; Jian Wang; Ming-Hui Wei; Ron Wides; Chunlin Xiao; Chunhua Yan,"Pacific Engineering (United States); University of California, Berkeley; Pennsylvania State University; Case Western Reserve University; Johns Hopkins University; Johns Hopkins Hospital; Rockefeller University; New England Biolabs (United States); California Institute of Technology; Yale University; Bar-Ilan University",189,13629.0,436.3835,0.99999007,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US; IL,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2096791516,https://doi.org/10.1038/nature11632,"An integrated map of genetic variation from 1,092 human genomes",Nature,2012,article,Nature,Zamin Iqbal; Andy Rimmer; Anjali Gupta-Hinch; Gil A. McVean; Peter Donnelly; Angeliki Kerasidou; Dionysia K. Xifara; Iain Mathieson; Olivier Delaneau; Gil McVean; Claire Churchhouse; Gaurav Bhatia; James C. Nemesh; Namrata Gupta; Eric Banks; Robert E. Handsaker; Khalid Shakir; Sharon R. Grossman; Heng Li; Stacey B. Gabriel; Eric S. Lander; Chris Hartl; Mark A. DePristo; Mauricio O. Carneiro; Guillermo del Angel; Stephen F. Schaffner; Steven A. McCarroll; Ryan E. Poplin; Shervin Tabrizi; Ridhi Tariyal; Giulio Genovese; David M. Altshuler; David Reich; Matthew E. Hurles; Ni Huang; Yali Xue; Thomas M. Keane; Yuan Chen; Jennifer Harrow; Aylwyn Scally; Petr Danecek; Klaudia Walter; Vincenza Colonna; James Stalker; Zemin Ning; Senduran Balasubramaniam; Shane McCarthy; Ben Blackburne; Richard Durbin; John Burton; Alison J. Coffey; Sarah J. Lindsay; Luke Jostins; Chris Tyler-Smith; Qasim Ayub; Yujun Zhang; Adam Frankish; Michael Quail; Anja Kolb-Kokocinski; Fabio Busonero; Adrian Tan; Gonçalo R. Abecasis; Jin Yu; Goo Jun; Paul Anderson; Carlo Sidore; Christian Fuchsberger; Tom Blackwell; Mary Kate Trost; Eleonora Porcu; Andrea Maschio; Zoya Kingsbury; Lisa Murray; R. Keira Cheetham; Russell Grocock; Tony Cox; Richard Shaw; Terena James; Michael Eberle; Markus Bauer; David R. Bentley; Sean Humphray; Aravinda Chakravarti; Juan L. Rodriguez-Flores; Jeremiah Degenhardt; Andrew G. Clark; Francisco M. De La Vega,Centre for Human Genetics; University of Michigan; University of Oxford; Yeshiva University; National Institutes of Health; Broad Institute; Wellcome Sanger Institute; Harvard University Press; Boston College; Harvard University; Evolutionary Genomics (United States); Center for Systems Biology; Massachusetts General Hospital; Center for Human Genetics; Institute of Genetics and Biophysics; National Research Council; University of Sassari; Institute of Genetic and Biomedical Research; University of Chester; Johns Hopkins University; Johns Hopkins Medicine; Cornell University,48,8198.0,587.0587,1.0,Genetic Associations and Epidemiology,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,GB; US; IT,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2217809488,https://doi.org/10.1038/nature04226,A haplotype map of the human genome,Nature,2005,article,Nature,null/unknown,null/unknown,105,5896.0,258.8051,1.0,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,null/unknown,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2158485828,https://doi.org/10.1038/ng.2764,The Cancer Genome Atlas Pan-Cancer analysis project,Nature,2013,article,Nature Genetics,John N. Weinstein; Eric A Collisson; Gordon B. Mills; Kenna Shaw; Brad Ozenberger; Kyle Ellrott; Ilya Shmulevich; Chris Sander; Joshua M. Stuart,"The University of Texas MD Anderson Cancer Center; University of California, San Francisco; National Cancer Institute; National Institutes of Health; National Human Genome Research Institute; University of California, Santa Cruz; Institute for Systems Biology; Memorial Sloan Kettering Cancer Center",44,9307.0,91.5751,0.99975138,Cancer Genomics and Diagnostics,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,US,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2025183726,https://doi.org/10.1038/nature07385,Comprehensive genomic characterization defines human glioblastoma genes and core pathways,Nature,2008,article,Nature,Roger E. McLendon,Duke University,51,7752.0,171.4953,1.0,Glioma Diagnosis and Treatment,Genetics,Medicine,Health Sciences,True,bronze,journal,False,English,US,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2076154138,https://doi.org/10.1038/nature14248,Integrative analysis of 111 reference human epigenomes,Nature,2015,article,Nature,Anshul Kundaje; Wouter Meuleman; Jason Ernst; Misha Bilenky; Angela Yen; Alireza Heravi‐Moussavi; Pouya Kheradpour; Zhizhuo Zhang; Jianrong Wang; Michael J. Ziller; Viren Amin; John W. Whitaker; Matthew D. Schultz; Lucas D. Ward; Abhishek Sarkar; Gerald Quon; Richard Sandstrom; Matthew L. Eaton; Yi-Chieh Wu; Andreas R. Pfenning; Xinchen Wang; Melina Claussnitzer; Yaping Liu; Cristian Coarfa; R. Alan Harris; Noam Shoresh; Charles B. Epstein; Elizabeta Gjoneska; Danny Leung; Wei Xie; R. David Hawkins; Ryan Lister; Chibo Hong; Philippe Gascard; Andrew J. Mungall; Richard A. Moore; Eric Chuah; Angela Tam; Theresa K. Canfield; R. Scott Hansen; Rajinder Kaul; Peter J. Sabo; Mukul S. Bansal; Annaïck Carles; Jesse R. Dixon; Kai-How Farh; Soheil Feizi; Rosa Karlić; Ah-Ram Kim; Ashwinikumar Kulkarni; Daofeng Li; Rebecca F. Lowdon; GiNell Elliott; Tim R. Mercer; Shane Neph; Vitor Onuchic; Paz Polak; Nisha Rajagopal; Pradipta Ray; Richard Sallari; Kyle Siebenthall; Nicholas A. Sinnott‐Armstrong; Michael Stevens; Robert E. Thurman; Jie Wu; Bo Zhang; Xin Zhou; Arthur E. Beaudet; Laurie A. Boyer; Philip L. De Jager; Peggy Farnham; Susan J. Fisher; David Haussler; Steven J.M. Jones; Wei Li; Marco A. Marra; Michael T. McManus; Shamil Sunyaev; James A. Thomson; Thea D. Tlsty; Li-Huei Tsai; Wei Wang; Robert A. Waterland; Michael Q. Zhang; Lisa H. Chadwick; B Bernstein; J Costello; Joseph R. Ecker; Martin Hirst; Alexander Meissner; Aleksandar Milosavljević; Bing Ren; J Stamatoyannopoulos; Ting Wang; Manolis Kellis,"Vassar College; Massachusetts Institute of Technology; Broad Institute; BC Cancer Agency; Canada's Michael Smith Genome Sciences Centre; Regenerative Medicine Institute; Harvard Stem Cell Institute; Baylor College of Medicine; University of California San Diego; Salk Institute for Biological Studies; Howard Hughes Medical Institute; University of Washington; McGovern Institute for Brain Research; Ludwig Cancer Research; University of California, San Francisco; UCSF Helen Diller Family Comprehensive Cancer Center; University of Washington Medical Center; University of British Columbia; University of Zagreb; The University of Texas at Dallas; Center for Systems Biology; Washington University in St. Louis; The University of Queensland; Simon Fraser University; Cold Spring Harbor Laboratory; Stony Brook University; University of Southern California; University of California, Santa Cruz; University of Wisconsin-Madison; Children's Nutrition Research Center at Baylor College of Medicine; National Institute of Environmental Health Sciences",124,7052.0,327.4905,0.99998673,Epigenetics and DNA Methylation,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,US; CA; MX; HR; AU,True
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2032247293,https://doi.org/10.1038/nature06862,Mapping and sequencing of structural variation from eight human genomes,Nature,2008,article,Nature,Jeffrey M. Kidd; Gregory M. Cooper; William F. Donahue; Hillary S. Hayden; Nick Sampas; Tina Graves; Nancy F. Hansen; Brian Teague; Can Alkan; Francesca Antonacci; Eric Haugen; Troy Zerr; N. Alice Yamada; Peter Tsang; Tera L. Newman; Eray Tüzün; Ze Cheng; Heather Ebling; Nadeem Tusneem; Robert David; Will Gillett; Karen A. Phelps; Molly Weaver; David J. Saranga; Adrianne Brand; Wei Tao; Erik Gustafson; Kevin McKernan; Lin Chen; Maika Malig; Joshua D. Smith; Joshua M. Korn; Steven A. McCarroll; David Altshuler; Daniel A. Peiffer; Michael O. Dorschner; J Stamatoyannopoulos; David A. Schwartz; Deborah A. Nickerson; James C. Mullikin; Richard K. Wilson; Laurakay Bruhn; Maynard V. Olson; Rajinder Kaul; Douglas R. Smith; Evan E. Eichler,Howard Hughes Medical Institute; University of Washington; University of Washington Medical Center; Agilent Technologies (United States); Washington University in St. Louis; National Institutes of Health; National Human Genome Research Institute; University of Wisconsin-Madison; Broad Institute; Illumina (United States),47,1149.0,71.4412,0.99975642,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Claude,Genomics,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2262414037,https://doi.org/10.1038/nature11252,Comprehensive molecular characterization of human colon and rectal cancer,Nature,2012,article,Nature,The Cancer Genome Atlas Network,null/unknown,50,8579.0,342.7299,1.0,Genetic factors in colorectal cancer,Pathology and Forensic Medicine,Medicine,Health Sciences,True,hybrid,journal,False,English,null/unknown,False
