system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4220747061,https://doi.org/10.1016/j.molp.2022.03.009,Twenty years of rice genomics research: From sequencing and functional genomics to quantitative genomics,Elsevier,2022,review,Molecular Plant,Changsheng Wang; Bin Han,Center for Excellence in Molecular Plant Sciences,330,66.0,11.5581,0.98909058,Genetic Mapping and Diversity in Plants and Animals,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,CN,True
Web of Science,Genomics,2026-04-29,Semantic Scholar,null/unknown,https://doi.org/10.1109/IWBIS.2016.7872883,Advancing public health genomics,null/unknown,2016,null/unknown,International Workshop on Big Data and Information Security,Xue Li; Xin Zhao; Mingyang Zhong,null/unknown,17,0.0,null/unknown,null/unknown,Medicine; Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4402992952,https://doi.org/10.3389/fgene.2024.1497486,Editorial: Emerging talents in human and medical genomics,Frontiers Media,2024,other,Frontiers in Genetics,Vanessa Meyer; Stephen J. Bush; Angela Botes; Mandeep Kaur,University of the Witwatersrand; Xi'an Jiaotong University,0,0.0,0.0,0.15011521,Biomedical and Engineering Education,Biomedical Engineering,Engineering,Physical Sciences,True,gold,journal,False,English,ZA; CN,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2010171244,https://doi.org/10.1111/nph.12357,Oak genomics takes off … and enters the ecological genomics era,Wiley,2013,other,New Phytologist,Christophe Plomion; Virgil Fiévet,"UMR BIOdiversity, GEnes & Communities; Université de Bordeaux; CEA CESTA",17,8.0,1.1594,0.80279863,Genetic diversity and population structure,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,FR,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4283585313,https://doi.org/10.1098/rstb.2021.0381,Is the genomics ‘cart' before the restoration ecology ‘horse'? Insights from qualitative interviews and trends from the literature,Royal Society,2022,article,Philosophical Transactions of the Royal Society B Biological Sciences,Jakki J. Mohr; Peter A. Harrison; Jessica Stanhope; Martin F. Breed,"University of Montana Western; Missoula County Public Schools; Montana Institute on Ecosystems; University of Montana; University of Tasmania; Department of Biological Sciences; Tasmanian Abalone Council (Australia); South Australia Pathology; University of Health and Allied Sciences; The University of Adelaide; Flinders University; Department of Physics, Mathematics and Informatics; Vaxine (Australia)",57,24.0,4.0753,0.93955014,Environmental DNA in Biodiversity Studies,Ecology,Environmental Science,Physical Sciences,True,bronze,journal,False,English,US; AU; RU; GH; BY,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4406209995,https://doi.org/10.1371/journal.pone.0313124,A genomics learning framework for undergraduates,Public Library of Science,2025,article,PLoS ONE,Laura K Reed; Adam J. Kleinschmit; Vincent P. Buonaccorsi; Arthur G. Hunt; Douglas L. Chalker; Jason Williams; Christopher J. Jones; Juan-Carlos Martinez-Cruzado; Anne Rosenwald,University of Alabama; University of Dubuque; Juniata College; University of Kentucky; Washington University in St. Louis; Cold Spring Harbor Laboratory; Moravian University; University of Puerto Rico-Mayaguez; Georgetown University,45,2.0,1.3603,0.78186584,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,US; PR,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2359059295,null/unknown,Content and Methods of Functional Genomics,Science Press,2000,article,PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS,Jian Zhao,null/unknown,0,1.0,0.0,0.15904538,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,null/unknown,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2891838111,https://doi.org/10.3389/fpubh.2018.00247,"The Evolution of Public Health Genomics: Exploring Its Past, Present, and Future",Frontiers Media,2018,review,Frontiers in Public Health,Caron Molster; Faye L. Bowman; Gemma A. Bilkey; Angela S. Cho; Belinda L. Burns; Kristen J. Nowak; Hugh Dawkins,Government of Western Australia Department of Health; The University of Western Australia; Harry Perkins Institute of Medical Research; Queen Elizabeth II Medical Centre; Murdoch University; Curtin University,74,77.0,5.0189,0.95739963,"Nutrition, Genetics, and Disease",Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,AU,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2754534606,https://doi.org/10.3389/fgene.2017.00093,Editorial: Genomics of Experimental Evolution,Frontiers Media,2017,other,Frontiers in Genetics,Lee F. Greer,"University of California, Irvine",18,0.0,0.0,0.11448106,Evolution and Genetic Dynamics,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3112366192,https://doi.org/10.2217/pme-2020-0093,Texas Health Educators' Practice in Basic Genomics Education and Services,Future Medicine,2020,article,Personalized Medicine,Lei‐Shih Chen; Shixi Zhao; Yu-Lyu Yeh; Tanya N. Eble; Shweta U. Dhar; Oi‐Man Kwok,Texas A&M University; University of New Mexico; Baylor College of Medicine,32,1.0,0.1802,0.63500687,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
