system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Claude,Machine Translation,2026-04-28 22:40:00,Crossref,null/unknown,https://doi.org/10.1007/978-0-387-30164-8_783,Statistical Machine Translation,Springer,2011,book chapter,Encyclopedia of Machine Learning,Miles Osborne,null/unknown,5,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2006969979,null/unknown,The mathematics of statistical machine translation: parameter estimation,null/unknown,1993,article,null/unknown,Peter F. Brown; Vincent J. Della Pietra; Stephen A. Della Pietra; Robert L. Mercer,IBM (United States),15,4124.0,32.6465,0.99801686,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2097333193,https://doi.org/10.5555/92858.92860,A statistical approach to machine translation,null/unknown,1990,article,null/unknown,Peter F. Brown; John Cocke; Stephen A. Della Pietra; Vincent J. Della Pietra; Fredrick Jelinek; John Lafferty; Robert L. Mercer; Paul S. Roossin,IBM (United States),8,1699.0,26.8768,0.99787347,Rough Sets and Fuzzy Logic,Computational Theory and Mathematics,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2156985047,https://doi.org/10.1162/089120103321337421,A Systematic Comparison of Various Statistical Alignment Models,Association for Computational Linguistics,2003,article,Computational Linguistics,Franz Josef Och; Hermann Ney,Marina Del Rey Hospital; RWTH Aachen University,39,3921.0,130.7525,0.99985397,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,US; DE,False
Claude,Machine Translation,2026-04-28 22:40:00,Semantic Scholar,null/unknown,https://doi.org/10.3115/1073083.1073135,Bleu: a Method for Automatic Evaluation of Machine Translation,null/unknown,2002,null/unknown,Annual Meeting of the Association for Computational Linguistics,Kishore Papineni; Salim Roukos; T. Ward; Wei-Jing Zhu,null/unknown,5,32806.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2146574666,https://doi.org/10.3115/1075096.1075117,Minimum error rate training in statistical machine translation,null/unknown,2003,article,null/unknown,Franz Josef Och,University of Southern California; Marina Del Rey Hospital,21,2767.0,74.511,0.99957655,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2153653739,https://doi.org/10.3115/1073445.1073462,Statistical phrase-based translation,null/unknown,2003,article,null/unknown,Philipp Koehn; Franz Josef Och; Daniel Marcu,Southern California University for Professional Studies; University of Southern California,20,3276.0,106.846,0.99978097,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2437005631,https://doi.org/10.1162/coli.2007.33.2.201,Hierarchical Phrase-Based Translation,Association for Computational Linguistics,2007,article,Computational Linguistics,David Chiang,Associated Press,44,1163.0,142.3434,0.99987492,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,US,False
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2154124206,https://doi.org/10.3115/1073083.1073133,Discriminative training and maximum entropy models for statistical machine translation,null/unknown,2001,article,null/unknown,Franz Josef Och; Hermann Ney,FH Aachen,16,1043.0,28.9137,0.99628586,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,DE,False
Claude,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W22168010,null/unknown,Europarl: A Parallel Corpus for Statistical Machine Translation,null/unknown,2005,article,null/unknown,Philipp Koehn,null/unknown,9,3109.0,84.5377,0.99966268,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
