system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2006969979,null/unknown,The mathematics of statistical machine translation: parameter estimation,null/unknown,1993,article,null/unknown,Peter F. Brown; Vincent J. Della Pietra; Stephen A. Della Pietra; Robert L. Mercer,IBM (United States),15,4124.0,32.6465,0.99801686,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
GPT,Machine Translation,2026-04-28 22:40:00,Semantic Scholar,null/unknown,https://doi.org/10.3115/1073083.1073135,Bleu: a Method for Automatic Evaluation of Machine Translation,null/unknown,2002,null/unknown,Annual Meeting of the Association for Computational Linguistics,Kishore Papineni; Salim Roukos; T. Ward; Wei-Jing Zhu,null/unknown,5,32806.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2146574666,https://doi.org/10.3115/1075096.1075117,Minimum error rate training in statistical machine translation,null/unknown,2003,article,null/unknown,Franz Josef Och,University of Southern California; Marina Del Rey Hospital,21,2767.0,74.511,0.99957655,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2161792612,https://doi.org/10.3115/1118693.1118711,"A phrase-based, joint probability model for statistical machine translation",null/unknown,2002,article,null/unknown,Daniel Marcu; William Wong,Marina Del Rey Hospital; University of Southern California,18,476.0,34.9571,0.9982731,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2153653739,https://doi.org/10.3115/1073445.1073462,Statistical phrase-based translation,null/unknown,2003,article,null/unknown,Philipp Koehn; Franz Josef Och; Daniel Marcu,Southern California University for Professional Studies; University of Southern California,20,3276.0,106.846,0.99978097,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2152263452,https://doi.org/10.3115/1219840.1219873,A hierarchical phrase-based model for statistical machine translation,null/unknown,2005,article,null/unknown,David Chiang,"University of Maryland, College Park",25,1163.0,115.1916,0.99982507,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2182833076,https://doi.org/10.1007/978-3-031-02164-0,Syntax-based Statistical Machine Translation,Morgan & Claypool Publishers,2016,book chapter,Synthesis lectures on human language technologies,Philip Williams; Rico Sennrich; Matt Post; Philipp Koehn,Johns Hopkins University,83,20.0,0.8597,0.83101494,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2112900913,https://doi.org/10.3115/1220175.1220252,Tree-to-string alignment template for statistical machine translation,null/unknown,2006,article,null/unknown,Yang Liu; Qun Liu; Shouxun Lin,Chinese Academy of Sciences,26,324.0,31.2034,0.99757338,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,CN,True
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2595715041,null/unknown,Moses: Open Source Toolkit for Statistical Machine Translation,null/unknown,2007,article,Edinburgh Research Explorer,Philipp Koehn; Hieu Hoang; Alexandra Birch; Chris Callison-Burch; Marcello Federico; Nicola Bertoldi; Brooke Cowan; Wade Shen; Christine Moran; Richard Zens; Chris Dyer; Ondřej Bojar; Alexandra Constantin; Evan Herbst,"University of Edinburgh; Moscow Institute of Thermal Technology; RWTH Aachen University; University of Maryland, College Park; Charles University; Williams College; Cornell University",0,1455.0,65.843,0.99935378,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,GB; RU; DE; US; CZ,True
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2738633406,null/unknown,Joshua: An open source toolkit for parsing-based machine translation,null/unknown,2009,article,null/unknown,Zhifei Li; Chris Callison-Burch; Chris Dyer; Juri Ganitkevitch; Sanjeev Khudanpur; Lane Schwartz; Wren Thornton; Jonathan Weese; Omar F. Zaidan,"Johns Hopkins University; University of Maryland, College Park; RWTH Aachen University; University of Minnesota; Twin Cities Orthopedics",0,80.0,25.7516,0.99658683,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US; DE,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2113788796,null/unknown,Factored Translation Models,University of Edinburgh,2007,article,Edinburgh Research Explorer (University of Edinburgh),Philipp Koehn; Hieu Hoang,null/unknown,25,509.0,63.2324,0.9993165,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,null/unknown,False
GPT,Machine Translation,2026-04-28 22:40:00,OpenAlex,https://openalex.org/W2118434577,https://doi.org/10.3115/v1/p15-1002,Addressing the Rare Word Problem in Neural Machine Translation,null/unknown,2015,article,null/unknown,Thang Luong; Ilya Sutskever; Quoc V. Le; Oriol Vinyals; Wojciech Zaremba,Stanford University; Google (United States); Stanford Medicine; New York University,22,663.0,139.2303,0.99977585,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US,False
