system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W3180521376,https://doi.org/10.1016/j.eng.2021.03.023,Progress in Machine Translation,Elsevier,2021,article,Engineering,Haifeng Wang; Hua Wu; Zhongjun He; Liang Huang; Kenneth Church,Baidu (China),214,194.0,12.8736,0.98986862,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,CN,True
Google Scholar,Machine Translation,2026-04-29,Crossref,null/unknown,https://doi.org/10.1007/978-0-387-30164-8_783,Statistical Machine Translation,Springer,2011,book chapter,Encyclopedia of Machine Learning,Miles Osborne,null/unknown,5,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Machine Translation,2026-04-29,Semantic Scholar,null/unknown,https://doi.org/10.1613/JAIR.1.12007,Neural Machine Translation: A Review,null/unknown,2019,null/unknown,Journal of Artificial Intelligence Research,Felix Stahlberg,null/unknown,648,411.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Machine Translation,2026-04-29,Crossref,null/unknown,https://doi.org/10.1007/978-981-10-3635-4,Machine Translation,Springer,2016,book chapter,Communications in Computer and Information Science,null/unknown,null/unknown,0,0.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W1553828747,https://doi.org/10.1016/b978-0-08-042580-1.50066-0,Machine Translation: A Brief History,Elsevier,1995,book chapter,Elsevier eBooks,W. John Hutchins,null/unknown,26,160.0,0.0,0.15910165,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,ebook platform,False,English,null/unknown,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2097333193,https://doi.org/10.5555/92858.92860,A statistical approach to machine translation,null/unknown,1990,article,null/unknown,Peter F. Brown; John Cocke; Stephen A. Della Pietra; Vincent J. Della Pietra; Fredrick Jelinek; John Lafferty; Robert L. Mercer; Paul S. Roossin,IBM (United States),8,1699.0,26.8768,0.99787347,Rough Sets and Fuzzy Logic,Computational Theory and Mathematics,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2525778437,https://doi.org/10.48550/arxiv.1609.08144,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,Cornell University,2016,preprint,arXiv,Yonghui Wu; Mike Schuster; Zhifeng Chen; Quoc V. Le; Mohammad Norouzi; Wolfgang Macherey; Maxim Krikun; Yuan Cao; Qin Gao; Klaus Macherey; Jeff Klingner; Apurva Shah; Melvin Johnson; Xiaobing Liu; Łukasz Kaiser; Stephan Gouws; Yoshikiyo Kato; Taku Kudo; Hideto Kazawa; Keith Stevens; George Thomas Kurian; Nishant Patil; Wei Wang; Cliff Young; Jason Smith; Jason Riesa; Alex Rudnick; Oriol Vinyals; Greg S. Corrado; Macduff Hughes; Jay B. Dean,null/unknown,4,5654.0,null/unknown,null/unknown,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,null/unknown,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W1489409710,https://doi.org/10.21236/ada453509,Evaluation of Machine Translation and its Evaluation,null/unknown,2006,report,null/unknown,Joseph Turian; Luke Shea; I. Dan Melamed,New York University,9,253.0,null/unknown,null/unknown,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Google Scholar,Machine Translation,2026-04-29,Semantic Scholar,null/unknown,null/unknown,Approaches to machine translation,null/unknown,2010,null/unknown,null/unknown,S. Tripathi; J. Sarkhel,null/unknown,21,100.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2546938941,https://doi.org/10.48550/arxiv.1611.00179,Dual Learning for Machine Translation,Cornell University,2016,preprint,arXiv,Yingce Xia; Di He; Tao Qin; Liwei Wang; Nenghai Yu; Tie‐Yan Liu; Wei‐Ying Ma,Peking University; Microsoft Research Asia (China); University of Science and Technology of China; Microsoft Research (United Kingdom),14,599.0,null/unknown,null/unknown,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,CN; GB,True
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2494533246,https://doi.org/10.1075/hts.1.mac1,Machine translation today,John Benjamins Publishing Company,2010,book chapter,Handbook of translation studies,Mikel L. Forcada,Dublin City University,24,31.0,0.2828,0.61266152,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,IE,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2291187241,https://doi.org/10.13140/rg.2.2.12055.38561,Machine Translation Approaches: Issues and Challenges,null/unknown,2024,article,null/unknown,Margaret Dumebi Okpor,null/unknown,10,77.0,5.8193,0.9645324,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,null/unknown,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W1964728295,null/unknown,"Machine Translation: Past, Present, Future",Japan Society of Medical Entomology and Zoology,1986,book chapter,Medical Entomology and Zoology,W. John Hutchins,University of East Anglia,0,269.0,3.0484,0.94391245,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,GB,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2375930603,null/unknown,Theoretical Overview of Machine translation,null/unknown,2012,article,null/unknown,Mohamed Amine Chéragui,null/unknown,24,44.0,1.7687,0.87702228,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W4360584537,https://doi.org/10.2139/ssrn.4390455,Towards Making the Most of ChatGPT for Machine Translation,RELX Group (Netherlands),2023,article,SSRN Electronic Journal,Keqin Peng; Liang Ding; Qihuang Zhong; Li Shen; Xuebo Liu; Min Zhang; Yuanxin Ouyang; Dacheng Tao,Beihang University; Jingdong (China); École de management de Lyon; Harbin Institute of Technology,0,100.0,null/unknown,null/unknown,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,CN; FR,True
Google Scholar,Machine Translation,2026-04-29,Semantic Scholar,null/unknown,null/unknown,The LRC Machine Translation System,null/unknown,1985,null/unknown,International Conference on Computational Logic,W. S. Bennett; Jonathan Slocum,null/unknown,23,95.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2793348910,https://doi.org/10.48550/arxiv.1803.07416,Tensor2Tensor for Neural Machine Translation,Cornell University,2018,preprint,arXiv,Ashish Vaswani; Samy Bengio; Eugene Brevdo; François Chollet; Aidan N. Gomez; Stephan Gouws; Llion Jones; Łukasz Kaiser; Nal Kalchbrenner; Niki Parmar; Ryan Sepassi; Noam Shazeer; Jakob Uszkoreit,Google (United States),17,14.0,null/unknown,null/unknown,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2133564696,https://doi.org/10.48550/arxiv.1409.0473,Neural Machine Translation by Jointly Learning to Align and Translate,Cornell University,2014,preprint,arXiv,Dzmitry Bahdanau,Constructor University,22,14596.0,null/unknown,null/unknown,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,DE,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2945415576,https://doi.org/10.1145/3406095,A Survey of Multilingual Neural Machine Translation,Association for Computing Machinery,2020,article,ACM Computing Surveys,Raj Dabre; Chenhui Chu; Anoop Kunchukuttan,National Institute of Information and Communications Technology; Osaka University; Microsoft (India),74,10.0,1.0873,0.8209564,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid,journal,False,English,JP; IN,True
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W3087874881,null/unknown,Machine Translation: A View from the Lexicon,Université Paris-Sud,1994,article,The COCOON platform (University of Paris),Daniel Radzinski,null/unknown,3,37.0,2.1805,0.89898076,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,repository,False,English,null/unknown,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W1756864244,null/unknown,"A survey of machine translation: its history, current status, and future prospects",Université Paris-Sud,1985,article,The COCOON platform (University of Paris),Jonathan Slocum,null/unknown,21,131.0,21.6995,0.99403302,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,repository,False,English,null/unknown,False
Google Scholar,Machine Translation,2026-04-29,OpenAlex,https://openalex.org/W2806311723,https://doi.org/10.18653/v1/w18-6301,Scaling Neural Machine Translation,null/unknown,2018,preprint,null/unknown,Myle Ott; Sergey Edunov; David Grangier; Michael Auli,Google (United States); Meta (Israel); Meta (United States),28,80.0,12.3785,0.98794244,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,US; IL,False
