system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Scopus,Machine Translation,2026-04-29,1,OpenAlex,https://openalex.org/W1987420971,https://doi.org/10.4028/www.scientific.net/amm.687-691.1691,Advances of Key Technology for Machine Translation and its Applications,2014.0,article,Applied Mechanics and Materials,Trans Tech Publications,Li Ping,Zhengzhou Normal University,3,0.0,0.0,0.06082743,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Scopus,Machine Translation,2026-04-29,2,OpenAlex,https://openalex.org/W4408359165,https://doi.org/10.1109/icses63760.2024.10910801,"Enhancing Machine Translation: Cross-Approach Evaluation and Optimization of RBMT, SMT, and NMT Techniques",2024.0,article,null/unknown,null/unknown,D. I. De Silva; D. G. P. Hansadi,Sri Lanka Institute of Information Technology,19,1.0,0.3637,0.71455692,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,LK,True
Scopus,Machine Translation,2026-04-29,3,OpenAlex,https://openalex.org/W4388052519,https://doi.org/10.1007/978-981-99-7894-6_2,HW-TSC’s Neural Machine Translation System for CCMT 2023,2023.0,book chapter,Communications in computer and information science,Springer Science+Business Media,Zhanglin Wu; Zhengzhe Yu; Zongyao Li; Daimeng Wei; Yuhao Xie; Xiaoyu Chen; Hengchao Shang; Jiaxin Guo; Zhiqiang Rao; Shaojun Li; Song peng; Lizhi Lei; Hao Yang; Yanfei Jiang,Huawei Technologies (China),31,1.0,0.5222,0.70028271,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,CN,True
Scopus,Machine Translation,2026-04-29,4,OpenAlex,https://openalex.org/W4321512547,https://doi.org/10.1109/icnisc57059.2022.00045,Comparison between Human Translation and Machine Translation in Translating the Publicity Text of Haihunhou Museum,2022.0,article,null/unknown,null/unknown,Hong Zhang,Nanchang Institute of Technology; Nanchang Institute of Science & Technology,0,1.0,0.1326,0.5592192,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Scopus,Machine Translation,2026-04-29,5,OpenAlex,https://openalex.org/W4362495644,https://doi.org/10.1117/12.2673450,Research on machine analogy translation technology based on machine learning,2023.0,article,null/unknown,null/unknown,Siyu Zhuang; Yingyi Cai,South China Normal University,16,0.0,0.0,0.02810762,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Scopus,Machine Translation,2026-04-29,6,Semantic Scholar,null/unknown,https://doi.org/10.1117/12.2639850,Research on English translation technology based on machine learning,2022.0,null/unknown,Other Conferences,null/unknown,Dandan Song,null/unknown,7,0.0,null/unknown,null/unknown,Engineering,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Scopus,Machine Translation,2026-04-29,7,OpenAlex,https://openalex.org/W4290079452,https://doi.org/10.1155/2022/7428563,Artificial Intelligence-based Machine English-Assisted Translation in the Internet of Things Environment,2022.0,article,Computational Intelligence and Neuroscience,Hindawi Publishing Corporation,Wanfang Zhang; Yuan Tang,Wuhan Polytechnic University; Jiaxing University,32,7.0,0.5722,0.6046731,Medical Imaging and Analysis,Biomedical Engineering,Engineering,Physical Sciences,True,hybrid,journal,True,English,CN,True
Scopus,Machine Translation,2026-04-29,8,OpenAlex,https://openalex.org/W4391093615,https://doi.org/10.1109/easct59475.2023.10392488,Application of Artificial Intelligence in Machine-Assisted Translation Systems,2023.0,article,null/unknown,null/unknown,Meilin Huang,Guangzhou Xinhua University; Anhui Xinhua University,17,2.0,0.3491,0.67884687,Artificial Intelligence Applications,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Scopus,Machine Translation,2026-04-29,9,OpenAlex,https://openalex.org/W3180521376,https://doi.org/10.1016/j.eng.2021.03.023,Progress in Machine Translation,2021.0,article,Engineering,Elsevier BV,Haifeng Wang; Hua Wu; Zhongjun He; Liang Huang; Kenneth Church,Baidu (China),214,194.0,12.8736,0.98986862,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,CN,True
Scopus,Machine Translation,2026-04-29,11,OpenAlex,https://openalex.org/W4386735017,https://doi.org/10.1155/2023/9898413,Retracted: The Relationship between Machine Translation and Human Translation under the Influence of Artificial Intelligence Machine Translation,2023.0,article,Mobile Information Systems,IOS Press,Mobile Information Systems,null/unknown,1,1.0,1.6093,0.8445255,Translation Studies and Practices,Language and Linguistics,Arts and Humanities,Social Sciences,True,hybrid,journal,True,English,null/unknown,False
