system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Google Scholar,Natural Language Processing,2026-04-29,1,Crossref,null/unknown,https://doi.org/10.1007/978-3-031-09108-7_7,Natural Language Processing,2022.0,book chapter,Cognitive Informatics in Biomedicine and Healthcare,Springer International Publishing,Hua Xu; Kirk Roberts,null/unknown,85,0.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Natural Language Processing,2026-04-29,2,OpenAlex,https://openalex.org/W2169818249,https://doi.org/10.1136/amiajnl-2011-000464,Natural language processing: an introduction,2011.0,review,Journal of the American Medical Informatics Association,Oxford University Press,Prakash M. Nadkarni; Lucila Ohno‐Machado; Wendy W. Chapman,"Yale University; University of California, San Diego; La Jolla Alcohol Research",82,1952.0,96.7235,0.99965282,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,US,False
Google Scholar,Natural Language Processing,2026-04-29,3,OpenAlex,https://openalex.org/W1663984431,https://doi.org/10.1126/science.aaa8685,Advances in natural language processing,2015.0,review,Science,American Association for the Advancement of Science,Julia Hirschberg; Christopher D. Manning,Columbia University; Stanford University,60,1673.0,70.802,0.99921222,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
Google Scholar,Natural Language Processing,2026-04-29,4,Crossref,null/unknown,https://doi.org/10.46632/rmc/1/1/014,An Introduction Natural Language Processing,2019.0,article,Recent trends in Management and Commerce,REST Publisher,null/unknown,null/unknown,0,2.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Natural Language Processing,2026-04-29,5,OpenAlex,https://openalex.org/W2747680751,https://doi.org/10.1007/s11042-022-13428-4,"Natural language processing: state of the art, current trends and challenges",2022.0,article,Multimedia Tools and Applications,Springer Science+Business Media,Diksha Khurana; Aditya Koli; Kiran Khatter; Sukhdev Singh,Manav Rachna International Institute of Research and Studies; BML Munjal University,146,1681.0,208.9091,0.99996936,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,IN,True
Google Scholar,Natural Language Processing,2026-04-29,6,OpenAlex,https://openalex.org/W2145946200,https://doi.org/10.1007/978-0-585-35958-8_1,Natural Language Processing: A Historical Review,1994.0,review,null/unknown,null/unknown,Karen Spärck Jones,University of Cambridge,41,144.0,0.9474,0.74410945,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,GB,False
Google Scholar,Natural Language Processing,2026-04-29,7,Semantic Scholar,null/unknown,null/unknown,REVIEW ON NATURAL LANGUAGE PROCESSING,2013.0,null/unknown,null/unknown,null/unknown,A. Reshamwala; Dhirendra S. Mishra; Prajakta S. Pawar,null/unknown,7,5.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Google Scholar,Natural Language Processing,2026-04-29,9,OpenAlex,https://openalex.org/W1544548656,null/unknown,Natural language processing : a Paninian perspective,1996.0,book chapter,Medical Entomology and Zoology,Japan Society of Medical Entomology and Zoology,Akshar Bharati; Vineet Chaitanya; Rajeev Sangal; K.V. Ramakrishnamacharyulu,null/unknown,0,267.0,0.3761,0.74320771,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,null/unknown,False
Google Scholar,Natural Language Processing,2026-04-29,12,OpenAlex,https://openalex.org/W1574901103,null/unknown,Foundations of statistical natural language processing,1999.0,book chapter,null/unknown,null/unknown,Christopher D. Manning; Hinrich Schütze,Stanford University; Palo Alto Research Center,9,9992.0,null/unknown,null/unknown,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Google Scholar,Natural Language Processing,2026-04-29,13,OpenAlex,https://openalex.org/W1410460,https://doi.org/10.1201/9781420085938,Handbook of Natural Language Processing,2010.0,book chapter,null/unknown,null/unknown,Nitin Indurkhya; Fred J. Damerau,UNSW Sydney,0,1084.0,25.151,0.99667616,Cognitive Computing and Networks,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,AU,False
