system,query word,query datetime,rank,dataset,openalex id,doi,title,year,type,publication venue,publisher,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Scopus,Natural Language Processing,2026-04-29,1,OpenAlex,https://openalex.org/W4404057818,https://doi.org/10.1063/5.0230441,"Natural Language Processing (NLP): Advancements, applications, and challenges",2024.0,article,AIP conference proceedings,American Institute of Physics,Sibu Skaria; Prajwal Krishna; K Anagha; Savio K. James; Vinsa Nargeese,Kerala School of Mathematics,12,2.0,0.6726,0.76243389,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,IN,True
Scopus,Natural Language Processing,2026-04-29,2,Crossref,null/unknown,https://doi.org/10.1002/9781394272464.ch17,Automated Query Processing Using Natural Language Processing,2025.0,other,Natural Language Processing for Software Engineering,Wiley,Divyanshu Sinha; G. Ravivarman; B. Rajalakshmi; V. Alekhya; Rajeev Sobti; R. Udhayakumar,null/unknown,20,0.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Scopus,Natural Language Processing,2026-04-29,3,OpenAlex,https://openalex.org/W2116043029,https://doi.org/10.1360/jos161853,Summarization of Results of Program Funded by NSFC in the Field of Natural Language Processing in Recent Years,2005.0,article,Journal of Software,Science Press,Lin Xu,National Natural Science Foundation of China,7,8.0,2.1937,0.89246178,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Scopus,Natural Language Processing,2026-04-29,4,OpenAlex,https://openalex.org/W4327642278,https://doi.org/10.1109/ceccc56460.2022.10069077,A Review of Natural Language Processing Technology for Chinese Language and Literature,2022.0,review,null/unknown,null/unknown,Lingbin Zeng; Jingwen Su; Cheng Yang; Yue Qian,National University of Defense Technology; Nanjing University; Nanjing University of Chinese Medicine,15,7.0,0.9283,0.79501201,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Scopus,Natural Language Processing,2026-04-29,5,OpenAlex,https://openalex.org/W3214183504,https://doi.org/10.1109/iciscae52414.2021.9590737,Natural language processing and information retrieval system based on BP neural network,2021.0,article,null/unknown,null/unknown,Zeyang Zheng,Hebei University of Technology,0,1.0,0.136,0.56704315,Advanced Computational Techniques and Applications,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Scopus,Natural Language Processing,2026-04-29,6,OpenAlex,https://openalex.org/W1878813,https://doi.org/10.1139/m91-053,A Remark on Natural Language Processing from the Biolinguistic Perspective,2007.0,article,"New Trends in Software Methodologies, Tools and Techniques",null/unknown,Anna Maria Di Sciullo,Université du Québec à Montréal,27,0.0,0.0,0.00203528,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,CA,False
Scopus,Natural Language Processing,2026-04-29,7,OpenAlex,https://openalex.org/W3126635949,https://doi.org/10.1007/978-981-15-8599-9_55,Research on Transfer Learning Technology in Natural Language Processing,2021.0,book chapter,Lecture notes in electrical engineering,Springer Science+Business Media,Ruilin Shen; Weimin Pan,Xinjiang Normal University,16,1.0,0.3585,0.5089226,Domain Adaptation and Few-Shot Learning,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,CN,True
Scopus,Natural Language Processing,2026-04-29,8,OpenAlex,https://openalex.org/W1928971333,null/unknown,Natural language processing Laboratory Plan: An essential for Persian language,2010.0,article,International Conference on Networked Computing,null/unknown,Mohammad Azadnia; Sina Rezagholizadeh; Alireza Yari,ICT Research Institute; Institute for Advanced Studies in Basic Sciences,4,1.0,0.0,0.17446271,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,IR,True
Scopus,Natural Language Processing,2026-04-29,9,OpenAlex,https://openalex.org/W3212549809,https://doi.org/10.7544/issn1000-1239.2021.20210304,"Survey of Adversarial Attack, Defense and Robustness Analysis for Natural Language Processing",2021.0,article,null/unknown,null/unknown,Zheng Haibin; Jinyin Chen; Yan Zhang; Xuhong Zhang; Chunpeng Ge; Zhe Liu; Ouyang Yike; Shouling Ji,null/unknown,0,3.0,0.4199,0.70536619,Adversarial Robustness in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
Scopus,Natural Language Processing,2026-04-29,10,OpenAlex,https://openalex.org/W4253886898,https://doi.org/10.1109/icise-ie53922.2021.00088,Natural Language Processing Subject Organizing by TTD Model Based on Stepwise Refinement Framework,2021.0,article,2021 2nd International Conference on Information Science and Education (ICISE-IE),null/unknown,Honglin Wu; Ke Wang,Northeastern University,0,4.0,1.1345,0.80237601,Educational Technology and Assessment,Information Systems,Computer Science,Physical Sciences,False,closed,conference,False,English,CN,True
