system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W1878813,https://doi.org/10.1139/m91-053,A Remark on Natural Language Processing from the Biolinguistic Perspective,null/unknown,2007,article,"New Trends in Software Methodologies, Tools and Techniques",Anna Maria Di Sciullo,Université du Québec à Montréal,27,0.0,0.0,0.00203528,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,CA,False
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W4327642278,https://doi.org/10.1109/ceccc56460.2022.10069077,A Review of Natural Language Processing Technology for Chinese Language and Literature,null/unknown,2022,review,null/unknown,Lingbin Zeng; Jingwen Su; Cheng Yang; Yue Qian,National University of Defense Technology; Nanjing University; Nanjing University of Chinese Medicine,15,7.0,0.9283,0.79501201,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W2133802680,https://doi.org/10.4028/www.scientific.net/amm.380-384.2614,Application of Natural Language Processing for Information Retrieval,Trans Tech Publications,2013,article,Applied Mechanics and Materials,Su Mei Xi,Polytechnic University,13,6.0,0.0,0.20221541,Web Data Mining and Analysis,Information Systems,Computer Science,Physical Sciences,False,closed,journal,False,English,JP,False
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W4408040033,https://doi.org/10.1017/nlp.2024.34,Preface: Special issue on Natural Language Processing applications for low-resource languages,Cambridge University Press,2025,article,Natural language processing.,Partha Pakray; Alexander Gelbukh; Sivaji Bandyopadhyay,National Institute Of Technology Silchar; Instituto Politécnico Nacional; Jadavpur University,0,0.0,0.0,0.01387228,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid,journal,False,English,IN; MX,True
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W3194558340,https://doi.org/10.1145/3447548.3469460,PLP 2021: Workshop on Programming Language Processing,null/unknown,2021,article,null/unknown,Chang Xu; Siqi Ma; David Lo,University of Sydney; University of Queensland; Singapore Management University,0,1.0,0.0,0.17007959,Software Engineering Research,Information Systems,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,AU; SG,False
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W2901497874,https://doi.org/10.1109/icmcce.2018.00112,On Application of Natural Language Processing in Machine Translation,null/unknown,2018,article,"2018 3rd International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",Zhaorong Zong; Changchun Hong,Huangshan University,3,53.0,1.5664,0.88534279,Natural Language Processing Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,CN,True
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W3009480083,https://doi.org/10.1007/978-3-030-42520-3_8,Deep Learning Methods in Natural Language Processing,Springer,2020,book chapter,Communications in computer and information science,Alexis Stalin Alulema Flores,Schlumberger (United States); University of New Mexico,3,4.0,1.6487,0.80411165,Advanced Data Processing Techniques,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,book series,False,English,US,False
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W4285146880,https://doi.org/10.1007/978-3-031-08740-0_12,"Processing Natural Language with Biomolecules: Where Linguistics, Biology and Computation Meet",Springer,2022,book chapter,Lecture Notes in Computer Science,M. Dolores Jiménez‐López,Universitat Rovira i Virgili,38,1.0,0.4998,0.58502932,DNA and Biological Computing,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,book series,False,English,ES,False
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W3208772014,https://doi.org/10.1117/12.2604371,A review of natural language processing for financial technology,null/unknown,2021,review,null/unknown,Ruizhuo Gao; Zeqi Zhang; Zhenning Shi; Dan Xu; Weijuan Zhang; Dewei Zhu,"Hohai University; California State University, Fullerton; Jiangsu University of Science and Technology",130,15.0,1.0766,0.79184725,Stock Market Forecasting Methods,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,null/unknown,False,English,CN; US,True
Web of Science,Natural Language Processing,2026-04-29,OpenAlex,https://openalex.org/W2395503491,https://doi.org/10.3233/978-1-60750-959-2-130,ASKNet: Leveraging Bio-Cognitive Models in Natural Language Processing,null/unknown,2011,book chapter,Frontiers in artificial intelligence and applications,Harrington Brian,null/unknown,7,0.0,0.0,0.21455066,Topic Modeling,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,null/unknown,False
