system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W4214717370,https://doi.org/10.1109/tnn.1998.712192,Reinforcement Learning: An Introduction,Institute of Electrical and Electronics Engineers,1998.0,article,IEEE Transactions on Neural Networks,Richard S. Sutton; Andy Barto,null/unknown,0,26897.0,124.2624,0.99978694,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W3139377883,null/unknown,On-line Q-learning Using Connectionist Systems,null/unknown,1994.0,article,null/unknown,G. A. Rummery,null/unknown,0,1499.0,22.3559,0.99351026,Online and Blended Learning,Education,Social Sciences,Social Sciences,False,closed,null/unknown,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2119717200,https://doi.org/10.1007/bf00992696,Simple statistical gradient-following algorithms for connectionist reinforcement learning,Springer,1992.0,article,Machine Learning,Ronald J. Williams,Northeastern University,41,7430.0,14.5083,0.98926367,Evolutionary Algorithms and Applications,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,Semantic Scholar,null/unknown,https://doi.org/10.1007/BF00993104,Prioritized sweeping: Reinforcement learning with less data and less time,null/unknown,2004.0,null/unknown,Machine-mediated learning,A. Moore; C. Atkeson,null/unknown,28,605.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W32403112,https://doi.org/10.1007/bf00992698,Q-learning,Springer,1992.0,article,Machine Learning,Christopher J. Watkins; Peter Dayan,The FRAM Centre; University of Edinburgh,14,8935.0,19.5304,0.99330609,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,NO; GB,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W3011120880,null/unknown,Learning from delayed rewards,Institut de l'Information Scientifique et Technique,1989.0,article,OpenGrey (Institut de l'Information Scientifique et Technique),Chris Watkins,null/unknown,0,5471.0,37.0543,0.99816136,Intelligent Tutoring Systems and Adaptive Learning,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,repository,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2100677568,https://doi.org/10.1023/a:1022633531479,Learning to Predict by the Methods of Temporal Differences,Springer,1988.0,article,Machine Learning,Richard S. Sutton,null/unknown,50,3928.0,60.579,0.99922444,Evolutionary Algorithms and Applications,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2131600418,https://doi.org/10.1145/203330.203343,Temporal difference learning and TD-Gammon,Association for Computing Machinery,1995.0,article,Communications of the ACM,Gerald Tesauro,IBM Research - Thomas J. Watson Research Center,7,1479.0,25.9424,0.99616858,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,journal,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1576452626,https://doi.org/10.1007/978-1-4419-1428-6_5086,Neuro-dynamic Programming,null/unknown,2012.0,book chapter,null/unknown,null/unknown,null/unknown,0,3633.0,396.7398,1.0,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,False,closed,null/unknown,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2155027007,null/unknown,Policy Gradient Methods for Reinforcement Learning with Function Approximation,null/unknown,1999.0,article,null/unknown,Richard S. Sutton; David McAllester; Satinder Singh; Yishay Mansour,AT&T (United States),18,4964.0,26.5526,0.99642746,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2156737235,null/unknown,Actor-critic algorithms,Massachusetts Institute of Technology,2002.0,book chapter,DSpace@MIT (Massachusetts Institute of Technology),Vijay R. Konda; John N. Tsitsiklis,Massachusetts Institute of Technology,17,1818.0,8.2288,0.97653959,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2586680856,null/unknown,FOR LEAST-SQUARES POLICY ITERATION,null/unknown,2016.0,article,null/unknown,Devin Schwab,null/unknown,13,374.0,26.7184,0.99765745,Advanced Control Systems Optimization,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1601974704,https://doi.org/10.48550/arxiv.1301.3878,PEGASUS: A Policy Search Method for Large MDPs and POMDPs,Cornell University,2013.0,article,arXiv,Andrew Y. Ng; Michael I. Jordan,"University of California, Berkeley",17,369.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2236244207,https://doi.org/10.1561/2200000049,Bayesian Reinforcement Learning: A Survey,Now Publishers,2015.0,article,Foundations and Trends® in Machine Learning,Mohammed Ghavamzadeh; Shie Mannor; Joëlle Pineau; Aviv Tamar,"Adobe Systems (United States); Institut national de recherche en sciences et technologies du numérique; Technion - Israel Institute of Technology; McGill University; University of California, Berkeley",143,211.0,11.5775,0.98441841,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,journal,False,English,US; FR; IL; CA,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2073384958,https://doi.org/10.1007/978-3-031-01551-9,Algorithms for Reinforcement Learning,Morgan & Claypool Publishers,2010.0,book chapter,Synthesis lectures on artificial intelligence and machine learning,Csaba Szepesvári,University of Alberta,210,750.0,54.64,0.99948206,Advanced Bandit Algorithms Research,Management Science and Operations Research,Decision Sciences,Social Sciences,True,bronze,journal,False,English,CA,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2100752967,https://doi.org/10.1109/adprl.2009.4927542,A theoretical and empirical analysis of Expected Sarsa,null/unknown,2009.0,article,null/unknown,Harm van Seijen; Hado van Hasselt; Shimon Whiteson; Marco Wiering,Ministry of Defence; Utrecht University; University of Amsterdam; University of Groningen,17,199.0,1.8112,0.87705765,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,NL,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1514587017,null/unknown,Eligibility Traces for Off-Policy Policy Evaluation,University of Massachusetts Amherst,2000.0,article,Scholarworks (University of Massachusetts Amherst),Doina Precup; Richard S. Sutton; Satinder Singh,University of Massachusetts Amherst; AT&T (United States),10,459.0,3.7197,0.92932738,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W779665318,https://doi.org/10.48550/arxiv.1507.01569,Emphatic Temporal-Difference Learning,Cornell University,2015.0,preprint,arXiv,Ashique Rupam Mahmood; Huizhen Yu; Martha White; Richard S. Sutton,null/unknown,19,21.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2115211925,null/unknown,Double Q-learning,null/unknown,2010.0,article,Neural Information Processing Systems,Hado van Hasselt,Centrum Wiskunde & Informatica,24,393.0,3.6608,0.93584071,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,NL,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2473364827,https://doi.org/10.7939/r30q50,Gradient Temporal-Difference Learning Algorithms,null/unknown,2011.0,article,University of Alberta Library,"Maei, Hamid Reza",University of Alberta,52,121.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,CA,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2188892596,https://doi.org/10.13140/2.1.1456.2568,True Online TD(λ),null/unknown,2014.0,article,null/unknown,"Richard S. Sutton; Seijen, Harm Van",University of Alberta,10,34.0,8.4872,0.97710677,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,null/unknown,False,English,CA,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W3134469931,https://doi.org/10.1007/s10462-022-10228-y,Monte Carlo Tree Search: a review of recent modifications and applications,Springer,2022.0,review,Artificial Intelligence Review,Maciej Świechowski; Konrad Godlewski; Bartosz Sawicki; Jacek Mańdziuk,Warsaw University of Technology; AGH University of Krakow,232,39.0,4.1619,0.94543811,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid,journal,False,English,PL,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2168405694,https://doi.org/10.1023/a:1013689704352,Finite-time Analysis of the Multiarmed Bandit Problem,Springer,2002.0,article,Machine Learning,Peter Auer; Nicolò Cesa‐Bianchi; Paul Fischer,Graz University of Technology; University of Milan; TU Dortmund University,20,5765.0,5.5551,0.9596947,Advanced Bandit Algorithms Research,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,journal,False,English,AT; IT; DE,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1850488217,null/unknown,Near-optimal Regret Bounds for Reinforcement Learning,null/unknown,2010.0,article,null/unknown,Thomas Jaksch; Ronald Ortner; Peter Auer,null/unknown,26,711.0,39.0979,0.99908243,Advanced Bandit Algorithms Research,Management Science and Operations Research,Decision Sciences,Social Sciences,False,closed,null/unknown,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2129670787,https://doi.org/10.1145/1143844.1143955,PAC model-free reinforcement learning,null/unknown,2006.0,article,null/unknown,Alexander L. Strehl; Lihong Li; Eric Wiewiora; John Langford; Michael L. Littman,"Rutgers, The State University of New Jersey; University of California, San Diego; Toyota Technological Institute at Chicago",11,412.0,10.7099,0.98250439,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,Semantic Scholar,null/unknown,https://doi.org/10.1023/A:1017984413808,Near-Optimal Reinforcement Learning in Polynomial Time,null/unknown,2002.0,null/unknown,Machine-mediated learning,Michael Kearns; Satinder Singh,null/unknown,36,1205.0,null/unknown,null/unknown,Computer Science; Mathematics,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2161966552,null/unknown,R-MAX: a general polynomial time algorithm for near-optimal reinforcement learning,null/unknown,2001.0,article,null/unknown,Ronen I. Brafman; Moshe Tennenholtz,Ben-Gurion University of the Negev; Technion - Israel Institute of Technology; Stanford University,18,352.0,8.7383,0.97535719,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,IL; US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W107583932,null/unknown,On the Sample Complexity of Reinforcement Learning,Institut de l'Information Scientifique et Technique,2003.0,dissertation,OpenGrey (Institut de l'Information Scientifique et Technique),Sham M. Kakade,null/unknown,63,509.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,repository,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1591803298,null/unknown,Bayesian Q-learning,null/unknown,1998.0,article,null/unknown,Richard Dearden; Nir Friedman; Stuart Russell,null/unknown,16,321.0,3.2964,0.9229622,Machine Learning and Algorithms,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2327833721,https://doi.org/10.2307/1426080,Bayesian dynamic programming,Cambridge University Press,1975.0,article,Advances in Applied Probability,Ulrich Rieder,Universität Hamburg,23,91.0,10.0136,0.97818849,Economic theories and models,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,False,closed,journal,False,English,DE,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,Semantic Scholar,null/unknown,null/unknown,A Bayesian Approach to Robust Reinforcement Learning,null/unknown,2019.0,null/unknown,Conference on Uncertainty in Artificial Intelligence,E. Derman; D. Mankowitz; Timothy A. Mann; Shie Mannor,null/unknown,37,72.0,null/unknown,null/unknown,Computer Science; Mathematics,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Reinforcement Learning,2026-04-27 19:00:00,Crossref,null/unknown,https://doi.org/10.1109/adprl.2007.368199,Reinforcement Learning in Continuous Action Spaces,IEEE,2007.0,article,2007 IEEE International Symposium on Approximate Dynamic Programming and Reinforcement Learning,Hado van Hasselt; Marco A. Wiering,null/unknown,12,117.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W2165150801,null/unknown,Deterministic policy gradient algorithms,Centre National de la Recherche Scientifique,2014.0,preprint,HAL (Le Centre pour la Communication Scientifique Directe),David Silver; Guy Lever; Nicolas Heess; Thomas Degris; Daan Wierstra; Martin Riedmiller,Google DeepMind (United Kingdom),20,1741.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,GB,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1771410628,https://doi.org/10.48550/arxiv.1502.05477,Trust Region Policy Optimization,Cornell University,2015.0,article,arXiv,John Schulman; Sergey Levine; Philipp Moritz; Michael I. Jordan; Pieter Abbeel,"University of California, Berkeley",32,3131.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
GPT,Reinforcement Learning,2026-04-27 19:00:00,Semantic Scholar,null/unknown,null/unknown,Proximal Policy Optimization Algorithms,null/unknown,2017.0,null/unknown,arXiv,John Schulman; Filip Wolski; Prafulla Dhariwal; Alec Radford; Oleg Klimov,null/unknown,14,26815.0,null/unknown,null/unknown,Computer Science,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
GPT,Reinforcement Learning,2026-04-27 19:00:00,OpenAlex,https://openalex.org/W1191599655,https://doi.org/10.48550/arxiv.1506.02438,High-Dimensional Continuous Control Using Generalized Advantage Estimation,Cornell University,2015.0,preprint,arXiv,John Schulman; Philipp Moritz; Sergey Levine; Michael I. Jordan; Pieter Abbeel,"University of California, Berkeley",23,1748.0,null/unknown,null/unknown,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,repository,False,English,US,False
