system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4403656520,https://doi.org/10.1007/978-981-97-5035-1_32,Sample Efficient Hierarchical Reinforcement Learning for the Game of Othello,Springer,2024,book chapter,Lecture notes in networks and systems,Timothy Chang; Kourosh Neshatian; James Atlas,University of Canterbury,10,0.0,0.0,0.40594968,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,NZ,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4226453553,https://doi.org/10.1109/eebda53927.2022.9744760,The Advance of Reinforcement Learning and Deep Reinforcement Learning,null/unknown,2022,article,"2022 IEEE International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)",Le Lyu; Yang Shen; Sicheng Zhang,Guangdong Shunde Innovative Design Institute; Emory University; University of Florida,17,84.0,8.3503,0.98341019,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,CN; US,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2888147121,https://doi.org/10.1007/978-3-319-99492-5_13,From Reinforcement Learning to Deep Reinforcement Learning: An Overview,Springer,2018,book chapter,Lecture Notes in Computer Science,Forest Agostinelli; Guillaume Hocquet; Sameer Singh; Pierre Baldi,"University of California, Irvine",136,58.0,3.8063,0.95332666,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4289516698,https://doi.org/10.1007/978-981-19-1607-6_13,Transfer Learning in Deep Reinforcement Learning,Springer,2022,book chapter,Lecture notes in networks and systems,Tariqul Islam; Dm. Mehedi Hasan Abid; Tanvir Rahman; Zahura Zaman; Kausar Mia; Ramim Hossain,Daffodil International University,9,4.0,1.3705,0.83518393,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,green,book series,False,English,BD,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3033717640,https://doi.org/10.1007/978-3-030-45691-7_37,From Reinforcement Learning Towards Artificial General Intelligence,Springer,2020,book chapter,Advances in intelligent systems and computing,Filipe Rocha; Vı́tor Santos Costa; Luís Paulo Reis,Universidade do Porto; Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,48,8.0,1.0992,0.79980132,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,PT,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2969320674,https://doi.org/10.1109/siu.2019.8806389,Model-Free Reinforcement Learning Algorithms: A Survey,null/unknown,2019,article,null/unknown,Sinan Çalışır; Meltem Kurt Pehli̇vanoğlu,Kocaeli Üniversitesi,19,36.0,1.4518,0.86844747,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,TR,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1527699218,https://doi.org/10.1109/icsmc.2003.1244302,Lessons learned in single-agent and multiagent learning with robot foraging,null/unknown,2004,article,null/unknown,Zhangyu Ren; Andrew B. Williams,University of Iowa,17,9.0,0.8994,0.7967632,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2332834113,https://doi.org/10.1007/978-3-319-17314-6_27,Reinforcement Learning with Multiple Actions,Springer,2015,book chapter,Lecture notes in electrical engineering,Riku Nishiyama; Satoshi Yamada,Okayama University of Science,6,2.0,0.3414,0.60133664,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4296591823,https://doi.org/10.1145/3523227.3547376,Conversational Recommender System Using Deep Reinforcement Learning,null/unknown,2022,article,null/unknown,Omprakash Sonie,null/unknown,9,4.0,0.9094,0.79839864,Recommender Systems and Techniques,Information Systems,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4290878490,https://doi.org/10.1145/3534678.3542635,concept2code: Deep Reinforcement Learning for Conversational AI,null/unknown,2022,article,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Omprakash Sonie; Abir Chakraborty; Ankan Mullick,Microsoft Research (India); Indian Institute of Technology Kharagpur,6,1.0,0.1039,0.27440207,Data Stream Mining Techniques,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,IN,True
